,Mark,12V_power
2025-05-04 11:15:12.550820,0.0,10.825
2025-05-04 11:15:13.561381,0.0,10.625
2025-05-04 11:15:14.571839,0.0,10.612
2025-05-04 11:15:15.581566,0.0,10.612
2025-05-04 11:15:16.591864,0.0,10.6
2025-05-04 11:15:17.602010,0.0,10.6
2025-05-04 11:15:18.612241,0.0,10.612
2025-05-04 11:15:19.622664,0.0,10.625
2025-05-04 11:15:20.633041,0.0,10.6
2025-05-04 11:15:21.643194,0.0,10.625
2025-05-04 11:15:22.653554,0.0,10.587
2025-05-04 11:15:23.663990,0.0,10.6
2025-05-04 11:15:24.674388,0.0,10.6
2025-05-04 11:15:25.684675,0.0,10.625
2025-05-04 11:15:26.695043,0.0,10.612
