,Mark,12V_power
2025-05-04 11:20:08.581489,0.0,10.862
2025-05-04 11:20:09.602383,0.0,12.7
2025-05-04 11:20:10.623064,0.0,12.712
2025-05-04 11:20:11.643682,0.0,12.637
2025-05-04 11:20:12.664276,0.0,12.612
2025-05-04 11:20:13.684993,0.0,12.662
2025-05-04 11:20:14.705630,0.0,12.787
2025-05-04 11:20:15.726260,0.0,12.775
2025-05-04 11:20:16.746866,0.0,12.637
2025-05-04 11:20:17.767427,0.0,12.825
2025-05-04 11:20:18.787996,0.0,12.75
2025-05-04 11:20:19.808632,0.0,12.75
2025-05-04 11:20:20.829227,0.0,12.612
2025-05-04 11:20:21.849846,0.0,12.612
2025-05-04 11:20:22.870511,0.0,12.725
2025-05-04 11:20:23.891160,0.0,12.625
2025-05-04 11:20:24.911817,0.0,12.75
2025-05-04 11:20:25.932447,0.0,12.625
2025-05-04 11:20:26.953080,0.0,12.737
2025-05-04 11:20:27.973637,0.0,12.812
