,Mark,12V_power
2025-05-04 11:13:24.255210,0.0,11.012
2025-05-04 11:13:25.267623,0.0,12.3
2025-05-04 11:13:26.279794,0.0,12.287
2025-05-04 11:13:27.291840,0.0,12.262
2025-05-04 11:13:28.303541,0.0,12.287
2025-05-04 11:13:29.315754,0.0,12.275
2025-05-04 11:13:30.327076,0.0,12.325
2025-05-04 11:13:31.340327,0.0,12.487
2025-05-04 11:13:32.361766,0.0,12.325
2025-05-04 11:13:33.374018,0.0,12.287
2025-05-04 11:13:34.386025,0.0,12.287
2025-05-04 11:13:35.397936,0.0,12.275
2025-05-04 11:13:36.409923,0.0,12.3
2025-05-04 11:13:37.421903,0.0,12.3
2025-05-04 11:13:38.434090,0.0,12.262
2025-05-04 11:13:39.445909,0.0,12.312
2025-05-04 11:13:40.457964,0.0,12.25
2025-05-04 11:13:41.470308,0.0,12.3
2025-05-04 11:13:42.482299,0.0,12.287
2025-05-04 11:13:43.494661,0.0,12.275
