cycle,images,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,path_fps,effective_fps
1,5000,0.8444841438651085,0.8456299901008606,0.007697516422550394,0.8584120005369187,0.8665908229351044,0.8302000164985657,1.001710057258606,1184.1548470919834,901.417582089707
2,5000,0.8462611358046531,0.8466600179672241,0.009853152535060354,0.8609899878501892,0.8849923771619798,0.8299300074577332,0.9971200227737427,1181.6683389790016,897.8411037159179
3,5000,0.8463358757257462,0.8459399938583374,0.007702136466061386,0.8593999743461609,0.8677141946554184,0.8287299871444702,1.112529993057251,1181.5640630547205,900.4636341376997
4,5000,0.8452138453364372,0.8456850051879883,0.01031935573553153,0.8598499894142151,0.8857500958442688,0.8294699788093567,1.0245200395584106,1183.1324730246167,900.6360376357287
5,5000,0.8472515321135521,0.8466699719429016,0.00800582399202013,0.8600204825401306,0.8678207242488861,0.832260012626648,1.0059200525283813,1180.2870332185635,899.8251396800944
6,5000,0.8441943242907524,0.8445149958133698,0.010182797653527422,0.8583815187215805,0.8893701237440109,0.8292700052261353,0.9911400079727173,1184.5613476190567,901.4791096017761
7,5000,0.8457080021619797,0.8453999757766724,0.006715849836628332,0.8583410233259201,0.865664011836052,0.8303099870681763,0.9731199741363525,1182.4412032567495,900.8275589295788
8,5000,0.8457838616847992,0.8464400172233582,0.010234233820028886,0.8602315276861191,0.8839464819431306,0.8302000164985657,1.0125000476837158,1182.3352910877366,899.7028484824401
9,5000,0.8443095099329948,0.845329999923706,0.008690564190607318,0.8578699827194214,0.8688100981712341,0.8303999900817871,1.0055999755859375,1184.3997005611795,902.9421733240696
10,5000,0.8450672482848167,0.8457199931144714,0.010302294427806221,0.8591814756393432,0.887171516418457,0.8307999968528748,1.0077099800109863,1183.337841531259,900.8222226010478
11,5000,0.8446082276821136,0.845579981803894,0.008304894820084428,0.8584230124950409,0.868933482170105,0.8306499719619751,0.9918699860572815,1183.9809447646867,902.1661702611563
12,5000,0.8439401737332344,0.8450499773025513,0.008515438792659853,0.8575910180807114,0.8645122998952867,0.8292199969291687,1.0729999542236328,1184.917996848358,902.7415437382713
13,5000,0.8452339564085006,0.8448500037193298,0.05360129399686717,0.8592304825782776,0.8898759746551517,0.8297899961471558,4.554210186004639,1183.1043561895829,901.3217580737895
14,5000,0.8453718080282211,0.8464850187301636,0.008069398939240783,0.8596814960241318,0.8686205786466599,0.831250011920929,0.9954400062561035,1182.91132890413,900.5700590462616
15,5000,0.8451529379725456,0.8456900119781494,0.010144928114390364,0.8597504734992981,0.8886815816164018,0.8308500051498413,1.0065300464630127,1183.217832909112,899.856412431888
16,5000,0.8464871042847634,0.8460150063037872,0.0075439221120899985,0.8598104953765869,0.8685862839221956,0.8312199711799622,0.996940016746521,1181.352904515566,900.7752987408746
17,5000,0.8452570539116859,0.8456599712371826,0.010310408995308067,0.8594720095396042,0.8925328236818314,0.8306400179862976,1.0145399570465088,1183.0720693657597,900.3194356766085
18,5000,0.8435961161732674,0.8447399735450745,0.008225566841652203,0.8573399782180786,0.8629205864667893,0.8299599885940552,1.1076899766921997,1185.4014012667387,904.1073379377059
19,5000,0.8442101321339607,0.8448799848556519,0.009255923592459483,0.8590604901313782,0.8810707175731659,0.8299499750137329,1.0073599815368652,1184.5391843934576,901.303991653463
20,5000,0.8444430861115456,0.845550000667572,0.007567448768612067,0.8586300015449524,0.8676185780763628,0.8276100158691406,0.9125900268554688,1184.2126029881838,902.5624223724153
