,Mark,12V_power
2025-05-04 11:19:48.157485,0.0,10.912
2025-05-04 11:19:49.178516,0.0,12.675
2025-05-04 11:19:50.199165,0.0,12.65
2025-05-04 11:19:51.219896,0.0,12.825
2025-05-04 11:19:52.240524,0.0,12.737
2025-05-04 11:19:53.261095,0.0,12.762
2025-05-04 11:19:54.281634,0.0,12.637
2025-05-04 11:19:55.302199,0.0,12.775
2025-05-04 11:19:56.322807,0.0,12.7
2025-05-04 11:19:57.343481,0.0,12.737
2025-05-04 11:19:58.364092,0.0,12.687
2025-05-04 11:19:59.384677,0.0,12.675
2025-05-04 11:20:00.405294,0.0,12.625
2025-05-04 11:20:01.425943,0.0,12.687
2025-05-04 11:20:02.446605,0.0,12.637
2025-05-04 11:20:03.467290,0.0,12.675
2025-05-04 11:20:04.491605,0.0,12.812
2025-05-04 11:20:05.512231,0.0,12.662
2025-05-04 11:20:06.532872,0.0,12.825
2025-05-04 11:20:07.553488,0.0,12.762
