,Mark,12V_power
2025-05-04 11:18:07.281832,0.0,10.887
2025-05-04 11:18:08.294315,0.0,11.737
2025-05-04 11:18:09.307262,0.0,11.837
2025-05-04 11:18:10.320060,0.0,11.937
2025-05-04 11:18:11.332837,0.0,11.975
2025-05-04 11:18:12.345671,0.0,11.962
2025-05-04 11:18:13.358254,0.0,12.0
2025-05-04 11:18:14.371302,0.0,11.637
2025-05-04 11:18:15.383267,0.0,11.862
2025-05-04 11:18:16.396056,0.0,11.975
2025-05-04 11:18:17.408852,0.0,11.712
2025-05-04 11:18:18.421652,0.0,11.975
2025-05-04 11:18:19.434503,0.0,11.65
2025-05-04 11:18:20.447190,0.0,11.75
2025-05-04 11:18:21.460025,0.0,11.662
2025-05-04 11:18:22.472054,0.0,11.837
2025-05-04 11:18:23.484857,0.0,11.7
2025-05-04 11:18:24.497643,0.0,11.725
2025-05-04 11:18:25.510588,0.0,11.875
2025-05-04 11:18:26.523235,0.0,12.012
