,Mark,12V_power
2025-05-04 11:19:10.027235,0.0,10.812
2025-05-04 11:19:11.037770,0.0,10.6
2025-05-04 11:19:12.048304,0.0,10.6
2025-05-04 11:19:13.058605,0.0,10.6
2025-05-04 11:19:14.069002,0.0,10.612
2025-05-04 11:19:15.079438,0.0,10.587
2025-05-04 11:19:16.089811,0.0,10.6
2025-05-04 11:19:17.100081,0.0,10.587
2025-05-04 11:19:18.110289,0.0,10.6
2025-05-04 11:19:19.120675,0.0,10.6
2025-05-04 11:19:20.131048,0.0,10.612
2025-05-04 11:19:21.141483,0.0,10.6
2025-05-04 11:19:22.151884,0.0,10.6
2025-05-04 11:19:23.162316,0.0,10.6
2025-05-04 11:19:24.172758,0.0,10.6
