,Mark,12V_power
2025-05-04 11:12:23.501574,0.0,10.825
2025-05-04 11:12:24.513162,0.0,12.287
2025-05-04 11:12:25.524663,0.0,12.3
2025-05-04 11:12:26.536492,0.0,12.287
2025-05-04 11:12:27.548471,0.0,12.237
2025-05-04 11:12:28.560478,0.0,12.262
2025-05-04 11:12:29.572224,0.0,12.262
2025-05-04 11:12:30.584504,0.0,12.237
2025-05-04 11:12:31.595871,0.0,12.325
2025-05-04 11:12:32.608091,0.0,12.325
2025-05-04 11:12:33.620102,0.0,12.262
2025-05-04 11:12:34.632072,0.0,12.3
2025-05-04 11:12:35.644105,0.0,12.262
2025-05-04 11:12:36.655475,0.0,12.312
2025-05-04 11:12:37.667452,0.0,12.262
2025-05-04 11:12:38.679368,0.0,12.3
2025-05-04 11:12:39.690662,0.0,12.25
2025-05-04 11:12:40.702839,0.0,12.275
2025-05-04 11:12:41.714367,0.0,12.312
2025-05-04 11:12:42.727442,0.0,12.25
