,Mark,12V_power
2025-05-04 11:17:47.025132,0.0,10.837
2025-05-04 11:17:48.037620,0.0,11.612
2025-05-04 11:17:49.049557,0.0,11.8
2025-05-04 11:17:50.060783,0.0,12.0
2025-05-04 11:17:51.073660,0.0,11.925
2025-05-04 11:17:52.086381,0.0,11.975
2025-05-04 11:17:53.098501,0.0,11.975
2025-05-04 11:17:54.110419,0.0,11.925
2025-05-04 11:17:55.122359,0.0,11.987
2025-05-04 11:17:56.135176,0.0,11.875
2025-05-04 11:17:57.148040,0.0,11.987
2025-05-04 11:17:58.159897,0.0,11.887
2025-05-04 11:17:59.172725,0.0,11.975
2025-05-04 11:18:00.185651,0.0,11.962
2025-05-04 11:18:01.198447,0.0,11.875
2025-05-04 11:18:02.210520,0.0,12.012
2025-05-04 11:18:03.223054,0.0,11.737
2025-05-04 11:18:04.234701,0.0,11.825
2025-05-04 11:18:05.247159,0.0,11.9
2025-05-04 11:18:06.258307,0.0,11.8
