,Mark,12V_power
2025-05-04 11:11:30.331610,0.0,10.887
2025-05-04 11:11:31.341652,0.0,10.587
2025-05-04 11:11:32.352164,0.0,10.612
2025-05-04 11:11:33.362556,0.0,10.587
2025-05-04 11:11:34.373097,0.0,10.6
2025-05-04 11:11:35.383494,0.0,10.587
2025-05-04 11:11:36.393689,0.0,10.562
2025-05-04 11:11:37.404006,0.0,10.587
2025-05-04 11:11:38.413554,0.0,10.6
2025-05-04 11:11:39.423773,0.0,10.6
2025-05-04 11:11:40.434159,0.0,10.587
2025-05-04 11:11:41.444642,0.0,10.6
2025-05-04 11:11:42.455090,0.0,10.625
2025-05-04 11:11:43.465536,0.0,10.6
2025-05-04 11:11:44.475793,0.0,10.587
