,Mark,12V_power
2025-05-04 11:20:49.422054,0.0,10.9
2025-05-04 11:20:50.442949,0.0,12.6
2025-05-04 11:20:51.463614,0.0,12.812
2025-05-04 11:20:52.484324,0.0,12.787
2025-05-04 11:20:53.504880,0.0,12.75
2025-05-04 11:20:54.525415,0.0,12.825
2025-05-04 11:20:55.546001,0.0,12.7
2025-05-04 11:20:56.566658,0.0,12.637
2025-05-04 11:20:57.587375,0.0,12.825
2025-05-04 11:20:58.608053,0.0,12.612
2025-05-04 11:20:59.628698,0.0,12.725
2025-05-04 11:21:00.649366,0.0,12.812
2025-05-04 11:21:01.669975,0.0,12.862
2025-05-04 11:21:02.690689,0.0,12.825
2025-05-04 11:21:03.711310,0.0,12.737
2025-05-04 11:21:04.731912,0.0,12.837
2025-05-04 11:21:05.752520,0.0,12.725
2025-05-04 11:21:06.773184,0.0,12.737
2025-05-04 11:21:07.793772,0.0,12.8
2025-05-04 11:21:08.814621,0.0,12.612
