,Mark,12V_power
2025-05-04 11:18:39.688551,0.0,10.862
2025-05-04 11:18:40.699088,0.0,10.7
2025-05-04 11:18:41.709531,0.0,10.6
2025-05-04 11:18:42.719746,0.0,10.6
2025-05-04 11:18:43.730015,0.0,10.6
2025-05-04 11:18:44.740469,0.0,10.6
2025-05-04 11:18:45.750672,0.0,10.6
2025-05-04 11:18:46.761213,0.0,10.625
2025-05-04 11:18:47.771589,0.0,10.612
2025-05-04 11:18:48.781878,0.0,10.6
2025-05-04 11:18:49.792300,0.0,10.6
2025-05-04 11:18:50.802480,0.0,10.6
2025-05-04 11:18:51.812887,0.0,10.587
2025-05-04 11:18:52.823161,0.0,10.612
2025-05-04 11:18:53.833579,0.0,10.6
