window,count,elapsed_s,samples,fps,idle_power_w,active_power_w,dynamic_power_w,energy_total_mj,energy_dynamic_mj
1,18099,20.000828310000088,20,904.9125225954165,10.609422222222221,12.22475,1.6153277777777788,13.509316861852787,1.785065116730611
2,18135,20.0005796800001,20,906.7237195197089,10.609422222222221,12.206600000000002,1.5971777777777802,13.462314635891328,1.7614822943242343
3,18076,20.000251440000284,20,903.7886375692357,10.609422222222221,12.2322,1.6227777777777792,13.534359131686848,1.7955279700597748
4,18129,20.000893089999863,20,906.4095247358839,10.609422222222221,12.2422,1.632777777777779,13.506257012874197,1.8013687336897188
5,18133,20.00088942000002,20,906.6096821608237,10.609422222222221,12.234750000000002,1.6253277777777804,13.495057730731004,1.792753606936952
6,18127,20.000220950000312,20,906.3399872089772,10.609422222222221,12.2223,1.6128777777777792,13.485336818954533,1.7795505004082908
7,18103,20.001034939999954,20,905.1031636265939,10.609422222222221,12.2292,1.619777777777779,13.511387973719684,1.7896056967557223
8,18138,20.00086435000003,20,906.86080774304,10.609422222222221,12.234300000000001,1.6248777777777796,13.490824496482821,1.7917609449036753
