,Mark,12V_power
2025-05-04 11:15:45.490004,0.0,11.825
2025-05-04 11:15:46.502113,0.0,11.95
2025-05-04 11:15:47.513579,0.0,11.612
2025-05-04 11:15:48.526445,0.0,11.9
2025-05-04 11:15:49.539200,0.0,11.637
2025-05-04 11:15:50.552165,0.0,11.95
2025-05-04 11:15:51.563537,0.0,11.637
2025-05-04 11:15:52.576039,0.0,11.95
2025-05-04 11:15:53.588792,0.0,11.95
2025-05-04 11:15:54.599533,0.0,11.65
2025-05-04 11:15:55.612035,0.0,11.775
2025-05-04 11:15:56.624788,0.0,11.662
2025-05-04 11:15:57.636713,0.0,11.95
2025-05-04 11:15:58.648804,0.0,11.987
2025-05-04 11:15:59.660885,0.0,11.725
2025-05-04 11:16:00.673648,0.0,11.675
2025-05-04 11:16:01.686330,0.0,11.95
2025-05-04 11:16:02.697935,0.0,11.737
2025-05-04 11:16:03.710422,0.0,11.962
2025-05-04 11:16:04.721939,0.0,11.85
