,Mark,12V_power
2025-05-04 11:11:15.155173,0.0,10.85
2025-05-04 11:11:16.166238,0.0,10.575
2025-05-04 11:11:17.176698,0.0,10.575
2025-05-04 11:11:18.187141,0.0,10.587
2025-05-04 11:11:19.197545,0.0,10.6
2025-05-04 11:11:20.207979,0.0,10.587
2025-05-04 11:11:21.218476,0.0,10.6
2025-05-04 11:11:22.228885,0.0,10.587
2025-05-04 11:11:23.239337,0.0,10.587
2025-05-04 11:11:24.249613,0.0,10.6
2025-05-04 11:11:25.259982,0.0,10.587
2025-05-04 11:11:26.270165,0.0,10.587
2025-05-04 11:11:27.280539,0.0,10.587
2025-05-04 11:11:28.290941,0.0,10.587
2025-05-04 11:11:29.301369,0.0,10.6
