,Mark,12V_power
2025-05-04 11:14:57.382357,0.0,10.837
2025-05-04 11:14:58.392980,0.0,10.625
2025-05-04 11:14:59.403422,0.0,10.625
2025-05-04 11:15:00.413598,0.0,10.625
2025-05-04 11:15:01.424029,0.0,10.612
2025-05-04 11:15:02.434462,0.0,10.6
2025-05-04 11:15:03.444882,0.0,10.637
2025-05-04 11:15:04.455476,0.0,10.625
2025-05-04 11:15:05.465722,0.0,10.612
2025-05-04 11:15:06.475941,0.0,10.625
2025-05-04 11:15:07.486313,0.0,10.625
2025-05-04 11:15:08.496751,0.0,10.612
2025-05-04 11:15:09.507259,0.0,10.625
2025-05-04 11:15:10.517731,0.0,10.6
2025-05-04 11:15:11.528001,0.0,10.625
