sample_size,repetition,batch_size,correct,accuracy_percent,start_epoch_s,end_epoch_s,wall_time_s,process_cpu_time_s,cpu_time_per_inference_ms,throughput_fps,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,telemetry_samples,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,rapl_samples,cpu_busy_percent_turbostat,cpu_busy_frequency_mean_mhz,cpu_package_temperature_mean_c,power_package_mean_w,power_cores_mean_w,power_dram_mean_w,power_dynamic_mean_w,energy_package_j,energy_per_inference_mj,dynamic_energy_per_inference_mj,started_utc,ended_utc,rapl_coverage_s
100,1,1,74,74.0,1787686877.209689,1787686877.337587,0.1278967979887966,0.8488664310000011,8.488664310000011,781.880403360526,1.2218512350320816,0.9074769914150238,0.7246677396214115,2.858080220222473,0.750033974647522,4.5873589515686035,0,nan,nan,nan,nan,nan,nan,2,26.234177690416214,2698.2906391327106,45.26491265726023,35.58082183888569,27.081681446587062,nan,22.782047224846927,4.505610365867615,45.05610365867616,28.68688074551762,2026-08-25T19:41:17.209712+00:00,2026-08-25T19:41:17.337566+00:00,0.12663030624389648
100,2,1,74,74.0,1787686877.341902,1787686877.4589233,0.11702024401165545,0.8101971490000004,8.101971490000004,854.5529950359684,1.112579381465912,0.9756509959697723,0.28917451677145256,1.6717373490333556,0.7796930074691772,1.9771449565887451,1,22.3,535.3,22.304166666666664,nan,47.0,849.05078125,3,34.77257625378976,3110.4365123694065,48.594104565437384,46.150824853819856,37.46710986852546,nan,33.35205023978109,5.338638439178467,53.386384391784674,38.409227107934704,2026-08-25T19:41:17.341915+00:00,2026-08-25T19:41:17.458905+00:00,0.11567807197570801
100,3,1,74,74.0,1787686877.4630735,1787686877.581331,0.11825697300082538,0.7844684780000009,7.8446847800000095,845.6160974059605,1.1255666172504426,1.0434125065803528,0.28307800913254894,1.7279323577880858,0.7577710151672363,2.1816160678863525,1,25.9,667.6,27.816666666666666,nan,47.0,849.07421875,2,32.92004329356453,3115.462012896561,47.183173058347684,44.416716216683376,35.87221140843381,nan,31.617941602644613,5.2076148867607115,52.07614886760712,36.9407054278468,2026-08-25T19:41:17.463084+00:00,2026-08-25T19:41:17.581313+00:00,0.11724448204040527
100,4,1,74,74.0,1787686877.585709,1787686877.6894946,0.10378497499914374,0.7015774350000008,7.015774350000008,963.5306074007825,0.9801101917028427,0.9031049907207489,0.23208257066271046,1.5460968136787412,0.7601760029792786,1.6773029565811157,1,24.9,650.7,27.1125,nan,47.0,849.19921875,2,32.20608759235562,3419.51493771997,48.56076786197737,51.464254386675336,42.87415840392817,nan,38.66547977263657,5.302630338668823,53.026303386688234,39.743098353311346,2026-08-25T19:41:17.585728+00:00,2026-08-25T19:41:17.689477+00:00,0.10303521156311035
100,5,1,74,74.0,1787686877.6924114,1787686877.785264,0.09285250600078143,0.6236573740000004,6.236573740000004,1076.9768561675482,0.88232930123806,0.876068502664566,0.06232850605181405,0.9973296254873275,0.7564120292663574,1.0635160207748413,0,nan,nan,nan,nan,nan,nan,2,33.391618074408534,3503.0208145521046,50.26117122539282,55.0235747921257,46.28230362691892,nan,42.22480017808694,5.078659434318542,50.78659434318543,38.90261137665859,2026-08-25T19:41:17.692420+00:00,2026-08-25T19:41:17.785247+00:00,0.0922996997833252
100,6,1,74,74.0,1787686877.7867422,1787686877.8948457,0.10810301700257696,0.7049107540000001,7.049107540000001,925.0435628231929,1.0265373080968856,0.9549275040626526,0.21114553814118245,1.5091346144676208,0.7832459807395935,1.6755039691925049,0,nan,nan,nan,nan,nan,nan,2,33.23902998761063,3579.7871603469025,50.693009995870206,55.87704990830088,47.210910108218286,nan,43.07827529426212,6.000099420547485,60.00099420547485,46.16513270833902,2026-08-25T19:41:17.786750+00:00,2026-08-25T19:41:17.894826+00:00,0.10738039016723633
100,7,1,74,74.0,1787686877.8964345,1787686878.0019808,0.10554596800648142,0.7362795679999987,7.362795679999987,947.4544777860121,1.0073493188619613,0.8856195211410522,0.3125190792964719,1.67516450881958,0.7887179851531982,2.241874933242798,1,27.7,648.4,27.016666666666666,nan,53.0,849.328125,2,32.352399950096974,3482.1578546234023,50.7546835127196,54.01354064261492,45.35618114799651,nan,41.21476602857616,5.677256455421448,56.772564554214476,43.26397399485946,2026-08-25T19:41:17.896443+00:00,2026-08-25T19:41:18.001964+00:00,0.10510802268981934
100,8,1,74,74.0,1787686878.0060725,1787686878.101112,0.09503881800628733,0.6472130640000007,6.472130640000007,1052.2016382125507,0.9049803203344345,0.8891409933567047,0.08980428942512353,1.0617260098457335,0.7736409902572632,1.2292490005493164,0,nan,nan,nan,nan,nan,nan,2,34.48157979974583,3305.3859503735503,52.0,50.53856264701349,41.94683911196902,nan,37.73978803297473,4.769089574813843,47.69089574813843,35.52709163566723,2026-08-25T19:41:18.006082+00:00,2026-08-25T19:41:18.101095+00:00,0.09436535835266113
100,9,1,74,74.0,1787686878.1025286,1787686878.2054408,0.10291190999851096,0.7004424280000023,7.004424280000023,971.7048299020678,0.98021036028862,0.875355988740921,0.27857708473247333,1.6352149128913878,0.769070029258728,2.2262089252471924,0,nan,nan,nan,nan,nan,nan,2,34.64238516618076,3423.183001749271,51.59150087463557,53.56875951020408,44.97790959766764,nan,40.76998489616532,5.475903902053833,54.75903902053833,41.58757560882649,2026-08-25T19:41:18.102534+00:00,2026-08-25T19:41:18.205423+00:00,0.10222196578979492
100,10,1,74,74.0,1787686878.2081337,1787686878.3120773,0.10394316399469972,0.692841056999999,6.92841056999999,962.0642296890175,0.9756352597475052,0.9026930034160614,0.25033174987292606,1.5597781538963316,0.7529100179672241,2.1560800075531006,1,27.2,662.5,27.604166666666668,nan,53.0,849.359375,2,32.566546321525884,3510.2399182561307,50.53801089918256,54.96257493188011,46.27099591280655,nan,42.16380031784135,5.674861121177674,56.74861121177674,43.445159925394435,2026-08-25T19:41:18.208146+00:00,2026-08-25T19:41:18.312060+00:00,0.10324954986572266
