model_variant,device,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,process_cpu_time_total_s,cpu_time_per_inference_mean_ms,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,cpu_busy_percent_turbostat,cpu_busy_frequency_mean_mhz,cpu_package_temperature_mean_c,power_package_mean_w,power_cores_mean_w,power_dram_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,telemetry_samples_total,rapl_samples_total
softmax,CPU,1,100,10,1000,74,74.0,64.62901055081282,81.59530153525186,1.0217149294018746,0.9108234941959381,0.3355508469307948,1.6467558920383452,0.750033974647522,4.5873589515686035,0.9570533011081537,1.0863765576955955,938.1025697783627,91.19707786736998,881.5790739554745,994.626065601251,929.92600867112,1.075354373009759,7.2504537380000045,7.2504537380000045,25.6,632.9,26.37083333333333,nan,49.4,849.20234375,32.68064441296947,3314.7478802020014,49.54413346508234,50.159667972820344,41.53403006330514,nan,37.36089335878158,53.03036393880844,39.267145688435576,5,21
softmax,CPU,1,100,20,2000,74,74.0,64.62901055081282,81.59530153525186,1.0048451074957847,0.9033010005950928,0.3088069191647047,1.6316287159919738,0.7407379746437073,4.5873589515686035,0.9654343973813104,1.044255817610259,953.4867805775721,82.87148844261318,917.167416782031,989.8061443731132,946.4713909894391,2.1131119429919636,14.382953854000007,7.191476927000004,26.11111111111111,647.9000000000001,26.995833333333334,nan,50.888888888888886,849.2964409722222,33.093401495208795,3332.4530780513282,50.14518752559978,51.070878931165524,42.39056863281178,nan,38.27210431712677,53.20731744946446,39.684695703170625,9,42
softmax,CPU,1,100,50,5000,74,74.0,64.62901055081282,81.59530153525186,0.9956636161208153,0.9005299806594849,0.2833837659958699,1.6003747880458832,0.739782989025116,4.5873589515686035,0.9742985486805572,1.0170286835610736,961.2377732152988,73.17592293345439,940.9548149265405,981.5207315040572,955.6697834442406,5.231932710041292,35.47669425500001,7.095338851000004,26.836,651.304,27.137666666666664,nan,51.64,849.52703125,33.15650500299514,3365.14480130569,51.3213348246171,51.94034168916895,43.20073549821559,nan,39.141567075130205,53.68163995221904,40.28917444189194,25,102
softmax,CPU,1,100,100,10000,74,74.0,64.62901055081282,81.59530153525186,0.9857338424563408,0.8972910046577454,0.2683105301193567,1.5901185214519495,0.7237859964370728,4.5873589515686035,0.9714771869377725,0.9999904979749092,970.2822205640332,70.12560460056471,956.5378546229128,984.0265865051535,965.134753519383,10.361247446053312,70.53177359800004,7.053177359800003,26.6875,643.6374999999999,26.81822916666667,nan,52.020833333333336,849.6525065104166,33.159339679295776,3383.8534080869467,52.35441584322236,52.56211417538364,43.776194583544495,nan,39.76333956134487,53.852801041088284,40.59167396285617,48,203
softmax,CPU,1,1000,10,10000,741,74.1,71.29617374007886,76.71937650091739,0.944236230891943,0.8736574947834015,0.24071610299593368,1.5257400751113892,0.722055971622467,4.670292854309082,0.9345559996566172,0.9539164621272688,1008.587684184158,17.449495844374333,997.7725733435957,1019.4027950247203,1008.3193642711657,9.917492765031056,68.61609632100001,6.861609632100001,28.894761904761907,688.0179999999999,28.667416666666668,nan,56.27428571428571,871.2578125,34.06673229062436,3446.6626861774776,56.31785093102202,55.27525274677009,46.3466650282073,nan,42.47647813273132,54.30340955090522,41.61023408730597,63,108
softmax,CPU,1,1000,20,20000,741,74.1,71.29617374007886,76.71937650091739,0.9475399444490671,0.8768310248851776,0.2402422009848991,1.528735989332199,0.7121769785881042,4.670292854309082,0.9416060552496247,0.9534738336485092,1005.1124510475347,14.535170035780526,998.7422489637972,1011.4826531312722,1004.9153355970622,19.90217413501523,137.955374432,6.8977687216,29.06791666666667,690.2325119047619,28.75968799603175,nan,57.315714285714286,871.2611793154762,34.18087312091576,3428.060355509144,57.613321060592774,54.685553794263356,45.697855927787266,nan,41.886779180224586,53.89108803105354,41.154915976882954,129,215
softmax,CPU,1,1000,50,50000,741,74.1,71.29617374007886,76.71937650091739,0.9558220671057701,0.8835285007953644,0.24197413092683492,1.5318761825561515,0.7121769785881042,5.102435111999512,0.9507056461186653,0.9609384880928752,996.383778327285,19.503903476068434,990.977671443839,1001.789885210731,996.0119808761076,50.200199355051154,348.69152605800014,6.973830521160003,28.998595238095234,689.2770999999999,28.71987916666667,nan,60.100095238095236,871.2965029761905,34.140847340276316,3393.796267285016,60.58271586055717,54.11500982186568,44.9661250021207,nan,41.31623520782692,53.803268639564514,40.95324789706224,317,546
softmax,CPU,1,1000,100,100000,741,74.1,71.29617374007886,76.71937650091739,0.9616302777987719,0.8876224756240845,0.2421653719647436,1.54387480020523,0.7121769785881042,5.256299018859863,0.9581070686159948,0.9651534869815489,990.5710700362301,18.63725194652823,986.9182357776307,994.2239042948296,990.2262285087471,100.98702409710677,701.5454241000001,7.015454241000001,28.82185952380952,689.591380952381,28.732974206349205,nan,64.04038095238096,871.4132126116072,34.113157146802024,3374.3114847918164,64.56916303274797,54.9401304181277,45.532417744190845,nan,42.14135580408893,54.95541964683534,42.03031804322163,640,1101
softmax,CPU,1,10000,10,100000,7490,74.9,74.04072994919972,75.74014693194059,0.9613090039348602,0.88925901055336,0.23713481349602877,1.537457001209258,0.7317429780960083,4.565758228302002,0.9587368299429602,0.9638811779267606,990.6444730267165,4.4224754295193245,987.9034447250114,993.3855013284216,990.6266635054141,100.9462027260015,701.7646049559995,7.017646049559995,28.897076871894704,694.6321252475124,28.943005218646352,nan,72.24183988265581,992.3976825070856,34.13510039930382,3363.8648660718354,72.87444921478894,57.81633693211804,47.83389992936635,nan,45.01756231807927,57.83998481419087,44.920107845859285,641,1011
softmax,CPU,1,10000,20,200000,7490,74.9,74.04072994919972,75.74014693194059,0.9597357264256478,0.8882609903812408,0.23748421226945396,1.5357063889503477,0.7317429780960083,5.056455135345459,0.9566648294364092,0.9628066234148865,992.2750037991518,7.337928445706549,989.0590739572519,995.4909336410517,992.2238992953381,201.56740846701723,1402.5839954489998,7.012919977244998,28.995684918600443,695.4053183999106,28.975221599996267,nan,72.27720743289188,992.5162378865671,34.12912907487752,3365.1605048898127,73.06598328802312,57.86800995637841,47.89961472496071,nan,45.069235342339645,57.806114682829374,44.907035530303176,1272,2019
