Time_Of_Day_Seconds,Busy%,Bzy_MHz,PkgTmp,PkgWatt,CorWatt
1787686845.94449,0.62,1016.0,43.0,7.03,0.44
1787686846.047361,0.36,957.0,43.0,6.52,0.64
1787686846.14993,0.37,1001.0,43.0,8.33,0.97
1787686846.252925,0.32,1064.0,42.0,7.63,0.55
1787686846.355612,0.38,873.0,42.0,6.43,0.26
1787686846.458589,0.38,926.0,42.0,8.5,0.75
1787686846.561249,0.34,898.0,43.0,8.06,0.41
1787686846.664434,4.27,1195.0,43.0,9.35,1.72
1787686846.766233,3.99,1684.0,42.0,15.61,7.1
1787686846.868574,1.24,1436.0,43.0,9.39,1.69
1787686846.970705,1.25,1348.0,43.0,9.1,1.5
1787686847.073157,1.32,1362.0,43.0,7.79,1.18
1787686847.175523,1.44,1352.0,43.0,9.0,1.45
1787686847.278038,1.25,1329.0,43.0,8.32,1.46
1787686847.380743,1.22,1376.0,43.0,9.02,1.38
1787686847.483101,1.0,1388.0,43.0,8.92,1.44
1787686847.585397,1.07,1345.0,42.0,9.03,1.45
1787686847.687882,1.19,1278.0,43.0,9.15,1.48
1787686847.790266,1.19,1325.0,43.0,8.81,1.35
1787686847.892624,1.54,1328.0,43.0,8.35,1.26
1787686847.994814,1.18,1315.0,43.0,9.05,1.41
1787686848.097366,1.14,1307.0,42.0,8.82,1.36
1787686848.199703,1.25,1353.0,43.0,8.81,1.41
1787686848.302188,1.12,1283.0,43.0,7.06,1.04
1787686848.404174,1.01,1297.0,42.0,9.01,1.41
1787686848.506529,1.04,1318.0,42.0,6.72,0.99
1787686848.608432,1.1,1319.0,42.0,9.25,1.4
1787686848.710624,1.68,1407.0,43.0,10.13,2.19
1787686848.812554,0.9,1435.0,43.0,9.83,1.74
1787686848.914674,1.09,1476.0,43.0,9.47,1.71
1787686849.016742,1.06,1474.0,43.0,9.6,1.75
1787686849.118851,1.17,1456.0,43.0,9.31,1.62
1787686849.22094,1.12,1413.0,43.0,9.29,1.59
1787686849.323244,1.04,1497.0,43.0,8.67,1.39
1787686849.425379,1.11,1473.0,43.0,7.04,1.12
1787686849.527576,1.18,1442.0,43.0,9.18,1.42
1787686849.629713,1.15,1410.0,43.0,8.72,1.43
1787686849.733414,1.82,1498.0,43.0,8.64,1.44
1787686849.835438,2.26,1571.0,43.0,11.85,3.62
1787686849.937819,1.47,1423.0,43.0,8.89,1.5
1787686850.039948,1.25,1412.0,42.0,7.83,1.24
1787686850.141921,1.57,1507.0,43.0,9.78,1.91
1787686850.243737,1.29,1605.0,43.0,9.42,2.22
1787686850.345638,1.11,1567.0,43.0,8.97,1.37
1787686850.447543,0.97,1493.0,43.0,8.57,1.41
1787686850.550002,1.23,1367.0,42.0,8.24,1.34
1787686850.651359,4.68,1617.0,43.0,12.34,4.56
1787686850.753541,3.28,1551.0,43.0,12.54,4.2
1787686850.855715,0.96,1491.0,43.0,7.43,1.13
1787686850.958121,1.22,1436.0,42.0,9.4,1.62
1787686851.060529,1.14,1295.0,43.0,8.87,1.42
1787686851.162969,1.51,1419.0,43.0,9.85,1.8
1787686851.264937,1.03,1420.0,43.0,8.01,1.25
1787686851.367123,0.95,1449.0,42.0,8.99,1.42
1787686851.469292,0.84,1463.0,43.0,9.23,1.56
1787686851.571659,1.05,1381.0,43.0,9.28,1.43
1787686851.673775,0.93,1457.0,42.0,8.79,1.38
1787686851.776123,1.14,1400.0,42.0,9.19,1.36
1787686851.878261,1.32,1382.0,43.0,9.03,1.47
1787686851.980759,1.04,1348.0,43.0,7.7,1.11
1787686852.083039,1.22,1272.0,43.0,7.29,1.06
1787686852.185436,1.07,1324.0,42.0,7.73,1.16
1787686852.287751,0.97,1384.0,43.0,9.05,1.47
1787686852.389927,1.08,1486.0,42.0,8.29,1.34
1787686852.492073,1.23,1355.0,43.0,8.63,1.27
1787686852.594373,1.08,1350.0,42.0,8.43,1.31
1787686852.696598,0.9,1477.0,42.0,7.29,0.98
1787686852.799134,1.47,1438.0,43.0,8.75,1.64
1787686852.901241,1.01,1477.0,43.0,7.95,1.1
1787686853.003328,1.05,1527.0,42.0,8.98,1.37
1787686853.105291,1.36,1497.0,43.0,9.12,1.45
1787686853.207581,1.1,1496.0,42.0,9.62,1.68
1787686853.309695,1.01,1458.0,43.0,8.86,1.4
1787686853.411894,1.1,1447.0,43.0,9.2,1.48
1787686853.51417,1.02,1332.0,43.0,8.84,1.31
1787686853.61667,1.03,1336.0,43.0,8.77,1.3
1787686853.718957,1.19,1300.0,43.0,7.34,0.99
1787686853.822236,1.64,1428.0,43.0,8.97,1.43
1787686853.924513,1.41,1464.0,43.0,8.38,1.36
1787686854.02688,1.16,1297.0,43.0,6.91,0.97
1787686854.128965,1.15,1308.0,42.0,9.53,1.49
1787686854.231422,1.03,1448.0,42.0,7.19,1.02
1787686854.333623,1.21,1479.0,42.0,8.26,1.21
1787686854.435928,1.1,1483.0,42.0,7.7,1.14
1787686854.537939,1.02,1473.0,42.0,8.22,1.16
1787686854.64045,1.09,1448.0,42.0,8.15,1.18
1787686854.741948,3.3,1574.0,43.0,9.45,2.19
1787686854.844378,1.84,1580.0,43.0,11.91,3.93
1787686854.947093,0.68,1114.0,44.0,7.36,0.39
1787686855.050173,0.6,990.0,43.0,7.38,0.48
1787686855.152824,0.62,1008.0,43.0,7.5,0.68
1787686855.255397,0.54,1058.0,43.0,7.35,0.78
1787686855.35838,0.34,1066.0,42.0,8.45,0.87
1787686855.461508,0.32,971.0,43.0,7.15,0.4
1787686855.564181,0.39,941.0,42.0,5.72,0.32
1787686855.667192,0.27,999.0,43.0,7.12,0.52
1787686855.769818,0.77,964.0,42.0,6.5,0.44
1787686855.872947,0.55,1009.0,43.0,6.37,0.64
1787686855.975805,0.28,972.0,43.0,7.72,0.16
1787686856.078819,0.39,876.0,42.0,7.62,0.61
1787686856.181619,0.31,1036.0,43.0,6.08,0.46
1787686856.28473,0.34,976.0,43.0,6.3,0.2
1787686856.387543,0.49,970.0,43.0,6.1,0.43
1787686856.490673,0.27,971.0,41.0,5.98,0.24
1787686856.593466,0.34,928.0,43.0,6.8,0.28
1787686856.69658,0.24,939.0,43.0,6.08,0.3
1787686856.799494,0.83,914.0,42.0,6.78,0.48
1787686856.902686,0.38,910.0,42.0,7.31,0.23
1787686857.005701,0.32,865.0,42.0,8.28,0.23
1787686857.108903,0.42,871.0,43.0,7.18,0.38
1787686857.2119,0.33,891.0,43.0,7.56,0.25
1787686857.313615,5.76,1312.0,43.0,13.41,5.01
1787686857.415779,2.31,1414.0,43.0,11.98,3.78
1787686857.518578,1.6,1278.0,43.0,9.13,1.41
1787686857.620875,1.44,1303.0,43.0,8.56,1.49
1787686857.723504,1.52,1342.0,42.0,7.77,1.19
1787686857.825996,1.21,1358.0,42.0,8.3,1.25
1787686857.928416,1.28,1362.0,43.0,8.35,1.23
1787686858.030509,1.06,1344.0,43.0,7.6,1.05
1787686858.132911,1.05,1377.0,43.0,8.52,1.29
1787686858.235158,0.97,1417.0,43.0,6.87,0.98
1787686858.337669,1.07,1383.0,43.0,9.0,1.2
1787686858.439983,1.13,1285.0,43.0,7.24,1.08
1787686858.542549,1.14,1282.0,44.0,8.21,1.1
1787686858.644587,1.03,1382.0,42.0,7.16,0.96
1787686858.747007,1.53,1380.0,43.0,8.55,1.36
1787686858.849386,1.21,1321.0,43.0,8.12,1.17
1787686858.951768,1.31,1322.0,43.0,8.43,1.25
1787686859.054435,1.18,1333.0,43.0,8.81,1.2
1787686859.156975,1.37,1230.0,42.0,9.18,1.41
1787686859.259225,1.29,1333.0,42.0,8.52,1.36
1787686859.361757,1.08,1307.0,42.0,7.44,1.03
1787686859.463878,1.1,1309.0,43.0,7.64,1.11
1787686859.566454,1.05,1388.0,43.0,7.82,1.11
1787686859.668597,1.08,1331.0,43.0,7.22,0.92
1787686859.770967,1.11,1304.0,42.0,8.36,1.24
1787686859.873241,1.12,1302.0,43.0,9.05,1.42
1787686859.975801,1.61,1347.0,43.0,9.58,1.75
1787686860.077916,1.93,1701.0,43.0,10.24,2.41
1787686860.179906,1.04,1584.0,43.0,7.78,1.11
1787686860.281988,1.16,1486.0,44.0,8.85,1.38
1787686860.384413,1.12,1454.0,43.0,7.9,1.2
1787686860.486692,1.04,1496.0,43.0,8.47,1.24
1787686860.58894,0.96,1540.0,43.0,8.11,1.21
1787686860.691009,0.86,1514.0,43.0,9.07,1.36
1787686860.793222,1.09,1494.0,43.0,8.48,1.34
1787686860.895393,1.05,1531.0,43.0,9.17,1.55
1787686860.997745,1.16,1529.0,44.0,8.84,1.5
1787686861.099845,1.22,1440.0,43.0,8.46,1.33
1787686861.202013,1.33,1457.0,42.0,8.89,1.63
1787686861.304108,1.01,1525.0,43.0,8.63,1.36
1787686861.406205,0.87,1553.0,43.0,9.03,1.44
1787686861.508229,1.0,1537.0,43.0,7.62,1.09
1787686861.610338,1.06,1519.0,43.0,8.61,1.33
1787686861.712383,0.98,1494.0,43.0,7.98,1.13
1787686861.814716,0.98,1533.0,43.0,8.06,1.2
1787686861.916872,1.37,1502.0,43.0,9.16,1.4
1787686862.019035,1.07,1421.0,43.0,8.15,1.19
1787686862.121173,1.11,1333.0,43.0,8.56,1.37
1787686862.223442,1.03,1490.0,43.0,8.91,1.39
1787686862.325438,1.0,1471.0,43.0,8.78,1.3
1787686862.427337,1.04,1612.0,43.0,9.26,1.54
1787686862.529233,2.12,1768.0,42.0,11.37,3.15
1787686862.63154,1.13,1500.0,42.0,9.25,1.51
1787686862.733691,0.99,1540.0,42.0,9.24,1.5
1787686862.836009,1.0,1462.0,43.0,8.79,1.36
1787686862.938214,1.29,1384.0,43.0,9.16,1.39
1787686863.040726,1.07,1384.0,43.0,7.4,1.12
1787686863.142864,1.24,1345.0,43.0,9.67,1.42
1787686863.245174,1.34,1394.0,43.0,9.34,1.56
1787686863.347227,1.0,1471.0,43.0,8.94,1.41
1787686863.449456,0.96,1423.0,43.0,8.46,1.28
1787686863.551815,0.98,1556.0,43.0,9.06,1.39
1787686863.65428,1.04,1411.0,43.0,7.64,1.1
1787686863.756169,1.12,1521.0,43.0,8.52,1.27
1787686863.858347,2.2,2062.0,43.0,11.74,3.72
1787686863.960446,1.58,1500.0,43.0,9.21,1.51
1787686864.062743,1.28,1423.0,43.0,8.74,1.3
1787686864.165017,1.15,1396.0,43.0,9.16,1.45
1787686864.267223,1.44,1354.0,43.0,8.97,1.34
1787686864.36931,0.97,1479.0,43.0,8.95,1.38
1787686864.471665,1.05,1490.0,43.0,8.71,1.31
1787686864.573904,1.17,1488.0,43.0,8.65,1.3
1787686864.676298,1.26,1378.0,43.0,9.14,1.36
1787686864.778554,1.13,1381.0,43.0,8.75,1.28
1787686864.881076,1.2,1375.0,43.0,7.84,1.1
1787686864.9828,4.31,1565.0,44.0,12.88,4.7
1787686865.085251,0.56,1360.0,43.0,9.94,2.04
1787686865.187612,0.57,1129.0,43.0,7.96,0.83
1787686865.290636,0.56,1102.0,44.0,8.69,0.44
1787686865.393199,0.64,934.0,43.0,8.44,0.53
1787686865.496131,0.3,1086.0,43.0,8.19,0.72
1787686865.598795,0.35,1050.0,43.0,7.39,0.28
1787686865.701651,0.33,1009.0,43.0,6.12,0.57
1787686865.80432,0.4,966.0,43.0,7.68,0.63
1787686865.907011,0.43,1069.0,43.0,8.12,0.68
1787686866.009539,0.77,1127.0,43.0,6.23,0.67
1787686866.11204,0.36,1126.0,43.0,6.87,0.68
1787686866.214608,0.22,1236.0,43.0,7.51,0.62
1787686866.317654,0.28,1117.0,43.0,6.19,0.3
1787686866.420449,0.32,1000.0,43.0,6.49,0.47
1787686866.523474,0.35,1021.0,42.0,5.96,0.23
1787686866.626237,0.31,1037.0,43.0,7.65,0.49
1787686866.729243,0.35,960.0,42.0,7.46,0.43
1787686866.832005,0.38,935.0,43.0,7.39,0.23
1787686866.935062,0.34,945.0,43.0,4.81,0.24
1787686867.037893,0.83,953.0,43.0,7.91,0.61
1787686867.14088,0.45,914.0,43.0,6.76,0.46
1787686867.243691,0.36,946.0,43.0,5.42,0.45
1787686867.346703,0.48,961.0,43.0,7.97,0.35
1787686867.449436,0.3,976.0,43.0,4.57,0.42
1787686867.552176,0.35,1027.0,43.0,8.47,0.42
1787686867.654847,0.3,1074.0,43.0,6.51,0.6
1787686867.757903,0.31,1012.0,43.0,6.09,0.33
1787686867.860522,0.66,1011.0,42.0,7.97,0.54
1787686867.963486,0.29,1077.0,43.0,6.0,0.5
1787686868.066176,0.79,1137.0,42.0,7.74,0.7
1787686868.169013,0.46,1120.0,43.0,5.57,0.58
1787686868.271855,0.24,1074.0,43.0,7.11,0.44
1787686868.375067,0.46,982.0,43.0,6.21,0.37
1787686868.477979,0.35,982.0,43.0,6.69,0.3
1787686868.581081,0.4,968.0,42.0,7.83,0.7
1787686868.683961,0.32,1023.0,43.0,8.57,0.81
1787686868.787301,0.33,934.0,43.0,8.28,0.54
1787686868.890131,0.4,900.0,43.0,8.15,0.45
1787686868.99307,0.87,924.0,43.0,8.58,0.5
1787686869.096358,0.45,926.0,43.0,8.19,0.33
1787686869.197606,30.55,3513.0,53.0,42.29,33.53
1787686869.298148,99.77,3816.0,57.0,104.13,95.31
1787686869.399796,6.79,4498.0,57.0,35.45,26.86
1787686869.502062,4.96,4909.0,55.0,38.47,30.01
1787686869.60384,4.97,4868.0,60.0,38.88,30.51
1787686869.705532,4.84,4903.0,59.0,38.18,29.69
1787686869.808087,4.86,4903.0,54.0,38.05,29.49
1787686869.909717,5.05,4808.0,59.0,38.05,29.57
1787686870.012085,5.06,4827.0,54.0,38.75,30.34
1787686870.113688,4.91,4846.0,58.0,37.16,28.38
1787686870.214321,8.06,4338.0,54.0,42.01,33.42
1787686870.314768,99.77,3762.0,60.0,101.5,92.46
1787686870.416641,26.59,3895.0,68.0,54.06,45.73
1787686870.518436,4.79,4935.0,65.0,39.18,30.82
1787686870.620119,4.86,4908.0,64.0,39.17,30.78
1787686870.721841,4.9,4919.0,53.0,34.12,25.19
1787686870.823599,5.1,4787.0,60.0,40.03,31.5
1787686870.925273,4.74,4970.0,63.0,35.77,27.29
1787686871.026969,4.69,4974.0,63.0,35.86,27.53
1787686871.128631,4.06,4907.0,63.0,33.61,25.32
1787686871.230362,3.7,4647.0,63.0,29.83,21.44
1787686871.332003,4.67,4981.0,63.0,35.33,27.1
1787686871.433718,3.96,4858.0,63.0,33.34,25.01
1787686871.535368,4.34,4915.0,63.0,34.78,26.36
1787686871.637146,4.72,4970.0,63.0,35.52,27.25
1787686871.738791,4.69,4981.0,63.0,35.71,27.36
1787686871.840574,4.94,4880.0,57.0,36.96,27.8
1787686871.942667,5.27,4923.0,62.0,37.02,27.69
1787686872.043371,13.16,3914.0,49.0,45.15,36.54
1787686872.145283,21.72,3557.0,45.0,43.25,34.78
1787686872.247403,7.48,2822.0,45.0,16.89,8.73
1787686872.349245,6.77,2910.0,45.0,16.17,7.93
1787686872.451219,1.09,1588.0,45.0,10.38,2.27
1787686872.553271,6.92,2306.0,45.0,14.05,5.91
1787686872.655317,6.96,2395.0,44.0,13.99,6.21
1787686872.758736,4.15,1746.0,44.0,10.71,2.64
1787686872.860941,3.83,2915.0,44.0,13.25,5.56
1787686872.962966,6.63,3024.0,44.0,15.54,7.73
1787686873.064813,7.2,2333.0,45.0,13.81,5.79
1787686873.166779,1.1,1643.0,45.0,10.53,2.41
1787686873.268751,7.73,2204.0,44.0,14.07,5.84
1787686873.370409,3.18,2037.0,43.0,11.57,3.36
1787686873.472369,6.7,2757.0,44.0,15.5,7.52
1787686873.574399,6.93,2445.0,45.0,14.5,6.52
1787686873.681212,5.38,1997.0,44.0,9.91,2.31
1787686873.783241,2.47,2882.0,44.0,10.8,3.72
1787686873.885202,8.03,2259.0,44.0,15.57,6.88
1787686873.986595,7.03,2453.0,44.0,13.64,5.82
1787686874.088492,1.2,1535.0,44.0,9.24,1.74
1787686874.190587,6.97,2390.0,44.0,13.8,6.01
1787686874.293219,6.98,2454.0,44.0,13.55,5.58
1787686874.39517,1.7,1769.0,43.0,9.13,1.73
1787686874.497499,8.04,2887.0,44.0,17.76,9.6
1787686874.599954,5.12,2105.0,43.0,10.31,2.52
1787686874.702004,2.7,2755.0,44.0,12.66,5.17
1787686874.803904,7.11,2379.0,44.0,14.41,6.34
1787686874.905448,7.26,2164.0,45.0,13.25,5.37
1787686875.007378,1.26,1545.0,44.0,10.78,2.71
1787686875.109668,6.98,2359.0,45.0,13.9,5.82
1787686875.211423,7.21,2454.0,44.0,14.09,6.55
1787686875.313356,1.0,1696.0,44.0,10.27,2.18
1787686875.415227,0.98,1607.0,44.0,8.2,1.32
1787686875.517076,2.19,1824.0,44.0,10.06,2.23
1787686875.61901,7.57,2547.0,43.0,15.76,7.68
1787686875.720566,6.85,2467.0,44.0,13.69,5.92
1787686875.822408,0.99,1654.0,43.0,9.48,1.98
1787686875.924343,7.5,2448.0,44.0,13.41,5.84
1787686876.025723,6.99,2417.0,48.0,12.24,4.22
