received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm,rapl_capture_perf_counter_ns,rapl_package_energy_uj,rapl_core_energy_uj,rapl_uncore_energy_uj,rapl_package_power_w,rapl_core_power_w,rapl_uncore_power_w
94081832583805,1.699970777,2026-09-01T16:12:59.998334-03:00,2.9,0.0,722.6953125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1132.0119166666666,800.0,2129.437,52.0,50.125,52.0,919.0,94081833163937,154572691267,85806361450,13065884,21.410146198394976,11.961716585871933,0.0
94081933860861,1.801247833,2026-09-01T16:13:00.099615-03:00,2.5,0.0,722.703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1111.3032083333335,800.0,1749.618,52.0,49.8125,52.0,919.0,94081934406724,154574071452,85806869750,13065884,13.63242795755909,5.020604578971142,0.0
94082032609174,1.899996146,2026-09-01T16:13:00.198359-03:00,2.1,0.0,722.703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1163.1108333333334,800.0,1800.0,52.0,49.8125,52.0,919.0,94082042208978,154575561499,85807430845,13065884,13.822039379621877,5.2048540654817845,0.0
94082132651565,2.000038537,2026-09-01T16:13:00.298401-03:00,2.5,0.0,722.703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1143.0850833333334,800.0,1900.0,52.0,49.8125,52.0,919.0,94082133155047,154576782810,85807863583,13065884,13.4289586502084,4.758182566417466,0.0
94082232655699,2.100042671,2026-09-01T16:13:00.398405-03:00,2.5,10.0,722.703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1165.2009583333333,800.0,1809.711,52.0,49.8125,52.0,919.0,94082233162697,154578116791,85808333613,13065884,13.338789582596931,4.699940454555226,0.0
94082332699091,2.200086063,2026-09-01T16:13:00.498449-03:00,2.5,0.0,722.70703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,996.1680833333334,800.0,1799.88,52.0,49.8125,52.0,919.0,94082333209898,154579451992,85808806085,13065884,13.345710691096695,4.722490937052802,0.0
94082432689916,2.300076888,2026-09-01T16:13:00.598440-03:00,2.1,0.0,722.70703125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1052.5941249999998,800.0,1900.0,52.0,49.8125,52.0,919.0,94082433360818,154580741418,85809250115,13065884,12.874829307608957,4.433608797602658,0.0
94082532594405,2.399981377,2026-09-01T16:13:00.698345-03:00,2.9,0.0,722.71484375,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1139.0524166666667,798.778,1900.196,52.0,49.8125,52.0,919.0,94082533207110,154582034505,85809676200,13065884,12.950776379357182,4.267409349563026,0.0
94082632521602,2.499908574,2026-09-01T16:13:00.798272-03:00,1.7,0.0,722.71484375,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1282.2913333333333,800.0,2000.018,52.0,49.8125,52.0,919.0,94082632975576,154583405596,85810172781,13065884,13.742729090372102,4.977334221015285,0.0
94082732471185,2.599858157,2026-09-01T16:13:00.898221-03:00,2.5,10.0,722.71484375,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1252.9174166666667,800.0,2000.364,52.0,49.8125,52.0,919.0,94082732929705,154584744642,85810651417,13065884,13.396605156751454,4.788556558779078,0.0
94082832759984,2.700146956,2026-09-01T16:13:00.998510-03:00,2.5,0.0,722.71484375,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1182.5649166666667,800.0,2000.598,52.0,49.8125,52.0,919.0,94082833253696,154586124949,85811155261,13065884,13.75849371861612,5.022168625648076,0.0
94082932506934,2.799893906,2026-09-01T16:13:01.098256-03:00,2.1,0.0,722.72265625,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1166.7248333333334,800.0,2100.0,52.0,49.8125,52.0,919.0,94082932958992,154587499457,85811664415,13065884,13.785707030045826,5.106589322998449,0.0
94083032573991,2.899960963,2026-09-01T16:13:01.198324-03:00,2.9,0.0,722.7265625,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1218.6415416666666,800.0,1979.6,52.0,49.875,52.0,919.0,94083033057412,154588872745,85812179978,13065884,13.71937738877397,5.150560818042882,0.0
94083132723196,3.000110168,2026-09-01T16:13:01.298473-03:00,2.1,0.0,722.7265625,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1175.1115833333333,800.0,1971.583,52.0,49.8125,52.0,920.0,94083141963067,154590413573,85812774581,13065884,14.148282749871896,5.459799126133532,0.0
94083232617117,3.100004089,2026-09-01T16:13:01.398367-03:00,2.9,0.0,722.7265625,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1189.1751666666667,800.0,1899.915,52.0,49.8125,52.0,920.0,94083233106424,154591706661,85813283002,13065884,14.187408085045627,5.578256240879958,0.0
94083332568116,3.199955088,2026-09-01T16:13:01.498318-03:00,2.1,0.0,722.73046875,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1132.7120416666667,800.0,1899.874,52.0,49.8125,52.0,920.0,94083333183785,154593102226,85813820477,13065884,13.944862115219046,5.370595253805703,0.0
94083432842958,3.30022993,2026-09-01T16:13:01.598593-03:00,3.3,0.0,722.73046875,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1325.1204583333333,800.0,4310.272,52.0,49.8125,52.0,920.0,94083433581584,154595982407,85815807959,13065884,28.68769065345745,19.796071425828767,0.0
94083532626749,3.400013721,2026-09-01T16:13:01.698377-03:00,2.5,20.1,722.734375,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1048.3200416666666,800.0,1900.0,52.0,49.8125,52.0,920.0,94083533154337,154597257001,85816225378,13065884,12.800630308976192,4.192100624153678,0.0
94083632719625,3.500106597,2026-09-01T16:13:01.798470-03:00,2.5,0.0,722.73828125,9755.734375,107,27.5,0.30029296875,0.5185546875,0.41796875,1144.17775,800.0,1929.912,52.0,49.8125,52.0,920.0,94083633166394,154598562417,85816672642,13065884,13.052586249675876,4.472100798806688,0.0
