model_variant,device,precision,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_median_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,power_total_mean_w,power_total_std_w,power_total_min_w,power_total_max_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_percent_mean,gpu_utilization_percent_std,memory_utilization_percent_mean,memory_used_mib_mean,gpu_clock_sm_mhz_mean,gpu_clock_sm_mhz_std,gpu_clock_memory_mhz_mean,gpu_temperature_c_mean,gpu_temperature_c_max,fan_speed_percent_mean,energy_total_j,energy_dynamic_j,power_samples_total,prediction_sha256
no_softmax_logits,GPU,float32,1,100,1,100,99,99.0,94.55138038212945,99.82325679358594,0.44489761009812356,0.2943364977836609,0.2998548817879087,67.39862723060588,0.8436918854713442,0.9379532456398009,1.3363896715641037,0.19828400015830994,1.6223700046539307,0.44489761009812356,0.44489761009812356,1715.122625882079,1715.122625882079,0.0,1715.122625882079,1715.122625882079,1715.122625882079,0.05830486898776144,26.9,0.0,26.9,26.9,27.03,0.0,15.684009757707827,0.0,1.0,0.0,1.0,707.0,1755.0,0.0,6801.0,42.0,42.0,31.0,1.5684009757707826,0.0,1,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,GPU,float32,1,100,2,200,99,99.0,94.55138038212945,99.82325679358594,0.3367289951443672,0.21635449677705765,0.2399195106741191,71.25003018265696,0.7827731966972351,0.842651933431625,1.1205044889450053,0.1942880004644394,1.6223700046539307,0.12472240557742409,0.5487355847113103,2501.1987559347945,2501.1987559347945,1111.6795241783072,960.5178519248484,4041.8796599447405,2254.150943052082,0.08872520299337339,26.9,0.0,26.9,26.9,27.03,0.0,15.684009757707827,0.0,1.0,0.0,1.0,707.0,1755.0,0.0,6801.0,42.0,42.0,31.0,nan,nan,1,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
