inferences,replicate,directory,inference_only_mean_ms,application_e2e_effective_ms,throughput_effective_inf_s,total_energy_mj_per_inference,correct,accuracy
30000,1,GPU/resultados,0.18574679589999998,0.2804143509333333,3566.151292441319,8.158457347738494,29,0.9666666666666667
30000,2,GPU/replicas/30000/rep02,0.17326185716666664,0.2676475654666666,3736.2566637077894,8.068687772698159,29,0.9666666666666667
30000,3,GPU/replicas/30000/rep03,0.16991944256666666,0.25874512893333335,3864.8070559722646,7.744421426961324,29,0.9666666666666667
30000,4,GPU/replicas/30000/rep04,0.17719746543333334,0.2634293806333333,3796.083783805032,7.864411067825256,29,0.9666666666666667
30000,5,GPU/replicas/30000/rep05,0.1745465956,0.25259049633333336,3958.9771369716973,7.543039421204426,29,0.9666666666666667
100000,1,GPU/resultados_100000,0.18367661547,0.27123109119,3686.8929576347514,8.19309645530387,29,0.9666666666666667
100000,2,GPU/replicas/100000/rep02,0.16916766377000003,0.25746099821,3884.0834415795375,7.523914598576301,29,0.9666666666666667
100000,3,GPU/replicas/100000/rep03,0.1648349232,0.24778444068999997,4035.7659149836913,7.230770975913946,29,0.9666666666666667
100000,4,GPU/replicas/100000/rep04,0.16358840642,0.25301904112000007,3952.2717166797233,7.372778527631102,29,0.9666666666666667
100000,5,GPU/replicas/100000/rep05,0.16204733023999998,0.24999791295999998,4000.0333929187696,7.28489960551865,29,0.9666666666666667
