cycle,images,wall_s,effective_fps,mean_latency_ms,path_equivalent_fps,mismatches
1,10000,11.113577559999953,899.8002619779298,0.8486751914024353,1178.307095730583,0
2,10000,11.10335090000001,900.6290164170161,0.8484494090080261,1178.6206571457938,0
3,10000,11.118997429999922,899.3616612428762,0.8500210642814636,1176.4414342429454,0
4,10000,11.12448513000004,898.9180068237428,0.8492695093154907,1177.482517659203,0
5,10000,11.114835679999942,899.6984110160099,0.8498657941818237,1176.6563695656353,0
6,10000,11.118447840000044,899.4061171041983,0.8495792746543884,1177.0531954264106,0
7,10000,11.129476559999944,898.5148534245218,0.8493217825889587,1177.4100470515828,0
8,10000,11.123071409999966,899.0322574940684,0.8493257761001587,1177.4045108953253,0
9,10000,11.13027360000001,898.4505106864572,0.8500118851661682,1176.4541384083243,0
10,10000,11.129737119999959,898.4938181540839,0.8500782251358032,1176.36232811427,0
11,10000,11.106963579999956,900.3360754695154,0.8489966988563538,1177.8608813756946,0
12,10000,11.112371309999958,899.8979354659485,0.8491193652153015,1177.6907240202222,0
13,10000,11.122992999999951,899.0385950975644,0.8500090837478638,1176.4580157082505,0
14,10000,11.118575830000054,899.3957637108592,0.8490954041481018,1177.7239578905753,0
15,10000,11.128756640000006,898.5729784095624,0.84964919090271,1176.9563376357128,0
16,10000,11.122014049999962,899.1177276924979,0.8495914936065674,1177.0362668709633,0
17,10000,11.119377939999936,899.3308846915637,0.849192202091217,1177.5897111836452,0
18,10000,11.132914809999988,898.2373592778808,0.8493964672088623,1177.3065212833114,0
19,10000,11.130704410000021,898.4157364753863,0.8494798541069031,1177.1909541649409,0
20,10000,11.134868760000018,898.0797363255123,0.8497080206871033,1176.8748507179741,0
21,10000,11.13641660999997,897.9549122668847,0.8500416278839111,1176.412974608543,0
22,10000,11.123332660000074,899.0111422236233,0.8491371273994446,1177.6660891775937,0
23,10000,11.121752190000052,899.1388972855682,0.8493828177452087,1177.3254404352365,0
24,10000,11.124966510000036,898.8791104234945,0.8491533994674683,1177.6435219209304,0
25,10000,11.132016350000072,898.3098556084977,0.849166214466095,1177.6257497817908,0
26,10000,11.123939420000056,898.9621052790621,0.8494308590888977,1177.2588543258285,0
27,10000,11.126741489999972,898.7357178188585,0.8497669100761414,1176.7932925399477,0
28,10000,11.131528709999998,898.3492079588772,0.8495111465454102,1177.147591372476,0
29,10000,11.110501279999994,900.0493990312565,0.8487539291381836,1178.197785800403,0
30,10000,11.129385269999943,898.5222235908858,0.84978848695755,1176.763412717256,0
31,10000,11.14829844999997,896.9978732494399,0.8498651385307312,1176.6572773285252,0
32,10000,11.117844479999917,899.4549274357249,0.8491766452789307,1177.6112844831339,0
33,10000,11.130398340000056,898.4404416203445,0.8494677543640137,1177.2077219678433,0
34,10000,11.123026269999968,899.0359059900007,0.8492774367332458,1177.47152667391,0
35,10000,11.116351529999974,899.5757261735338,0.8491036295890808,1177.7125490370884,0
36,10000,11.131169610000029,898.3781893877704,0.8503080010414124,1176.044443631311,0
37,10000,11.124907030000031,898.8839163359706,0.849457323551178,1177.2221773537422,0
38,10000,11.119077559999937,899.355179963333,0.8500241041183472,1176.437227079824,0
39,10000,11.124992049999946,898.8770468379839,0.8491386771202087,1177.6639398777904,0
40,10000,11.128410490000078,898.6009285859772,0.8498160243034363,1176.725281003808,0
41,10000,11.120278650000046,899.2580415239828,0.8496043682098389,1177.0184304808279,0
42,10000,11.142878630000041,897.4341668836756,0.8509261012077332,1175.19018229748,0
43,10000,11.13059859000009,898.4242778267254,0.8495079278945923,1177.1520513980192,0
44,10000,11.11922224,899.3434778222403,0.8499962091445923,1176.47583511739,0
45,10000,11.12493045999986,898.8820232140243,0.8492474555969238,1177.5130951638994,0
46,10000,11.137559519999968,897.8627662588715,0.8503243327140808,1176.0218560466,0
47,10000,11.123761579999837,898.97647734375,0.8490672707557678,1177.7629811474003,0
48,10000,11.134122530000013,898.1399273320184,0.8502711057662964,1176.0954749823732,0
49,10000,11.135069059999978,898.0635814754453,0.8494651317596436,1177.2113564314614,0
50,10000,11.103237730000046,900.6381960984959,0.8492942452430725,1177.4482231582704,0
51,10000,11.118100060000188,899.4342509991613,0.8496397733688354,1176.9693831951672,0
52,10000,11.121574539999983,899.1532596426778,0.8502394556999207,1176.1392550017522,0
53,10000,11.123549409999896,898.9936243740831,0.8491688370704651,1177.6221127589715,0
54,10000,11.133033060000116,898.2278186102769,0.8504175543785095,1175.8929420628037,0
55,10000,11.132413720000159,898.2777905598587,0.8492477536201477,1177.512681943791,0
56,10000,11.121642249999923,899.1477854810579,0.8498249053955078,1176.7129836405545,0
57,10000,11.132171130000188,898.2973656460338,0.849986732006073,1176.488952527385,0
58,10000,11.117204610000044,899.5066971246434,0.8499908447265625,1176.4832600305178,0
59,10000,11.113513999999896,899.8054080824566,0.8493813276290894,1177.3275058816496,0
60,10000,11.124972020000087,898.8786652247169,0.8506911993026733,1175.5146883143,0
61,10000,11.114935990000049,899.6902914237976,0.8491811752319336,1177.605002521251,0
62,10000,11.12488855000015,898.8854095082027,0.8498070240020752,1176.7377436945708,0
63,10000,11.136740590000045,897.9287897734861,0.8496967554092407,1176.8904537223618,0
64,10000,11.150504819999924,896.8203827026433,0.8511050939559937,1174.943032419102,0
65,10000,11.121895270000095,899.1273301209493,0.8490583300590515,1177.7753831476462,0
66,10000,11.13152728,898.3493233643676,0.8497037887573242,1176.8807121155494,0
67,10000,11.11968595999997,899.3059728460198,0.8488065600395203,1178.1247307436458,0
68,10000,11.11882500999991,899.375607674941,0.8493883609771729,1177.3177570382022,0
69,10000,11.132323020000058,898.2851092296052,0.8495139479637146,1177.1437095259007,0
70,10000,11.13543737000009,898.0338775862487,0.8497574329376221,1176.8064170300781,0
71,10000,11.122059000000036,899.1140938921443,0.848854124546051,1178.0587159599165,0
72,10000,11.123199180000029,899.0219304874458,0.8499149680137634,1176.588291340465,0
73,10000,11.12687979999987,898.724546300942,0.8492574095726013,1177.499293769202,0
74,10000,11.122726979999925,899.0600972208766,0.8492243885993958,1177.5450792802533,0
75,10000,11.12803729999996,898.6310640781223,0.8495824337005615,1177.0488187288177,0
76,10000,11.138636299999916,897.7759692180698,0.8502214550971985,1176.1641558265294,0
77,10000,11.119138480000174,899.350252538616,0.8492600321769714,1177.4956575274425,0
78,10000,11.121478960000104,899.1609871282719,0.8492783904075623,1177.470204463942,0
79,10000,11.122314979999828,899.0934007876978,0.8489484190940857,1177.927866415137,0
80,10000,11.10647001999996,900.3760854702272,0.8481495380401611,1179.0373691775194,0
81,10000,11.105169070000102,900.4815628619608,0.8480409979820251,1179.1882731844007,0
82,10000,11.104296599999998,900.5523141375746,0.8491646647453308,1177.627898942198,0
83,10000,11.101364460000013,900.7901718776637,0.8472514748573303,1180.2871162524575,0
84,10000,11.101144720000093,900.808002438141,0.8486445546150208,1178.34963361503,0
85,10000,11.120415009999988,899.2470147029172,0.8489038944244385,1177.9896482604847,0
86,10000,11.082900829999971,902.2908490646511,0.8463959097862244,1181.4801896343895,0
87,10000,11.125037869999915,898.8733446891248,0.8492098450660706,1177.5652458694678,0
88,10000,11.12025865999999,899.2596580482785,0.8495312333106995,1177.1197582729362,0
89,10000,11.112862200000109,899.8581841498856,0.8489105701446533,1177.9803847060136,0
