perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2840087805590,1788986000.6820245,baseline,14.425,1.206,11.967,1356810
2840097805150,1788986000.6920195,baseline,14.437,1.207,11.966,1352440
2840107804820,1788986000.7020175,baseline,14.45,1.207,11.967,1350760
2840117805060,1788986000.7120204,baseline,14.425,1.206,11.967,1353250
2840127805080,1788986000.7220228,baseline,14.437,1.207,11.967,1355430
2840137804760,1788986000.7320166,baseline,14.412,1.205,11.966,1349510
2840147804740,1788986000.7420244,baseline,14.45,1.207,11.966,1357470
2840157804310,1788986000.7520208,baseline,14.437,1.206,11.968,1354080
2840167804670,1788986000.7620208,baseline,14.437,1.207,11.966,1354160
2840177805810,1788986000.7720213,baseline,14.437,1.206,11.966,1353990
2840187805670,1788986000.7820208,baseline,14.425,1.205,11.966,1353090
2840197804610,1788986000.7920222,baseline,14.45,1.207,11.967,1355590
2840207804760,1788986000.8020241,baseline,14.425,1.205,11.966,1357120
2840217804440,1788986000.8120215,baseline,14.45,1.207,11.967,1354910
2840227804580,1788986000.8220224,baseline,14.425,1.205,11.967,1355770
2840237804800,1788986000.8320177,baseline,14.437,1.207,11.966,1350860
2840247804490,1788986000.8420377,baseline,14.437,1.206,11.967,1371260
2840257804370,1788986000.8520203,baseline,14.437,1.206,11.967,1354110
2840267805150,1788986000.8620214,baseline,14.437,1.206,11.966,1354030
2840277804350,1788986000.8720207,baseline,14.425,1.206,11.966,1354720
2840287805800,1788986000.8820255,baseline,14.437,1.206,11.966,1357500
2840297805540,1788986000.8920195,baseline,14.437,1.206,11.966,1351660
2840307804790,1788986000.9020212,baseline,14.45,1.207,11.967,1354230
2840317805080,1788986000.9120224,baseline,14.425,1.205,11.967,1354800
2840327805120,1788986000.9220247,baseline,14.437,1.206,11.967,1357330
2840337804470,1788986000.9320207,baseline,14.45,1.207,11.966,1354150
2840347804100,1788986000.9420214,baseline,14.425,1.205,11.967,1354930
2840357805420,1788986000.9520214,baseline,14.45,1.207,11.966,1353750
2840367805000,1788986000.9620252,baseline,14.437,1.206,11.967,1358000
2840377804930,1788986000.972023,baseline,14.45,1.207,11.967,1355860
2840387804960,1788986000.9820194,baseline,14.412,1.205,11.966,1352190
2840397804460,1788986000.9920192,baseline,14.425,1.206,11.966,1353170
2840407804560,1788986001.0020235,baseline,14.425,1.206,11.966,1356670
2840417804930,1788986001.0120213,baseline,14.425,1.205,11.966,1354250
