block,samples,duration_s,throughput_inf_s
0,1000,0.10531282,9495.520108567978
1,1000,0.10000375,9999.625014061972
2,1000,0.10381613,9632.414539050917
3,1000,0.09738721,10268.288823552908
4,1000,0.10162134,9840.452802531436
5,1000,0.10395104,9619.913374604044
6,1000,0.11129323,8985.272509388036
7,1000,0.10474985,9546.553049956634
8,1000,0.10050541,9949.713154744604
9,1000,0.10425905,9591.493496248047
