cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
1,30,29,0.5579631666666668,0.4974785,0.26034612295214354,1.1040294499999994,0.35128,1.398349,0.021311323,1407.7023749299844
2,30,29,0.3243635000000001,0.311237,0.08629177536137057,0.5046215,0.21718,0.558909,0.012285472,2441.9086218258444
3,30,29,0.37900076666666666,0.376137,0.10993278265523432,0.5879600500000001,0.244642,0.617091,0.014449004,2076.2676790732426
4,30,29,0.39892676666666665,0.3744495,0.06228816565779284,0.5245867999999999,0.343619,0.588005,0.015186446,1975.4457362835255
5,30,29,0.31961870000000003,0.3138645,0.04583555623444194,0.38895384999999993,0.254439,0.479338,0.0121808,2462.892420859057
6,30,29,0.3396859666666667,0.35680999999999996,0.05326277052726632,0.3999279,0.237394,0.453722,0.012862652,2332.333954148802
7,30,29,0.2093824,0.19665300000000002,0.04359652841810165,0.2920057999999999,0.158598,0.327737,0.008761293,3424.152120012423
8,30,29,0.23826726666666667,0.222721,0.04611007099504203,0.34518694999999977,0.198563,0.393069,0.009192064,3263.6848481472716
9,30,29,0.1906228,0.178348,0.0326080746742064,0.27383535,0.158216,0.280957,0.008997998,3334.074979789949
10,30,29,0.49609126666666664,0.4949875,0.10812502764087613,0.6731667,0.316277,0.776278,0.019516052,1537.196150122986
11,30,29,0.43324313333333336,0.40028050000000004,0.08613736956414379,0.61733425,0.348682,0.726623,0.016641181,1802.7566673302813
12,30,29,0.3871254,0.3678495,0.05353359597138591,0.49559094999999986,0.345583,0.594077,0.014686531,2042.6879567407716
13,30,29,0.35045069999999995,0.3359355,0.07549451718760546,0.469683,0.233422,0.511339,0.013171087,2277.7163342706644
14,30,29,0.19191836666666667,0.182913,0.03947651550189384,0.26095535,0.15215,0.330705,0.008662535,3463.1894705187337
15,30,29,0.1540001,0.1505485,0.01220822913066824,0.1809409,0.142329,0.1983,0.007470422,4015.837391783222
16,30,29,0.1557377,0.1516725,0.014279039811604258,0.17583895,0.142607,0.215917,0.007577029,3959.335512639585
17,30,29,0.15530883333333328,0.1496555,0.013349362772040477,0.17845534999999998,0.142463,0.202425,0.007570596,3962.699898396375
18,30,29,0.15422176666666665,0.15011799999999997,0.014137678284941477,0.17054054999999999,0.142293,0.218815,0.007570546,3962.726070220034
19,30,29,0.1556611,0.1512475,0.01236697208042175,0.17412254999999996,0.141753,0.202157,0.007620352,3936.8260153861656
20,30,29,0.15627656666666664,0.153264,0.01133545295836317,0.17379114999999998,0.146019,0.203509,0.007645341,3923.958395053929
21,30,29,0.15623823333333334,0.15297699999999997,0.01396117505597857,0.17243094999999997,0.142521,0.216901,0.007605179,3944.6803290231564
22,30,29,0.1549854333333333,0.150766,0.012883658879219521,0.17288009999999995,0.143787,0.208394,0.007597031,3948.9110943472524
23,30,29,0.15231116666666664,0.14926499999999998,0.008550700649183904,0.1665167,0.142945,0.185261,0.007538067,3979.8001264780482
24,30,29,0.1523046333333333,0.14886549999999998,0.0127093891914419,0.16651239999999995,0.142732,0.212166,0.007514789,3992.1280557577866
25,30,29,0.14985883333333339,0.14771600000000001,0.006981246559389554,0.15853155,0.142357,0.176612,0.007445056,4029.5197242304152
26,30,29,0.1543502666666667,0.1500745,0.014213066091436435,0.18171029999999996,0.14015,0.20967,0.007574101,3960.866114671563
27,30,29,0.16408509999999998,0.1558235,0.026172808999430874,0.20567684999999997,0.146572,0.274413,0.008022502,3739.481772643995
28,30,29,0.1590045333333333,0.1518725,0.014768270682348913,0.19015549999999995,0.145257,0.2014,0.007739758,3876.090182664626
29,30,29,0.1553893666666667,0.150203,0.01550891241764428,0.17971004999999995,0.144974,0.222613,0.007626947,3933.4218528068964
30,30,29,0.15378836666666665,0.148642,0.014818245357720637,0.17750794999999997,0.14216,0.214541,0.007515193,3991.9134478648784
31,30,29,0.19396889999999997,0.15822350000000002,0.07477281375231194,0.36077274999999986,0.14396,0.421802,0.008849682,3389.9523169307104
32,30,29,0.1658196,0.1634485,0.009396261907507832,0.18362824999999997,0.155319,0.196262,0.007134419,4204.967496302082
33,30,29,0.17158639999999997,0.168731,0.01632483374705438,0.19869259999999997,0.153165,0.223912,0.007191936,4171.33856586043
34,30,29,0.17129993333333332,0.16013650000000001,0.027949940751196636,0.2315919,0.147365,0.26386,0.008093189,3706.8206364635744
35,30,29,0.1955369333333333,0.1657505,0.07722074076975619,0.3834807499999997,0.147351,0.435554,0.008881347,3377.8659926247674
36,30,29,0.16577293333333337,0.15460849999999998,0.04314315600091793,0.25577269999999963,0.144503,0.326921,0.007756797,3867.5757532393845
37,30,29,0.1765520666666667,0.16022999999999998,0.03592539094974408,0.2500128,0.147207,0.290671,0.008589708,3492.5517840653024
38,30,29,0.1698709,0.166908,0.020027758108478445,0.21300404999999997,0.145943,0.226238,0.007201949,4165.539078380033
39,30,29,0.1802785,0.15904649999999998,0.06624549749996025,0.2875948999999999,0.148055,0.480005,0.007055136,4252.221360438693
40,30,29,0.1808797333333333,0.159133,0.06391248415900225,0.3453458,0.147473,0.405754,0.006836403,4388.272604760135
41,30,29,0.16177776666666663,0.1538475,0.024313308890801764,0.22155884999999986,0.147783,0.247432,0.006183227,4851.835457439942
42,30,29,0.16781320000000002,0.15644,0.03610844580388935,0.25063179999999985,0.145767,0.304732,0.006423942,4670.02971072902
43,30,29,0.18814653333333328,0.160441,0.05502094137297013,0.3125128,0.147972,0.321416,0.007017661,4274.928640753665
44,30,29,0.16325626666666665,0.157211,0.01758328863346718,0.20260499999999992,0.148833,0.218259,0.006232892,4813.175007685036
45,30,29,0.16047726666666667,0.156146,0.014407659526442355,0.18513064999999995,0.146708,0.217427,0.006125205,4897.7952574648525
