cycles,samples_per_cycle,inferences,latency_mean_ms,latency_mean_ci95_lower_ms,latency_mean_ci95_upper_ms,latency_median_ms,latency_std_sample_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,throughput_cycle_mean_fps,throughput_cycle_std_fps,throughput_effective_fps,cycle_time_total_s,power_energy_window_s,energy_total_j,energy_total_per_inference_j,energy_dynamic_per_inference_j
10,30,300,0.34539226000000006,0.2604285443492497,0.4303559756507503,0.326155,0.15391408001279921,44.56211034167332,0.5380313,0.5880725,0.99129463,0.158216,1.398349,2425.5658885193084,721.5125689701798,2226.4590253167985,0.134743104,0.137408155,3.870787726407725,0.012902625754692417,0.0
20,30,600,0.28739331333333334,0.22763533328403776,0.3471512933826289,0.253042,0.1479145605164677,51.467641609639294,0.4586084,0.5433406999999999,0.6814364299999996,0.141753,1.398349,2880.1696298766424,926.8249040892462,2571.1487863637785,0.23335872400000002,0.238260139,6.711788115578093,0.011186313525963488,0.0
50,30,1500,0.21404271466666666,0.1855198862989468,0.24256554303438646,0.1601525,0.11429949007518601,53.40031790065225,0.37890050000000003,0.4313891999999998,0.59789472,0.14015,1.398349,3689.9877490394133,967.0617803613126,3339.6426827681853,0.449149847,0.458688652,12.921259326765721,0.00861417288451048,0.0
100,30,3000,0.18827149900000004,0.17323122089238394,0.20331177710761608,0.156198,0.08675791793774,46.081280702895974,0.2812708999999999,0.37989629999999996,0.5432657399999996,0.14015,1.398349,4013.6855010013296,858.8879546018635,3744.331007967317,0.8012112160000001,0.818549279,23.135041613422587,0.007711680537807529,9.800025910590667e-06
200,30,6000,0.17642430433333334,0.16864538224012646,0.18420322642654022,0.155713,0.06604209643996076,37.43367258242484,0.2188381000000001,0.30601675,0.4612829500000002,0.14015,1.398349,3892.1427331612044,640.3366719707008,3749.0201186115983,1.600418192,1.632844063,46.270296903289065,0.007711716150548178,2.9851301097667242e-05
500,30,15000,0.17863593526666663,0.17432258937086748,0.1829492811624659,0.15762500000000002,0.05868491516527457,32.85168523212874,0.23559670000000002,0.29124264999999977,0.41693392,0.136419,1.398349,3804.3502253498596,538.2801940201033,3704.162641223479,4.049498214,4.132293375,117.39711724764035,0.007826474483176023,5.0173011568880574e-05
1000,30,30000,0.18574679589999998,0.18251427460973824,0.1889793171902618,0.16036450000000002,0.06526515279754502,35.13662374702908,0.25681850000000006,0.31812205,0.4489472899999995,0.136419,1.398349,3665.4416792089482,529.5379372902536,3566.151292441319,8.412430527999998,8.58256844,244.75372043215486,0.008158457347738495,8.296106353033299e-05
