received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm,rapl_capture_perf_counter_ns,rapl_package_energy_uj,rapl_core_energy_uj,rapl_uncore_energy_uj,rapl_package_power_w,rapl_core_power_w,rapl_uncore_power_w
94307801535233,1.601023486,2026-09-01T16:16:45.967284-03:00,1.2,0.0,723.46484375,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,892.3732083333333,800.0,2000.0,55.0,51.4375,53.0,1023.0,94307801975375,159225173864,88506921126,13098111,10.964214672538825,2.401470215431158,0.0
94307900989948,1.700478201,2026-09-01T16:16:46.066739-03:00,0.4,0.0,723.46484375,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,948.3250833333333,784.169,2000.0,55.0,51.4375,53.0,1023.0,94307901554443,159226279086,88507181135,13098111,11.098938985851927,2.6110808749485384,0.0
94308001308322,1.800796575,2026-09-01T16:16:46.167058-03:00,0.8,0.0,723.46484375,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,928.9489583333334,799.907,1631.843,55.0,51.4375,53.0,1023.0,94308001864791,159227424591,88507462568,13098111,11.4196094704008,2.805622805734858,0.0
94308101260805,1.900749058,2026-09-01T16:16:46.267010-03:00,0.8,0.0,723.46875,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,1017.5267083333333,800.0,2000.207,55.0,51.25,53.0,1020.0,94308110778145,159228658596,88507763775,13098111,11.330153325367245,2.765565368595664,0.0
94308201096555,2.000584808,2026-09-01T16:16:46.366846-03:00,0.8,0.0,723.46875,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,990.6456666666667,800.0,1993.373,55.0,51.25,53.0,1020.0,94308201682461,159229728052,88508052166,13098111,11.76463392563231,3.1724676306898343,0.0
94308301661707,2.10114996,2026-09-01T16:16:46.467410-03:00,1.2,9.9,723.47265625,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,988.3383749999999,800.0,1854.082,55.0,51.25,53.0,1020.0,94308302210357,159230854208,88508309611,13098111,11.202422857830427,2.5609309479629414,0.0
94308401614818,2.201103071,2026-09-01T16:16:46.567364-03:00,0.8,0.0,723.4765625,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,1029.6222500000001,800.0,1968.104,55.0,51.25,53.0,1020.0,94308402192997,159231964923,88508561686,13098111,11.109078536033856,2.521187678180932,0.0
94308500888020,2.300376273,2026-09-01T16:16:46.666636-03:00,0.4,10.1,723.48046875,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,946.5162083333333,800.0,1999.512,55.0,51.25,53.0,1020.0,94308501434625,159233045975,88508814310,13098111,10.893130451265874,2.5455446982389285,0.0
94308601232206,2.400720459,2026-09-01T16:16:46.766982-03:00,1.2,0.0,723.48046875,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,1045.8374583333332,799.886,1899.589,55.0,51.25,53.0,1020.0,94308601808301,159234163526,88509067788,13098111,11.133905268150187,2.5253433978048188,0.0
94308701275103,2.500763356,2026-09-01T16:16:46.867024-03:00,0.4,0.0,723.48046875,9755.75,107,27.5,0.4140625,0.53759765625,0.45166015625,1010.971125,800.0,1856.154,55.0,51.25,53.0,1020.0,94308701814988,159235233958,88509289895,13098111,10.703604249983803,2.2209214869801657,0.0
