received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89740308928923,2.300262255,2026-09-01T15:00:38.474678-03:00,0.4,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,844.4489166666667,800.0,1866.774,51.0,47.3125,49.0,932.0
89740409514065,2.400847397,2026-09-01T15:00:38.575265-03:00,1.2,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,827.5585416666667,800.0,1460.895,51.0,47.3125,49.0,932.0
89740508820296,2.500153628,2026-09-01T15:00:38.674569-03:00,0.4,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,873.7700416666667,800.0,1676.378,51.0,47.3125,49.0,932.0
89740609942685,2.601276017,2026-09-01T15:00:38.775692-03:00,0.8,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,931.7175833333334,799.452,1905.315,51.0,47.3125,49.0,932.0
89740709765456,2.701098788,2026-09-01T15:00:38.875514-03:00,0.0,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,895.4784583333334,800.0,1917.322,51.0,47.3125,49.0,932.0
89740809381534,2.800714866,2026-09-01T15:00:38.975130-03:00,1.3,0.0,720.484375,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,907.2299166666667,800.0,1900.077,51.0,47.3125,49.0,932.0
89740908752211,2.900085543,2026-09-01T15:00:39.074501-03:00,0.4,10.1,720.48828125,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,947.8012916666667,799.814,1548.464,51.0,46.9375,49.0,932.0
89741008842486,3.000175818,2026-09-01T15:00:39.174592-03:00,0.4,0.0,720.48828125,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,1020.2480833333334,800.0,1714.006,51.0,47.0625,49.0,932.0
89741109884937,3.101218269,2026-09-01T15:00:39.275634-03:00,0.8,9.9,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,915.6560416666666,800.0,1713.166,51.0,47.0625,49.0,932.0
89741209174149,3.200507481,2026-09-01T15:00:39.374924-03:00,1.3,0.0,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,969.2978333333334,800.0,1723.132,51.0,47.0625,49.0,932.0
89741309116572,3.300449904,2026-09-01T15:00:39.474865-03:00,0.0,0.0,720.4921875,9755.3671875,107,27.4,0.2431640625,0.16259765625,0.1640625,906.0585833333333,800.0,1770.438,51.0,47.0625,49.0,932.0
