block,samples,duration_s,throughput_inf_s
0,1000,0.18215416,5489.8554059923745
1,1000,0.18189627,5497.638846579976
2,1000,0.18248774,5479.820178604875
3,1000,0.18207214,5492.328480348504
4,1000,0.18384643,5439.322373570159
5,1000,0.18220314,5488.37961848517
6,1000,0.18195694,5495.8057659136275
7,1000,0.18178894,5500.884707287472
8,1000,0.18214676,5490.07844004472
9,1000,0.1819614,5495.6710599061125
