perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2729363372130,1788985889.9579117,baseline_boundary_before,14.625,1.222,11.963,1678040
2729363294260,1788985889.958153,baseline,14.625,1.222,11.963,1996190
2729373397380,1788985889.9676323,baseline,14.5,1.212,11.966,1372450
2729383394020,1788985889.9776096,baseline,14.45,1.207,11.966,1353090
2729393393790,1788985889.9876084,baseline,14.412,1.204,11.966,1352210
2729403393530,1788985889.9976084,baseline,14.45,1.207,11.966,1352650
2729413393580,1788985890.00761,baseline,14.425,1.205,11.966,1354090
2729423393580,1788985890.0176268,baseline,14.437,1.206,11.966,1371400
2729433394210,1788985890.0276084,baseline,14.45,1.206,11.967,1351590
2729443394360,1788985890.0376117,baseline,14.437,1.206,11.967,1355090
2729453394110,1788985890.047607,baseline,14.437,1.207,11.966,1350930
2729463393190,1788985890.0576112,baseline,14.425,1.205,11.966,1355900
2729473393810,1788985890.0676103,baseline,14.425,1.205,11.967,1354390
2729483393940,1788985890.0776114,baseline,14.412,1.205,11.966,1355190
2729493394610,1788985890.0876083,baseline,14.45,1.207,11.966,1351410
2729503394750,1788985890.0976114,baseline,14.437,1.206,11.967,1354610
2729513393630,1788985890.1076076,baseline,14.437,1.206,11.967,1351610
2729523394060,1788985890.117634,baseline,14.437,1.206,11.967,1377920
2729533393740,1788985890.12761,baseline,14.425,1.205,11.966,1353780
2729543394520,1788985890.1376119,baseline,14.437,1.206,11.966,1355040
2729553393890,1788985890.1476097,baseline,14.412,1.204,11.966,1353670
2729563393780,1788985890.1576135,baseline,14.437,1.206,11.966,1357510
2729573394900,1788985890.1676364,baseline,14.437,1.206,11.966,1379540
2729583393890,1788985890.1776114,baseline,14.425,1.205,11.967,1355190
2729593394350,1788985890.1876094,baseline,14.437,1.206,11.967,1352710
2729603393810,1788985890.197609,baseline,14.425,1.205,11.965,1352900
2729613393630,1788985890.2076104,baseline,14.437,1.206,11.966,1354490
2729623394370,1788985890.2176325,baseline,14.425,1.205,11.966,1376220
2729633394050,1788985890.227612,baseline,14.437,1.207,11.967,1355940
2729643393810,1788985890.2376091,baseline,14.425,1.205,11.967,1353080
2729653394550,1788985890.2476077,baseline,14.425,1.205,11.967,1351000
2729663394590,1788985890.2576144,baseline,14.437,1.206,11.966,1357500
2729673394260,1788985890.267613,baseline,14.425,1.205,11.966,1356530
2729683393440,1788985890.2776122,baseline,14.437,1.206,11.966,1356690
2729693393290,1788985890.2876103,baseline,14.412,1.204,11.966,1354890
2729703394290,1788985890.2976136,baseline,14.462,1.208,11.966,1356970
2729713394790,1788985890.3076115,baseline,14.437,1.205,11.967,1354190
2729723394070,1788985890.317619,baseline,14.425,1.205,11.967,1362810
2729733394040,1788985890.3276114,baseline,14.45,1.207,11.966,1355010
2729743394310,1788985890.337609,baseline,14.412,1.205,11.966,1352370
2729753394360,1788985890.3476086,baseline,14.425,1.206,11.966,1352240
2729763393580,1788985890.357611,baseline,14.425,1.205,11.966,1355360
2729773393820,1788985890.36762,baseline,14.437,1.207,11.966,1364200
2729783393880,1788985890.3776133,baseline,14.45,1.207,11.966,1357410
2729793394040,1788985890.3876095,baseline,14.437,1.206,11.966,1353490
2729803393110,1788985890.3976114,baseline,14.425,1.206,11.966,1356140
2729813394270,1788985890.407608,baseline,14.412,1.204,11.966,1351580
2729823393630,1788985890.4176137,baseline,14.45,1.207,11.967,1358450
2729833393830,1788985890.4276097,baseline,14.425,1.205,11.966,1353930
2729843394430,1788985890.4376116,baseline,14.437,1.206,11.966,1354890
2729853394230,1788985890.4476082,baseline,14.425,1.205,11.967,1352280
2729863393460,1788985890.457612,baseline,14.437,1.206,11.966,1356360
2729873393890,1788985890.4676337,baseline,14.425,1.206,11.967,1377470
2729883393360,1788985890.4776142,baseline,14.425,1.205,11.966,1358780
2729893393970,1788985890.487609,baseline,14.437,1.207,11.966,1352670
2729903393420,1788985890.4976084,baseline,14.412,1.204,11.966,1353050
2729913393780,1788985890.5076094,baseline,14.437,1.207,11.966,1353410
2729923394750,1788985890.517612,baseline,14.425,1.205,11.967,1355160
2729933416730,1788985890.5276303,baseline,14.425,1.206,11.966,1351590
2729943394600,1788985890.5376089,baseline,14.437,1.207,11.966,1352560
2729953393850,1788985890.5476065,baseline,14.425,1.205,11.966,1350830
2729963393990,1788985890.5576112,baseline,14.45,1.206,11.966,1355640
2729973393670,1788985890.567611,baseline,14.425,1.205,11.966,1355280
2729983395190,1788985890.577613,baseline,14.437,1.207,11.966,1355920
2729993393920,1788985890.5876117,baseline,14.412,1.204,11.967,1355700
2730003393730,1788985890.5976114,baseline,14.437,1.206,11.967,1355820
2730013393490,1788985890.607608,baseline,14.425,1.205,11.966,1352250
2730023393490,1788985890.6176062,baseline,14.425,1.205,11.967,1350610
2730033394830,1788985890.627613,baseline,14.437,1.206,11.966,1356120
2730043394320,1788985890.6376104,baseline,14.425,1.205,11.966,1354130
2730053393850,1788985890.6476083,baseline,14.45,1.207,11.966,1352390
2730063394820,1788985890.657611,baseline,14.412,1.205,11.967,1354040
2730073394060,1788985890.6676095,baseline,14.437,1.206,11.966,1353070
2730083395040,1788985890.6776295,baseline,14.425,1.205,11.966,1372440
2730093393840,1788985890.6876082,baseline,14.425,1.205,11.966,1352720
2730103394090,1788985890.6976097,baseline,14.45,1.207,11.967,1353790
2730113393690,1788985890.7076066,baseline,14.425,1.205,11.966,1350690
2730123394370,1788985890.71761,baseline,14.437,1.207,11.966,1353710
2730133395560,1788985890.7276137,baseline,14.425,1.205,11.967,1356070
2730143393240,1788985890.7376103,baseline,14.437,1.206,11.966,1354790
2730153394480,1788985890.7476063,baseline,14.425,1.205,11.966,1349830
2730163393670,1788985890.757613,baseline,14.437,1.206,11.966,1357390
2730173395010,1788985890.7676091,baseline,14.437,1.206,11.967,1351980
2730183395330,1788985890.7776148,baseline,14.425,1.206,11.966,1357420
2730193393590,1788985890.7876084,baseline,14.437,1.207,11.966,1352610
2730203393290,1788985890.7976105,baseline,14.425,1.205,11.967,1355050
2730213393540,1788985890.8076096,baseline,14.425,1.206,11.966,1354080
2730223393750,1788985890.8176095,baseline,14.412,1.204,11.966,1353970
2730233395910,1788985890.8276126,baseline,14.425,1.205,11.967,1354450
2730243394050,1788985890.8376107,baseline,14.425,1.206,11.966,1354640
2730253393080,1788985890.8476086,baseline,14.425,1.205,11.965,1353380
2730263392910,1788985890.8576071,baseline,14.437,1.206,11.966,1352160
2730273394580,1788985890.8676114,baseline,14.412,1.204,11.966,1354940
2730283395450,1788985890.8776145,baseline,14.437,1.206,11.966,1357100
2730293393410,1788985890.8876078,baseline,14.425,1.206,11.967,1352260
2730303394300,1788985890.897614,baseline,14.425,1.206,11.966,1357920
2730313394150,1788985890.9076087,baseline,14.437,1.206,11.966,1352720
2730323394440,1788985890.9176104,baseline,14.425,1.205,11.966,1353980
2730333395260,1788985890.9276147,baseline,14.437,1.206,11.966,1357460
2730343394150,1788985890.9376125,baseline,14.412,1.204,11.966,1356270
2730353393820,1788985890.9476085,baseline,14.45,1.207,11.967,1352830
