perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2802899335970,1788985963.4939008,baseline_boundary_before,14.65,1.224,11.962,1703140
2802899259350,1788985963.494588,baseline,14.65,1.224,11.962,2466210
2802909366320,1788985963.5035803,baseline,14.525,1.214,11.966,1351930
2802919358850,1788985963.513572,baseline,14.462,1.209,11.966,1350640
2802929358940,1788985963.523569,baseline,14.45,1.207,11.966,1347850
2802939358810,1788985963.533571,baseline,14.475,1.209,11.966,1350090
2802949359480,1788985963.543568,baseline,14.45,1.207,11.966,1346360
2802959359050,1788985963.55357,baseline,14.475,1.209,11.967,1348660
2802969358740,1788985963.5635715,baseline,14.425,1.206,11.966,1350590
2802979359980,1788985963.5735698,baseline,14.462,1.208,11.966,1347580
2802989359510,1788985963.583572,baseline,14.437,1.206,11.966,1350230
2802999358680,1788985963.593573,baseline,14.45,1.207,11.967,1352340
2803009359880,1788985963.603572,baseline,14.462,1.208,11.966,1349840
2803019358990,1788985963.6135721,baseline,14.45,1.207,11.967,1351090
2803029359760,1788985963.6235695,baseline,14.462,1.208,11.966,1347610
2803039358640,1788985963.6335695,baseline,14.425,1.205,11.967,1348720
2803049358570,1788985963.6435688,baseline,14.425,1.206,11.966,1347970
2803059359170,1788985963.653572,baseline,14.437,1.206,11.966,1350770
2803069359200,1788985963.6635745,baseline,14.425,1.205,11.966,1353170
2803079359460,1788985963.673573,baseline,14.437,1.207,11.967,1351660
2803089359300,1788985963.6835685,baseline,14.437,1.206,11.966,1346900
2803099359690,1788985963.6935751,baseline,14.437,1.206,11.966,1353510
2803109359560,1788985963.7035694,baseline,14.437,1.206,11.967,1347770
2803119359420,1788985963.7135713,baseline,14.45,1.207,11.966,1349750
2803129359640,1788985963.7235692,baseline,14.437,1.206,11.967,1347480
2803139359550,1788985963.7335703,baseline,14.437,1.206,11.966,1348470
2803149359360,1788985963.7435708,baseline,14.45,1.207,11.967,1349410
2803159358850,1788985963.7535725,baseline,14.437,1.206,11.966,1351450
2803169359080,1788985963.7635698,baseline,14.437,1.206,11.966,1348630
2803179358650,1788985963.7735698,baseline,14.425,1.205,11.967,1349050
2803189359080,1788985963.783568,baseline,14.437,1.207,11.966,1346580
2803199358640,1788985963.7935734,baseline,14.425,1.206,11.966,1352840
2803209360060,1788985963.8035712,baseline,14.45,1.207,11.966,1348980
2803219359940,1788985963.8135793,baseline,14.45,1.208,11.966,1357730
2803229358810,1788985963.8235703,baseline,14.437,1.206,11.966,1349560
2803239359420,1788985963.833574,baseline,14.437,1.207,11.966,1352880
2803249359900,1788985963.8435705,baseline,14.425,1.205,11.967,1348560
2803259359050,1788985963.8535705,baseline,14.437,1.206,11.966,1349760
2803269358910,1788985963.8635714,baseline,14.425,1.206,11.966,1350560
2803279358430,1788985963.8735716,baseline,14.425,1.206,11.967,1351100
2803289358960,1788985963.8835723,baseline,14.45,1.207,11.966,1351040
2803299359540,1788985963.893571,baseline,14.425,1.205,11.967,1349610
2803309359280,1788985963.903571,baseline,14.437,1.207,11.966,1349320
2803319358640,1788985963.9135692,baseline,14.412,1.205,11.967,1348400
2803329358490,1788985963.9235692,baseline,14.45,1.207,11.967,1348480
2803339359750,1788985963.9335706,baseline,14.437,1.207,11.967,1348550
2803349359640,1788985963.9435697,baseline,14.437,1.206,11.967,1347950
2803359359280,1788985963.953572,baseline,14.437,1.206,11.966,1350810
2803369359500,1788985963.9635699,baseline,14.425,1.205,11.967,1348330
2803379359820,1788985963.973573,baseline,14.437,1.207,11.967,1350990
2803389358510,1788985963.9835696,baseline,14.412,1.204,11.966,1349010
2803399357690,1788985963.9935706,baseline,14.45,1.207,11.967,1350840
2803409359410,1788985964.0035722,baseline,14.425,1.205,11.966,1350650
2803419359050,1788985964.013691,baseline,14.437,1.207,11.966,1469980
2803429360070,1788985964.0235722,baseline,14.437,1.206,11.966,1349700
2803439359000,1788985964.0335734,baseline,14.425,1.205,11.966,1352290
2803449358890,1788985964.043568,baseline,14.45,1.207,11.967,1347140
2803459359760,1788985964.0535743,baseline,14.412,1.204,11.967,1352450
2803469360010,1788985964.0635712,baseline,14.45,1.208,11.967,1349010
2803479358970,1788985964.073574,baseline,14.437,1.206,11.967,1353010
2803489359200,1788985964.0835721,baseline,14.437,1.207,11.966,1350680
2803499359070,1788985964.0935717,baseline,14.437,1.206,11.966,1350430
2803509359260,1788985964.103572,baseline,14.425,1.205,11.966,1350730
2803519358930,1788985964.1135745,baseline,14.437,1.207,11.967,1353340
2803529359630,1788985964.12357,baseline,14.412,1.204,11.966,1348120
2803539359570,1788985964.13358,baseline,14.45,1.207,11.967,1358320
2803549359120,1788985964.1435688,baseline,14.425,1.205,11.966,1347960
2803559359830,1788985964.1535733,baseline,14.45,1.207,11.967,1351560
2803569358140,1788985964.163571,baseline,14.425,1.205,11.966,1351070
2803579358560,1788985964.173571,baseline,14.437,1.206,11.967,1350500
2803589359320,1788985964.18357,baseline,14.437,1.206,11.966,1348400
2803599358620,1788985964.1935732,baseline,14.425,1.205,11.966,1352640
2803609358850,1788985964.20357,baseline,14.437,1.206,11.967,1349410
2803619359060,1788985964.2135756,baseline,14.425,1.206,11.966,1354420
2803629360080,1788985964.2235734,baseline,14.45,1.207,11.966,1351260
2803639357760,1788985964.2335746,baseline,14.425,1.206,11.966,1355080
2803649360280,1788985964.243573,baseline,14.437,1.206,11.966,1350560
2803659359580,1788985964.2535708,baseline,14.437,1.207,11.966,1349060
2803669359100,1788985964.263572,baseline,14.4,1.204,11.966,1350610
2803679359470,1788985964.2735748,baseline,14.45,1.207,11.966,1353410
2803689358590,1788985964.2835698,baseline,14.425,1.206,11.966,1349250
2803699358990,1788985964.29357,baseline,14.437,1.207,11.967,1349010
