block,samples,duration_s,throughput_inf_s
0,1000,0.1096833,9117.158218252003
1,1000,0.10766324,9288.22130933455
2,1000,0.1043728,9581.040271028467
3,1000,0.0889817,11238.265845673886
4,1000,0.08945917,11178.283903148218
5,1000,0.09019731,11086.805138645486
6,1000,0.09083154,11009.391671659425
7,1000,0.09005159,11104.745624147225
8,1000,0.09060467,11036.95869098138
9,1000,0.08931402,11196.450456490482
