block,samples,duration_s,throughput_inf_s
0,1000,0.66705765,1499.1208031269862
1,1000,0.67312921,1485.5988792998598
2,1000,0.68462875,1460.6456418898563
3,1000,0.68402328,1461.9385468868836
4,1000,0.67152293,1489.1524255173238
5,1000,0.67177098,1488.6025591638388
6,1000,0.64942701,1539.81892437766
7,1000,0.63924572,1564.3436767945823
8,1000,0.63400607,1577.2719652352855
9,1000,0.6402253,1561.95014473811
