block,samples,duration_s,throughput_inf_s
0,1000,0.29064912,3440.5746695534467
1,1000,0.28986891,3449.8353065873816
2,1000,0.28967769,3452.112587614186
3,1000,0.28880625,3462.5289445778963
4,1000,0.28890909,3461.2964237296933
5,1000,0.28819206,3469.908227173226
6,1000,0.28797738,3472.4949577636967
7,1000,0.28767725,3476.1177673938414
8,1000,0.28762389,3476.7626569545387
9,1000,0.28788763,3473.5775205068726
