perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2410334071620,1788985570.928728,baseline_boundary_before,14.65,1.225,11.962,1794880
2410333951890,1788985570.92942,baseline,14.65,1.225,11.962,2606230
2410344041990,1788985570.9382744,baseline,14.65,1.224,11.963,1370230
2410354049970,1788985570.9482725,baseline,14.45,1.207,11.966,1360110
2410364035340,1788985570.9582531,baseline,14.437,1.206,11.967,1355680
2410374048820,1788985570.9682732,baseline,14.45,1.207,11.966,1362090
2410384038410,1788985570.9782603,baseline,14.437,1.206,11.966,1359660
2410394049380,1788985570.9882677,baseline,14.437,1.206,11.967,1356380
2410404040170,1788985570.9982579,baseline,14.437,1.207,11.966,1355500
2410414050190,1788985571.0082707,baseline,14.425,1.206,11.966,1358530
2410424045240,1788985571.018268,baseline,14.45,1.208,11.965,1360910
2410434049120,1788985571.0282722,baseline,14.437,1.206,11.966,1360720
2410444048220,1788985571.038268,baseline,14.45,1.207,11.966,1357700
2410454048960,1788985571.0482714,baseline,14.425,1.205,11.966,1360150
2410464045950,1788985571.0582688,baseline,14.437,1.206,11.966,1360620
2410474048880,1788985571.0682683,baseline,14.437,1.206,11.967,1357180
2410484044540,1788985571.078266,baseline,14.425,1.205,11.966,1359330
2410494049880,1788985571.0882683,baseline,14.437,1.207,11.966,1356320
2410504044650,1788985571.0982654,baseline,14.412,1.205,11.966,1358500
2410514049480,1788985571.108274,baseline,14.45,1.207,11.966,1362260
2410524047570,1788985571.1182811,baseline,14.425,1.206,11.966,1371770
2410534048890,1788985571.1282723,baseline,14.437,1.207,11.966,1361350
2410544043900,1788985571.138266,baseline,14.437,1.206,11.966,1360190
2410554048920,1788985571.148268,baseline,14.425,1.205,11.966,1356840
2410564048080,1788985571.1582694,baseline,14.45,1.207,11.966,1359270
2410574049010,1788985571.16827,baseline,14.412,1.205,11.966,1358810
2410584046110,1788985571.1782677,baseline,14.45,1.206,11.966,1359390
2410594048550,1788985571.1882703,baseline,14.425,1.205,11.966,1359550
2410604045260,1788985571.198265,baseline,14.437,1.207,11.967,1357800
2410614048630,1788985571.2082677,baseline,14.425,1.206,11.966,1357090
2410624046340,1788985571.2182689,baseline,14.437,1.206,11.966,1360340
2410634048880,1788985571.2282696,baseline,14.437,1.206,11.967,1358550
2410644044510,1788985571.2382655,baseline,14.412,1.204,11.966,1359100
2410654049330,1788985571.2482696,baseline,14.437,1.206,11.967,1357970
2410664043740,1788985571.2582638,baseline,14.437,1.207,11.966,1357660
2410674049760,1788985571.26827,baseline,14.425,1.205,11.966,1358140
2410684059150,1788985571.2782815,baseline,14.437,1.206,11.966,1360200
2410694048430,1788985571.2882695,baseline,14.437,1.206,11.966,1358900
2410704044870,1788985571.2982678,baseline,14.462,1.208,11.966,1360850
2410714048830,1788985571.308266,baseline,14.412,1.204,11.966,1355000
2410724047920,1788985571.3182704,baseline,14.425,1.206,11.966,1360200
2410734048730,1788985571.3282824,baseline,14.425,1.205,11.966,1371320
2410744041600,1788985571.3382618,baseline,14.437,1.206,11.966,1358060
2410754049580,1788985571.34827,baseline,14.437,1.206,11.966,1357930
2410764047720,1788985571.3582683,baseline,14.437,1.206,11.966,1358190
2410774048410,1788985571.3682706,baseline,14.437,1.206,11.966,1360120
2410784048270,1788985571.37827,baseline,14.4,1.204,11.966,1359510
2410794048620,1788985571.3882694,baseline,14.45,1.206,11.966,1358620
2410804045280,1788985571.3982654,baseline,14.425,1.205,11.966,1358020
2410814049670,1788985571.408272,baseline,14.437,1.206,11.966,1360340
2410824050640,1788985571.418272,baseline,14.437,1.206,11.966,1359230
2410834048470,1788985571.4282699,baseline,14.437,1.206,11.966,1359380
2410844047520,1788985571.4382684,baseline,14.437,1.207,11.966,1358810
2410854049390,1788985571.448269,baseline,14.412,1.204,11.966,1357210
2410864045230,1788985571.4582684,baseline,14.437,1.207,11.966,1361040
2410874048240,1788985571.468269,baseline,14.425,1.205,11.965,1358810
2410884047730,1788985571.4782696,baseline,14.45,1.207,11.966,1359720
2410894048780,1788985571.4882717,baseline,14.425,1.206,11.966,1360610
2410904046430,1788985571.4982665,baseline,14.425,1.206,11.966,1357820
2410914049890,1788985571.50827,baseline,14.437,1.207,11.966,1358050
2410924044330,1788985571.5182629,baseline,14.4,1.204,11.967,1356220
2410934049480,1788985571.5282736,baseline,14.437,1.207,11.967,1361850
2410944044610,1788985571.5382922,baseline,14.425,1.205,11.966,1385600
2410954049450,1788985571.54827,baseline,14.45,1.208,11.966,1358240
2410964047930,1788985571.5582695,baseline,14.425,1.206,11.966,1359170
2410974049260,1788985571.5682712,baseline,14.437,1.206,11.966,1359550
2410984045940,1788985571.5782652,baseline,14.437,1.207,11.966,1356980
2410994048650,1788985571.5882685,baseline,14.412,1.204,11.965,1357690
2411004045030,1788985571.5982635,baseline,14.437,1.206,11.966,1356250
2411014049590,1788985571.6082659,baseline,14.425,1.206,11.965,1354410
2411024044250,1788985571.6182652,baseline,14.45,1.207,11.966,1358740
2411034049430,1788985571.6282666,baseline,14.437,1.206,11.966,1354930
2411044049030,1788985571.6382718,baseline,14.45,1.207,11.966,1360710
2411054049210,1788985571.6482685,baseline,14.437,1.206,11.966,1357260
2411064042260,1788985571.6582584,baseline,14.412,1.204,11.966,1354070
2411074049580,1788985571.6682663,baseline,14.437,1.206,11.966,1354650
2411084047890,1788985571.6782658,baseline,14.425,1.204,11.966,1355930
2411094049990,1788985571.6882696,baseline,14.437,1.207,11.966,1357430
2411104045890,1788985571.6982644,baseline,14.437,1.206,11.966,1356250
2411114048730,1788985571.7082639,baseline,14.425,1.206,11.966,1352970
2411124044740,1788985571.7182643,baseline,14.437,1.206,11.966,1357460
2411134049760,1788985571.7282684,baseline,14.4,1.204,11.966,1356340
2411144045200,1788985571.7382684,baseline,14.437,1.206,11.966,1361010
2411154049190,1788985571.7482772,baseline,14.425,1.205,11.966,1366140
2411164047290,1788985571.7582672,baseline,14.45,1.207,11.966,1357730
2411174049380,1788985571.7682683,baseline,14.425,1.206,11.966,1356810
2411184043480,1788985571.7782617,baseline,14.437,1.206,11.966,1356260
2411194048630,1788985571.7882667,baseline,14.425,1.206,11.966,1355980
2411204040940,1788985571.7982616,baseline,14.425,1.205,11.966,1358560
2411214048410,1788985571.8082674,baseline,14.437,1.206,11.966,1356780
2411224045320,1788985571.8182657,baseline,14.437,1.206,11.966,1358110
2411234048880,1788985571.828267,baseline,14.437,1.207,11.966,1355920
2411244047030,1788985571.8382666,baseline,14.425,1.206,11.966,1357550
2411254049060,1788985571.8482716,baseline,14.437,1.206,11.966,1360470
2411264040900,1788985571.8582585,baseline,14.425,1.205,11.966,1355280
2411274050020,1788985571.8682702,baseline,14.425,1.204,11.966,1358050
2411284048290,1788985571.8782663,baseline,14.437,1.206,11.966,1355900
2411294048970,1788985571.8882673,baseline,14.425,1.205,11.965,1356170
2411304049220,1788985571.8982694,baseline,14.45,1.207,11.966,1358080
2411314048780,1788985571.9082673,baseline,14.437,1.206,11.966,1356530
2411324045090,1788985571.9182646,baseline,14.45,1.207,11.966,1357430
2411334049720,1788985571.9282691,baseline,14.437,1.205,11.966,1357230
2411344050160,1788985571.9382699,baseline,14.425,1.204,11.966,1357680
2411354049190,1788985571.948271,baseline,14.437,1.206,11.967,1359730
2411364048190,1788985571.9582756,baseline,14.437,1.206,11.966,1365500
2411374048290,1788985571.9682665,baseline,14.45,1.207,11.967,1356120
2411384044900,1788985571.978266,baseline,14.425,1.205,11.966,1358950
2411394048610,1788985571.9882653,baseline,14.425,1.205,11.966,1354350
2411404043820,1788985571.9982653,baseline,14.425,1.205,11.966,1359420
2411414048960,1788985572.0082674,baseline,14.437,1.204,11.966,1356400
2411424041170,1788985572.0182576,baseline,14.45,1.206,11.967,1354420
2411434048190,1788985572.0282664,baseline,14.425,1.205,11.966,1356220
2411444047860,1788985572.0382702,baseline,14.45,1.207,11.966,1360320
2411454049560,1788985572.0482748,baseline,14.437,1.206,11.966,1363120
2411464044680,1788985572.0582669,baseline,14.425,1.205,11.966,1360270
2411474048900,1788985572.0682669,baseline,14.437,1.206,11.966,1355720
2411484044060,1788985572.0782635,baseline,14.425,1.204,11.966,1357400
2411494048890,1788985572.088268,baseline,14.437,1.206,11.967,1356940
2411504045470,1788985572.0982637,baseline,14.437,1.206,11.966,1356280
2411514049240,1788985572.1082675,baseline,14.45,1.207,11.966,1356310
2411524044960,1788985572.1182644,baseline,14.425,1.205,11.966,1357250
2411534049480,1788985572.1282678,baseline,14.437,1.206,11.966,1356150
2411544044220,1788985572.1382654,baseline,14.437,1.206,11.966,1358890
2411554049390,1788985572.1482668,baseline,14.425,1.204,11.966,1355360
2411564045580,1788985572.1582704,baseline,14.45,1.207,11.966,1362910
2411574048910,1788985572.16828,baseline,14.425,1.205,11.966,1368820
2411584041470,1788985572.1782677,baseline,14.45,1.207,11.966,1363970
2411594048270,1788985572.1882646,baseline,14.412,1.204,11.966,1354350
2411604048050,1788985572.1982665,baseline,14.425,1.205,11.966,1356410
2411614048730,1788985572.208623,baseline,14.437,1.206,11.966,1711890
2411624046370,1788985572.2182682,baseline,14.425,1.205,11.966,1359780
2411634048360,1788985572.2282674,baseline,14.437,1.207,11.967,1357060
2411644040970,1788985572.2382607,baseline,14.437,1.206,11.966,1357630
2411654048940,1788985572.2482698,baseline,14.437,1.206,11.966,1358980
2411664044630,1788985572.2582703,baseline,14.425,1.204,11.966,1363560
2411674047980,1788985572.2682672,baseline,14.437,1.206,11.966,1357180
2411684048180,1788985572.2782686,baseline,14.412,1.205,11.966,1358460
2411694048310,1788985572.2882662,baseline,14.412,1.205,11.966,1356050
2411704043290,1788985572.2982621,baseline,14.425,1.205,11.967,1356380
2411714048390,1788985572.3082695,baseline,14.425,1.205,11.966,1359120
2411724037190,1788985572.318256,baseline,14.437,1.206,11.967,1356540
2411734049850,1788985572.3282669,baseline,14.425,1.205,11.966,1354730
2411744043580,1788985572.3382623,baseline,14.45,1.206,11.966,1356500
2411754049350,1788985572.3482692,baseline,14.425,1.206,11.966,1357860
2411764047450,1788985572.3582685,baseline,14.437,1.205,11.966,1358890
2411774048030,1788985572.3682702,baseline,14.437,1.206,11.967,1359900
