block,samples,duration_s,throughput_inf_s
0,1000,0.64657234,1546.6173514320146
1,1000,0.60355909,1656.8386038225356
2,1000,0.64911888,1540.5498604508316
3,1000,0.63846782,1566.2496506088592
4,1000,0.63471743,1575.5042365860347
5,1000,0.64693439,1545.7518033629347
6,1000,0.65003549,1538.377543047688
7,1000,0.61706541,1620.5737411208966
8,1000,0.64428172,1552.116052586437
9,1000,0.63056207,1585.8866994648124
