passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.46576313333333336,0.4445205,0.8366944999999998,0.5678074666666666,0.5226284999999999,1.05840805,0.017121702,1752.1622558318093
2,30,0.29674639999999997,0.3028305,0.3596318,0.3532543,0.35372099999999995,0.42514399999999997,0.010656766,2815.1129526537416
3,30,0.1527696,0.13988099999999998,0.21969659999999994,0.18522666666666668,0.168567,0.27364839999999996,0.00558881,5367.869009681846
4,30,0.11187416666666668,0.10248950000000001,0.16748349999999998,0.13457970000000002,0.123921,0.18873389999999998,0.004061564,7386.317192096443
5,30,0.10525743333333332,0.1009395,0.12251359999999997,0.12721069999999998,0.12193899999999999,0.15037709999999996,0.00384016,7812.174492729469
6,30,0.10411366666666669,0.10045699999999999,0.11793204999999997,0.12593516666666668,0.1207685,0.14519154999999995,0.00380153,7891.5594510631245
7,30,0.10676310000000001,0.1030875,0.12427669999999999,0.12872779999999998,0.1231875,0.14996734999999997,0.003885516,7720.982232475687
8,30,0.10422590000000001,0.10062650000000001,0.11683144999999996,0.12619940000000002,0.1213495,0.14342124999999997,0.003810249,7873.501180631502
9,30,0.10584293333333333,0.102876,0.12037234999999996,0.12824206666666665,0.123503,0.14857434999999997,0.003871776,7748.382137809625
10,30,0.11114086666666666,0.1017585,0.14670994999999995,0.13472043333333333,0.1229935,0.17310214999999995,0.004066537,7377.284406855268
11,30,0.10512123333333336,0.10038949999999999,0.12103409999999996,0.12688266666666667,0.1200785,0.14783379999999996,0.003830958,7830.93941515412
12,30,0.10470316666666668,0.10057650000000001,0.11839634999999997,0.1263087,0.1209585,0.14545989999999998,0.003813316,7867.168626990262
13,30,0.10181336666666668,0.09831300000000001,0.11030585,0.1233257,0.11858450000000001,0.13517934999999998,0.003723329,8057.305706801628
14,30,0.10543313333333332,0.1017275,0.1215497,0.1274409,0.12216250000000001,0.14777324999999997,0.003847545,7797.179760080779
15,30,0.10153476666666664,0.0991515,0.11666244999999999,0.1224676,0.119126,0.14258454999999998,0.003697247,8114.145470940946
16,30,0.10416463333333333,0.100777,0.12034109999999998,0.12577496666666668,0.1204105,0.14670769999999997,0.003795719,7903.640917570558
17,30,0.10106006666666664,0.0979035,0.11257509999999998,0.12208426666666665,0.117892,0.13625654999999995,0.00368556,8139.875622700485
18,30,0.10401706666666666,0.100694,0.11983349999999995,0.1257878,0.121446,0.14267144999999998,0.003796619,7901.767335621509
19,30,0.11108226666666667,0.101028,0.16228934999999997,0.1329335,0.121483,0.1960222,0.004011384,7478.715575472206
20,30,0.10565926666666667,0.1016845,0.12756584999999995,0.12786933333333333,0.122309,0.15561869999999994,0.003860277,7771.4630323160745
21,30,0.11846273333333333,0.10179949999999999,0.14146459999999997,0.1416501,0.12344150000000001,0.18457809999999994,0.004274899,7017.7096581697015
22,30,0.10335559999999999,0.099901,0.11986379999999999,0.12500566666666668,0.12009600000000001,0.1469555,0.003772508,7952.269418646693
23,30,0.11156223333333333,0.10242899999999999,0.16088459999999993,0.1354324,0.12347050000000001,0.21035599999999993,0.004086999,7340.3492391361
24,30,0.10467129999999998,0.1006685,0.12113019999999997,0.12705366666666665,0.1220695,0.14970434999999996,0.003834227,7824.262882714039
25,30,0.1048862666666667,0.100657,0.12541304999999997,0.12734046666666668,0.121831,0.15419109999999997,0.003845028,7802.283884538682
26,30,0.11150273333333335,0.101072,0.15786699999999992,0.13345133333333334,0.1223775,0.19033704999999998,0.004032353,7439.8248367640435
27,30,0.11143253333333333,0.10159950000000001,0.17103059999999984,0.13447813333333333,0.12235299999999999,0.20364974999999982,0.004059096,7390.80819965825
28,30,0.10543350000000001,0.10203300000000001,0.12168719999999997,0.12770873333333335,0.123442,0.15007019999999996,0.003855981,7780.121323211914
29,30,0.10180663333333334,0.0986825,0.11215674999999997,0.1228035,0.1185435,0.13610309999999995,0.003708628,8089.244863599153
30,30,0.10475516666666668,0.10098,0.12214099999999999,0.12703406666666667,0.1224985,0.1494285,0.003836102,7820.43855976718
31,30,0.10405303333333335,0.1001235,0.12001824999999997,0.1259492333333333,0.1205115,0.14788809999999997,0.003803203,7888.0880142343185
32,30,0.10453756666666668,0.10074050000000001,0.12075489999999998,0.12651436666666666,0.1205785,0.14833909999999997,0.003819496,7854.439433893896
33,30,0.10394863333333332,0.1006325,0.12421869999999999,0.126026,0.12121799999999999,0.14858739999999998,0.003804596,7885.199900331073
34,30,0.10345103333333333,0.099173,0.11918044999999997,0.12488783333333335,0.11966750000000001,0.14733559999999996,0.003769537,7958.53708293618
35,30,0.12834163333333332,0.1045415,0.2279161999999999,0.15664233333333336,0.1252455,0.27868665,0.004725584,6348.421697720324
36,30,0.10510183333333331,0.10009950000000001,0.12001109999999997,0.1269152,0.120674,0.14803254999999996,0.00382994,7833.020882833674
37,30,0.12228413333333335,0.10749500000000001,0.16878934999999998,0.1474835,0.1304955,0.20579275,0.004461543,6724.131090970097
38,30,0.10399346666666667,0.09994549999999999,0.12453004999999995,0.12561763333333334,0.12017900000000001,0.15216429999999992,0.003790796,7913.905153429518
39,30,0.1033491,0.09938050000000001,0.12315529999999997,0.12461406666666665,0.1191175,0.15091554999999993,0.003760949,7976.710133532787
40,30,0.10490856666666666,0.10197149999999999,0.12362044999999997,0.12674446666666667,0.1228305,0.15364819999999998,0.003825245,7842.63491619491
41,30,0.10516423333333334,0.10005700000000001,0.12606084999999995,0.12688483333333334,0.1200805,0.15417269999999994,0.003829141,7834.65534437097
42,30,0.10356033333333332,0.100231,0.11979334999999997,0.12524656666666667,0.120668,0.14896014999999996,0.00377958,7937.3898687155715
43,30,0.11114346666666663,0.10770450000000001,0.13025889999999998,0.1338221666666667,0.1305685,0.15488395,0.004038464,7428.566900683031
44,30,0.11193739999999999,0.107961,0.13559285,0.1347173333333333,0.13000899999999999,0.15942035,0.004065246,7379.627210751822
45,30,0.10674603333333331,0.1029225,0.13319439999999996,0.12910826666666667,0.12346399999999999,0.15801765,0.003896468,7699.280476575195
46,30,0.10485680000000001,0.1011875,0.12133629999999998,0.12698646666666666,0.121757,0.14841034999999997,0.003832305,7828.186952760806
47,30,0.10584940000000002,0.101011,0.12087549999999997,0.12827153333333335,0.1216045,0.14863174999999995,0.003871602,7748.730370528789
48,30,0.10465356666666668,0.10114100000000001,0.11874114999999999,0.1265826,0.1210455,0.14488599999999996,0.003819986,7853.431923572494
49,30,0.10395553333333335,0.099933,0.12282424999999995,0.12645086666666666,0.12062149999999999,0.15150779999999994,0.003820064,7853.271568225035
50,30,0.10427813333333334,0.1021765,0.11882564999999998,0.12614573333333334,0.1226885,0.14529499999999995,0.003807022,7880.175107997799
51,30,0.10910156666666665,0.106215,0.12417,0.1324496,0.127611,0.15720304999999998,0.003996842,7505.925928520568
52,30,0.10494863333333335,0.101998,0.11940444999999997,0.1270058,0.122507,0.14664289999999996,0.003832678,7827.425105892016
53,30,0.10482329999999998,0.1002545,0.12067904999999997,0.12684376666666666,0.1202525,0.14808219999999994,0.003827638,7837.731781323103
54,30,0.10634,0.1017075,0.12355439999999997,0.12852146666666667,0.122873,0.15111219999999995,0.003878426,7735.096660346233
55,30,0.10664503333333333,0.100473,0.13723949999999993,0.12844360000000005,0.121328,0.17029409999999992,0.003875701,7740.535196084527
56,30,0.10437339999999999,0.10056,0.11967114999999998,0.12616506666666666,0.120893,0.14710789999999996,0.003807961,7878.231946178021
57,30,0.10950276666666665,0.1023335,0.15512379999999995,0.13270046666666666,0.12296,0.19157069999999995,0.004004808,7490.9958230207285
58,30,0.10469826666666665,0.1008465,0.12386589999999999,0.12682463333333333,0.12173149999999999,0.15219724999999998,0.003827942,7837.10933969219
59,30,0.11875353333333336,0.10557649999999999,0.2009877499999998,0.14101423333333335,0.12595299999999998,0.23177509999999985,0.004253734,7052.627174148642
60,30,0.10576349999999998,0.10250899999999999,0.12091594999999997,0.12801196666666667,0.1235155,0.14910944999999995,0.003863849,7764.278572998065
61,30,0.10226133333333333,0.0992135,0.11314574999999999,0.12367566666666667,0.120379,0.13715839999999999,0.003733288,8035.811863429771
62,30,0.10307823333333332,0.1002925,0.11752549999999998,0.12476459999999999,0.12024699999999999,0.14182675,0.003765471,7967.130805150272
63,30,0.10488166666666666,0.10047,0.11994194999999996,0.1272077666666667,0.1205585,0.14822074999999996,0.003838755,7815.033780483516
64,30,0.10369800000000001,0.10092999999999999,0.11854664999999998,0.12550180000000002,0.121596,0.14569599999999996,0.003787602,7920.578772532066
65,30,0.10252486666666666,0.09940850000000001,0.11396694999999998,0.12407673333333333,0.119345,0.13790285,0.003745301,8010.037110501933
66,30,0.1040499,0.1019745,0.11821599999999997,0.12568576666666667,0.122836,0.14699149999999997,0.003793603,7908.049418982429
67,30,0.10178613333333333,0.09912699999999999,0.11349179999999998,0.1230712,0.11929200000000001,0.13850569999999995,0.003714407,8076.659342931456
68,30,0.16105526666666672,0.13256400000000002,0.3212575499999999,0.19188693333333331,0.1624785,0.3705476499999999,0.005784513,5186.262006844829
69,30,0.10163509999999999,0.09939,0.11426655,0.12288683333333335,0.1197175,0.14062474999999997,0.003708463,8089.6047769655515
70,30,0.10474263333333335,0.100748,0.12591149999999998,0.12665493333333336,0.12223300000000001,0.15145124999999998,0.003822184,7848.91569845931
71,30,0.10562736666666665,0.1013075,0.12242634999999999,0.12732156666666666,0.121703,0.14973299999999998,0.003841855,7808.727815078913
72,30,0.10451223333333333,0.101467,0.1222037,0.12700726666666665,0.1219325,0.15001764999999997,0.003832748,7827.28214847415
73,30,0.11293199999999999,0.10623350000000001,0.14094029999999996,0.1387192,0.12893349999999998,0.1797355,0.004186963,7165.097948083133
74,30,0.10626786666666664,0.1019825,0.12451564999999995,0.12922996666666664,0.1235175,0.15332349999999995,0.003901185,7689.971124158428
75,30,0.13850989999999996,0.13687850000000001,0.15496895,0.16784063333333335,0.1663795,0.18511485,0.005066299,5921.4823286189785
76,30,0.11765126666666667,0.1097495,0.16124829999999993,0.14277213333333333,0.13261699999999998,0.19761084999999992,0.004309941,6960.652129576715
77,30,0.10500093333333334,0.10225000000000001,0.11942539999999997,0.12751079999999998,0.1232965,0.14778404999999994,0.003849867,7792.476986867338
78,30,0.10581363333333332,0.10127649999999999,0.12083904999999998,0.1290413333333333,0.12344250000000001,0.14994269999999996,0.003895969,7700.266608897556
79,30,0.11598163333333335,0.102564,0.17402104999999995,0.1405043,0.1238975,0.21749309999999997,0.004241308,7073.289654983792
80,30,0.10388000000000001,0.100343,0.11962489999999996,0.12597403333333335,0.1212065,0.14740794999999995,0.003802853,7888.814003591514
81,30,0.10304999999999999,0.099471,0.11401809999999997,0.12514260000000002,0.1212,0.13995769999999996,0.003777665,7941.413545139657
82,30,0.10373173333333333,0.100101,0.11964994999999998,0.12609403333333336,0.120243,0.14841449999999995,0.003805418,7883.496635586419
83,30,0.10562253333333334,0.100674,0.11940264999999997,0.12817746666666666,0.1220135,0.14751734999999996,0.003868091,7755.763760469958
84,30,0.10318753333333333,0.0999315,0.11303634999999998,0.12546326666666668,0.1213005,0.14039709999999997,0.003786876,7922.097264341373
