perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2452231474470,1788985612.8257198,baseline,14.412,1.205,11.966,1383250
2452241473950,1788985612.835688,baseline,14.45,1.208,11.966,1351890
2452251473290,1788985612.8457026,baseline,14.45,1.207,11.967,1367130
2452261473780,1788985612.855687,baseline,14.437,1.205,11.966,1351280
2452271473350,1788985612.8657165,baseline,14.437,1.206,11.967,1381040
2452281474940,1788985612.875691,baseline,14.437,1.206,11.966,1354150
2452291474110,1788985612.8857043,baseline,14.45,1.207,11.966,1368280
2452301474200,1788985612.8956866,baseline,14.437,1.206,11.966,1350630
2452311473100,1788985612.9057162,baseline,14.437,1.207,11.966,1381160
2452321474430,1788985612.9156897,baseline,14.437,1.207,11.966,1353390
2452331473660,1788985612.9257207,baseline,14.437,1.203,11.966,1384940
2452341474750,1788985612.9356892,baseline,14.437,1.207,11.966,1352600
2452351474000,1788985612.9457176,baseline,14.425,1.205,11.966,1381480
2452361474110,1788985612.9556868,baseline,14.437,1.207,11.967,1350550
2452371473290,1788985612.9657009,baseline,14.425,1.205,11.966,1365230
2452381474440,1788985612.9756916,baseline,14.437,1.207,11.966,1355240
2452391472900,1788985612.9857144,baseline,14.425,1.205,11.966,1379310
2452401474030,1788985612.995687,baseline,14.437,1.206,11.966,1350450
2452411473490,1788985613.0057018,baseline,14.437,1.206,11.967,1366170
2452421473890,1788985613.0156908,baseline,14.412,1.205,11.966,1354670
2452431473330,1788985613.0257175,baseline,14.437,1.206,11.966,1382040
2452441473880,1788985613.0356884,baseline,14.437,1.206,11.966,1352190
2452451473490,1788985613.0457006,baseline,14.45,1.207,11.966,1364790
2452461474010,1788985613.055687,baseline,14.437,1.206,11.966,1350600
2452471473880,1788985613.0657156,baseline,14.437,1.206,11.966,1379120
2452481474360,1788985613.0756881,baseline,14.437,1.206,11.967,1351690
2452491474470,1788985613.0856996,baseline,14.437,1.207,11.966,1362930
2452501474790,1788985613.0956876,baseline,14.45,1.207,11.966,1350680
2452511473190,1788985613.1057153,baseline,14.425,1.206,11.966,1380130
2452521473530,1788985613.1156895,baseline,14.45,1.207,11.966,1353950
2452531474390,1788985613.125705,baseline,14.437,1.206,11.966,1368550
2452541473880,1788985613.1356938,baseline,14.437,1.206,11.966,1357800
2452551473880,1788985613.145717,baseline,14.437,1.206,11.966,1381020
2452561474410,1788985613.155687,baseline,14.425,1.206,11.966,1350650
2452571474500,1788985613.1657045,baseline,14.45,1.207,11.966,1367860
2452581472190,1788985613.1756878,baseline,14.425,1.205,11.966,1353130
2452591473690,1788985613.185724,baseline,14.437,1.207,11.966,1387970
2452601473750,1788985613.195688,baseline,14.425,1.206,11.967,1351990
2452611473190,1788985613.205699,baseline,14.437,1.207,11.966,1363650
2452621473350,1788985613.2156885,baseline,14.437,1.205,11.966,1353120
2452631474130,1788985613.2257206,baseline,14.425,1.206,11.966,1384300
2452641474750,1788985613.2356863,baseline,14.45,1.207,11.966,1349520
2452651474530,1788985613.2457047,baseline,14.437,1.206,11.966,1367970
2452661474510,1788985613.2556877,baseline,14.437,1.207,11.966,1351060
2452671475120,1788985613.2657204,baseline,14.437,1.206,11.967,1383020
2452681474290,1788985613.2756886,baseline,14.45,1.208,11.966,1352240
2452691473910,1788985613.2857027,baseline,14.425,1.206,11.967,1366650
2452701473670,1788985613.2956905,baseline,14.437,1.206,11.966,1354760
2452711473860,1788985613.3057122,baseline,14.437,1.207,11.966,1376150
2452721473520,1788985613.315691,baseline,14.437,1.205,11.966,1355320
2452731473030,1788985613.3257096,baseline,14.45,1.207,11.967,1374380
2452741474830,1788985613.335689,baseline,14.412,1.205,11.967,1351900
2452751474240,1788985613.345718,baseline,14.437,1.207,11.966,1381670
2452761473400,1788985613.3556876,baseline,14.425,1.205,11.967,1352120
2452771474520,1788985613.3657024,baseline,14.425,1.206,11.966,1365770
2452781474480,1788985613.3756897,baseline,14.437,1.206,11.966,1353270
2452791472970,1788985613.3857136,baseline,14.425,1.205,11.965,1378460
2452801474950,1788985613.3956926,baseline,14.45,1.207,11.966,1355580
2452811473680,1788985613.4057078,baseline,14.425,1.205,11.966,1371880
2452821473830,1788985613.4156873,baseline,14.437,1.207,11.965,1351480
2452831477810,1788985613.4257324,baseline,14.437,1.206,11.966,1392380
2452841474650,1788985613.435689,baseline,14.437,1.206,11.966,1352020
2452851474320,1788985613.4457188,baseline,14.437,1.206,11.966,1382250
2452861474190,1788985613.4556892,baseline,14.425,1.206,11.966,1352990
2452871474170,1788985613.4657197,baseline,14.437,1.207,11.966,1383210
2452881474680,1788985613.4756892,baseline,14.425,1.206,11.966,1352280
2452891473440,1788985613.4856987,baseline,14.45,1.208,11.966,1363160
2452901474450,1788985613.4956863,baseline,14.437,1.206,11.966,1349740
2452911473610,1788985613.5057209,baseline,14.45,1.207,11.966,1385160
2452921473960,1788985613.5156872,baseline,14.437,1.207,11.966,1351090
2452931473860,1788985613.525708,baseline,14.437,1.206,11.967,1371750
2452941474030,1788985613.5356872,baseline,14.437,1.207,11.965,1350730
2452951473700,1788985613.5457168,baseline,14.425,1.206,11.966,1380820
2452961474760,1788985613.5556889,baseline,14.45,1.207,11.966,1352030
2452971474110,1788985613.5657053,baseline,14.45,1.206,11.966,1368780
2452981473740,1788985613.5756893,baseline,14.45,1.207,11.966,1353340
2452991474110,1788985613.5857131,baseline,14.437,1.206,11.966,1376890
2453001474510,1788985613.5956895,baseline,14.425,1.206,11.966,1352600
2453011473920,1788985613.6057065,baseline,14.45,1.207,11.966,1370500
2453021474140,1788985613.6156895,baseline,14.437,1.207,11.966,1353100
2453031473970,1788985613.6257179,baseline,14.45,1.207,11.966,1381640
2453041473950,1788985613.6356921,baseline,14.437,1.206,11.967,1355800
2453051474470,1788985613.645704,baseline,14.425,1.205,11.966,1367240
2453061474190,1788985613.6556892,baseline,14.437,1.206,11.966,1352650
2453071474850,1788985613.6657178,baseline,14.425,1.206,11.966,1380550
2453081473840,1788985613.6756873,baseline,14.437,1.207,11.967,1351250
2453091473810,1788985613.685706,baseline,14.425,1.206,11.966,1369950
2453101474110,1788985613.6956909,baseline,14.45,1.207,11.966,1354330
2453111474360,1788985613.705722,baseline,14.425,1.206,11.967,1385600
2453121473850,1788985613.7156866,baseline,14.45,1.207,11.966,1350610
2453131474200,1788985613.725704,baseline,14.437,1.206,11.966,1367320
2453141475110,1788985613.7356915,baseline,14.425,1.206,11.965,1354130
2453151474170,1788985613.7457178,baseline,14.462,1.208,11.967,1381140
2453161473320,1788985613.7556863,baseline,14.437,1.207,11.966,1350890
2453171475250,1788985613.7657056,baseline,14.45,1.207,11.966,1368050
2453181474170,1788985613.77569,baseline,14.412,1.205,11.966,1353390
2453191474650,1788985613.7857177,baseline,14.437,1.207,11.966,1380870
