passage,inferences,inference_only_mean_ms,inference_only_median_ms,inference_only_p95_ms,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,passage_duration_s,throughput_effective_fps
1,30,0.36059420000000003,0.293207,0.5987217499999999,0.4410155333333334,0.3555115,0.7472451999999996,0.013306302,2254.570804119732
2,30,0.37641959999999997,0.3002395,0.5624188499999999,0.4625677666666667,0.364775,0.69629095,0.01395783,2149.3312355860476
3,30,0.32050320000000004,0.2774705,0.5398625999999999,0.38829889999999995,0.341963,0.6558579499999999,0.011723565,2558.9485792077753
4,30,0.2950495333333334,0.2762825,0.41148219999999996,0.3582422,0.3334625,0.50614045,0.010812649,2774.5282400270276
5,30,0.2905263,0.273197,0.3965729499999997,0.35323536666666666,0.3300435,0.5012317499999998,0.01066283,2813.511985092138
6,30,0.18285936666666663,0.172355,0.2792532,0.22158753333333334,0.20672200000000002,0.3409847999999999,0.006686226,4486.836071649388
7,30,0.11130400000000001,0.103406,0.14346754999999997,0.13546526666666667,0.1244735,0.17714464999999996,0.004089429,7335.987493608521
8,30,0.10248606666666667,0.1003985,0.11077624999999999,0.12422253333333334,0.120933,0.13586389999999998,0.003749058,8002.01010493836
9,30,0.10396033333333334,0.1000065,0.12156169999999998,0.12581323333333336,0.1211605,0.14807754999999995,0.003798166,7898.548931247345
10,30,0.1253568,0.107818,0.18893249999999995,0.14804126666666664,0.131038,0.21219524999999995,0.004465787,6717.74090434676
11,30,0.13805040000000002,0.1112635,0.2641591999999998,0.16188340000000004,0.1357635,0.2875737499999998,0.004882484,6144.413376469845
12,30,0.11512896666666668,0.112483,0.1358309,0.1394535333333333,0.13617400000000002,0.16634359999999998,0.004209113,7127.392398350912
13,30,0.11606509999999999,0.1139725,0.15017554999999994,0.14052353333333334,0.136938,0.17735794999999996,0.004244493,7067.981970991588
14,30,0.10853186666666666,0.103791,0.13241274999999994,0.1319222,0.12608149999999999,0.16315564999999993,0.003981717,7534.438032637679
15,30,0.10605800000000001,0.100782,0.1249458,0.12827523333333335,0.1209305,0.15354929999999997,0.003871339,7749.256781697495
16,30,0.11491460000000002,0.10597200000000001,0.1735534,0.1404335333333333,0.1283195,0.21169994999999991,0.004237686,7079.335278734668
17,30,0.10625166666666666,0.100889,0.11803624999999998,0.1285375,0.1219325,0.14553454999999996,0.003879307,7733.340001190934
18,30,0.10899713333333333,0.1021185,0.14406319999999992,0.13139793333333333,0.123662,0.18203219999999987,0.003966437,7563.463128243308
19,30,0.10671456666666665,0.10016900000000001,0.13557094999999997,0.12998666666666667,0.120721,0.16900319999999996,0.003922466,7648.249850986598
20,30,0.10637073333333331,0.1029815,0.12603109999999995,0.12866429999999998,0.1249635,0.15414789999999992,0.003881947,7728.080780082778
21,30,0.12306353333333336,0.1067805,0.1550929,0.147574,0.1287485,0.19813034999999998,0.004451305,6739.596590213432
22,30,0.10583026666666667,0.1014655,0.12175114999999997,0.12788506666666669,0.122235,0.14906619999999995,0.003859165,7773.702342346078
23,30,0.10533653333333333,0.1023025,0.12145609999999997,0.1278434,0.1228625,0.14987314999999998,0.00385906,7773.913854669272
24,30,0.10603756666666667,0.1025555,0.11962789999999997,0.12838166666666667,0.123286,0.14718244999999996,0.003875164,7741.6078390488765
25,30,0.10299993333333334,0.10064200000000001,0.11415079999999998,0.12407763333333333,0.12131800000000001,0.13748424999999995,0.003745571,8009.45970587662
26,30,0.10611439999999998,0.10237650000000001,0.12342994999999997,0.1286023,0.12404599999999999,0.15209124999999996,0.003882992,7726.000980687058
27,30,0.10509370000000001,0.10141,0.12194509999999999,0.12708146666666667,0.12190599999999999,0.14937644999999997,0.003836461,7819.70675578352
28,30,0.1033278,0.100997,0.11505119999999998,0.1250663,0.12180350000000001,0.14079824999999996,0.003775449,7946.07475826054
29,30,0.10597716666666665,0.1026635,0.121197,0.1278403333333333,0.12304,0.14785215,0.003858631,7774.778153184381
30,30,0.1139009,0.1033245,0.17433829999999986,0.13572006666666664,0.1247585,0.2025759999999999,0.004095404,7325.284636143344
31,30,0.1479293666666667,0.10594200000000001,0.31055155,0.1788716,0.128824,0.36689485,0.005394345,5561.379555812615
32,30,0.10573106666666665,0.1014365,0.12185074999999997,0.12786636666666668,0.1218925,0.14867504999999995,0.003858697,7774.645171673236
33,30,0.10209533333333333,0.1002435,0.11220229999999998,0.1230943,0.12028749999999999,0.13669804999999996,0.003715082,8075.191880017722
34,30,0.1103055,0.1050695,0.15084894999999987,0.13427483333333334,0.126248,0.19086014999999984,0.004052584,7402.684312034002
35,30,0.1280704,0.128069,0.14383725,0.1548158666666667,0.1545485,0.17279935,0.004672186,6420.9772470530925
36,30,0.12941766666666665,0.1139395,0.17744579999999996,0.15633989999999998,0.137081,0.2032136,0.004718449,6358.0214600179
37,30,0.12119880000000002,0.11407300000000001,0.16827899999999998,0.1469938,0.1372005,0.20548609999999998,0.004436845,6761.5614248413
38,30,0.10688566666666666,0.102721,0.12335744999999998,0.1294811,0.123572,0.14914139999999995,0.003908261,7676.048247545392
39,30,0.10522846666666667,0.101553,0.11995634999999998,0.12764683333333335,0.122055,0.14713894999999994,0.003856011,7780.06079339504
40,30,0.1063953,0.1020945,0.12392994999999997,0.12852119999999997,0.1227775,0.15183789999999997,0.003879012,7733.9281239655875
