block,samples,duration_s,throughput_inf_s
0,1000,0.11595366,8624.13484835235
1,1000,0.11500746,8695.088127326697
2,1000,0.1027984,9727.777864246915
3,1000,0.10600138,9433.83944624117
4,1000,0.11748713,8511.570586497432
5,1000,0.11525442,8676.456833499315
6,1000,0.11477454,8712.73367769542
7,1000,0.10182587,9820.687021873715
8,1000,0.10962553,9121.962739883675
9,1000,0.12005613,8329.43723906476
