passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
0,30,0.181347,0.501321,0.7132003333333334,22.23951,1348.9505838932603
1,30,0.17709866666666668,0.4891096666666667,0.6971526666666669,21.73882,1380.0197066814114
2,30,0.17962300000000003,0.49225800000000003,0.7021130000000001,21.90794,1369.3665401676287
3,30,0.18387933333333337,0.49970333333333344,0.7097133333333333,22.10758,1357.0006305529596
4,30,0.18200066666666664,0.49947,0.7093206666666667,22.12653,1355.838443714401
5,30,0.1778046666666667,0.48953266666666656,0.6989023333333331,21.7891,1376.8352065941228
6,30,0.17813266666666663,0.4911493333333333,0.7001463333333333,21.81302,1375.3253790625965
7,30,0.17705633333333332,0.4921296666666665,0.7007573333333332,21.82718,1374.4331608572431
8,30,0.18529633333333337,0.5047973333333334,0.7165303333333333,22.3192,1344.134198358364
9,30,0.17764766666666668,0.489824,0.6976399999999999,21.74161,1379.8426151513158
10,30,0.1779653333333333,0.4896336666666667,0.697812,21.75258,1379.1467494890262
11,30,0.177797,0.4893593333333333,0.6975323333333333,21.73836,1380.0489089333325
12,30,0.1841526666666667,0.4989283333333333,0.7101630000000001,22.14818,1354.5131022052376
13,30,0.18011666666666667,0.49311699999999997,0.7016883333333334,21.87093,1371.6837829941387
14,30,0.178689,0.488974,0.6996536666666666,21.81097,1375.4546450708062
15,30,0.17780333333333334,0.4872476666666667,0.696942,21.72372,1380.9789483569114
16,30,0.17962366666666665,0.48857066666666665,0.6977206666666667,21.75117,1379.2361514346126
17,30,0.185954,0.5015613333333334,0.7135863333333334,22.2392,1348.9693873880356
18,30,0.17857333333333336,0.48980633333333323,0.6970949999999999,21.73361,1380.3505262126264
19,30,0.17706666666666668,0.48830499999999993,0.6955396666666667,21.69739,1382.65478013715
20,30,0.17812033333333332,0.4896673333333334,0.6965816666666668,21.71865,1381.301323977319
21,30,0.18495233333333336,0.5022366666666667,0.712416,22.2063,1350.9679685494657
22,30,0.17936866666666665,0.48965499999999995,0.6988796666666665,21.79408,1376.520596418844
23,30,0.17744433333333334,0.4877993333333333,0.6956959999999999,21.69554,1382.7726804679671
24,30,0.17829499999999998,0.4894536666666667,0.6982526666666667,21.76608,1378.2913597671238
25,30,0.17699,0.4886273333333333,0.6968683333333333,21.72075,1381.1677773557542
26,30,0.18662933333333334,0.5017886666666667,0.7123896666666667,22.20747,1350.896792835924
27,30,0.17809099999999997,0.48553799999999997,0.6932813333333332,21.61808,1387.7273097333343
28,30,0.17755266666666664,0.4857643333333333,0.6935409999999999,21.62909,1387.02090564143
29,30,0.17665366666666665,0.48507933333333325,0.6936863333333334,21.64018,1386.3100953873768
30,30,0.1845056666666667,0.506032,0.7173170000000001,22.35139,1342.1984046629764
31,30,0.1779843333333333,0.485679,0.6948596666666667,21.6647,1384.741076497713
32,30,0.17917366666666665,0.48664599999999986,0.6951976666666667,21.67782,1383.902993935737
33,30,0.17751666666666666,0.48569366666666663,0.6928786666666668,21.60135,1388.8020887583416
34,30,0.1773856666666667,0.48465500000000006,0.6896786666666664,21.52416,1393.7826145131796
35,30,0.1887103333333333,0.5031593333333333,0.7116676666666667,22.18032,1352.5503689757406
36,30,0.17792100000000005,0.48570766666666665,0.6908383333333334,21.56778,1390.9637431390713
37,30,0.17768933333333334,0.48443566666666665,0.689058,21.51574,1394.3280593649115
38,30,0.17737166666666665,0.4938426666666667,0.6990023333333332,21.79682,1376.3475589558475
39,30,0.1864343333333333,0.5020993333333333,0.7095819999999999,22.1164,1356.4594599482737
40,30,0.177897,0.4859796666666666,0.691599,21.58589,1389.796760754363
41,30,0.1777286666666667,0.48572666666666664,0.6901663333333333,21.51943,1394.088969828662
42,30,0.1781916666666667,0.486213,0.6910066666666669,21.54703,1392.3032547873188
43,30,0.17735466666666672,0.4851276666666668,0.6897203333333333,21.50653,1394.925169239296
44,30,0.18521033333333334,0.49889466666666665,0.70797,22.08101,1358.6335045362507
45,30,0.17794599999999994,0.48685100000000003,0.6922753333333334,21.58956,1389.5605098019598
46,30,0.17805300000000004,0.4869936666666667,0.69188,21.59,1389.5321908290875
47,30,0.17718399999999998,0.4850376666666667,0.6897490000000001,21.50471,1395.0432254143395
48,30,0.1833816666666667,0.49636066666666667,0.7041973333333335,21.99108,1364.1894804620783
49,30,0.18014533333333332,0.4905553333333333,0.6962980000000002,21.71389,1381.6041252857042
50,30,0.17798833333333333,0.4860033333333333,0.6906926666666665,21.54204,1392.6257680331112
51,30,0.178142,0.48594000000000004,0.6906563333333332,21.53621,1393.0027613958073
52,30,0.1775293333333333,0.48548399999999997,0.6900326666666667,21.52097,1393.9892114528295
53,30,0.184446,0.503049,0.71202,22.2171,1350.3112467423741
54,30,0.17824133333333333,0.4857890000000001,0.6904819999999999,21.5376,1392.9128593715177
55,30,0.17806133333333335,0.48589699999999997,0.690674,21.53604,1393.013757403868
56,30,0.17730166666666664,0.48495200000000005,0.6896363333333332,21.50695,1394.8979283440933
57,30,0.182503,0.4950960000000001,0.7027763333333332,21.93673,1367.569368816592
58,30,0.17931400000000003,0.488937,0.6939393333333334,21.6497,1385.7004946950765
59,30,0.1779226666666667,0.4849593333333334,0.6900673333333331,21.52155,1393.951643817476
60,30,0.17803133333333335,0.48484066666666664,0.6894776666666665,21.518,1394.181615391765
61,30,0.17735333333333334,0.484234,0.6900720000000001,21.52023,1394.0371455137793
