cpu 0 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 0 siblings 0 1 -1 -1
cpu 1 pkg 0 die 0 l3 0 node 0 lnode 0 core 0 ht_id 1 siblings 0 1 -1 -1
cpu 2 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 0 siblings 2 3 -1 -1
cpu 3 pkg 0 die 0 l3 0 node 0 lnode 0 core 4 ht_id 1 siblings 2 3 -1 -1
cpu 4 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 0 siblings 4 5 -1 -1
cpu 5 pkg 0 die 0 l3 0 node 0 lnode 0 core 8 ht_id 1 siblings 4 5 -1 -1
cpu 6 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 0 siblings 6 7 -1 -1
cpu 7 pkg 0 die 0 l3 0 node 0 lnode 0 core 12 ht_id 1 siblings 6 7 -1 -1
cpu 8 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 0 siblings 8 9 -1 -1
cpu 9 pkg 0 die 0 l3 0 node 0 lnode 0 core 16 ht_id 1 siblings 8 9 -1 -1
cpu 10 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 0 siblings 10 11 -1 -1
cpu 11 pkg 0 die 0 l3 0 node 0 lnode 0 core 20 ht_id 1 siblings 10 11 -1 -1
cpu 12 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 0 siblings 12 13 -1 -1
cpu 13 pkg 0 die 0 l3 0 node 0 lnode 0 core 24 ht_id 1 siblings 12 13 -1 -1
cpu 14 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 0 siblings 14 15 -1 -1
cpu 15 pkg 0 die 0 l3 0 node 0 lnode 0 core 28 ht_id 1 siblings 14 15 -1 -1
cpu 16 pkg 0 die 0 l3 0 node 0 lnode 0 core 32 ht_id 0 siblings 16 -1 -1 -1
cpu 17 pkg 0 die 0 l3 0 node 0 lnode 0 core 33 ht_id 0 siblings 17 -1 -1 -1
cpu 18 pkg 0 die 0 l3 0 node 0 lnode 0 core 34 ht_id 0 siblings 18 -1 -1 -1
cpu 19 pkg 0 die 0 l3 0 node 0 lnode 0 core 35 ht_id 0 siblings 19 -1 -1 -1
cpu 20 pkg 0 die 0 l3 0 node 0 lnode 0 core 36 ht_id 0 siblings 20 -1 -1 -1
cpu 21 pkg 0 die 0 l3 0 node 0 lnode 0 core 37 ht_id 0 siblings 21 -1 -1 -1
cpu 22 pkg 0 die 0 l3 0 node 0 lnode 0 core 38 ht_id 0 siblings 22 -1 -1 -1
cpu 23 pkg 0 die 0 l3 0 node 0 lnode 0 core 39 ht_id 0 siblings 23 -1 -1 -1
Time_Of_Day_Seconds	Busy%	Bzy_MHz	PkgTmp	PkgWatt	CorWatt
1788466603.831405	16.41	2195	53	21.19	12.02
1788466603.931846	14.80	3482	55	43.23	34.39
1788466604.032321	18.45	3454	54	43.19	34.38
1788466604.133042	19.55	2935	54	36.44	27.67
1788466604.233830	14.94	3459	54	42.65	33.82
1788466604.334314	18.72	3169	58	39.84	31.03
1788466604.434924	18.17	3148	54	37.63	28.92
1788466604.535515	13.42	2661	51	28.12	19.65
1788466604.637123	18.21	2951	53	33.98	25.27
1788466604.737732	18.19	3010	53	36.34	27.46
1788466604.839150	17.87	3003	55	33.51	24.93
1788466604.939561	14.48	3547	58	45.35	36.38
1788466605.040055	18.30	3419	55	43.74	34.92
1788466605.140448	18.14	3113	55	37.73	28.87
1788466605.241853	16.27	3271	55	39.30	30.55
1788466605.342305	17.52	3514	58	46.58	37.66
1788466605.442832	18.77	2605	52	28.80	19.90
1788466605.543225	13.91	3300	54	39.45	30.55
1788466605.644415	18.04	3256	55	39.82	31.04
1788466605.745288	18.48	3305	57	41.68	32.72
1788466605.846937	17.43	3312	55	41.74	32.86
1788466605.947630	14.62	3413	53	42.71	33.71
1788466606.048114	18.59	3193	57	42.35	33.43
1788466606.148669	18.45	3599	57	46.09	37.26
1788466606.252797	16.80	3071	54	35.93	27.17
1788466606.353656	15.31	3022	53	36.53	27.60
1788466606.454277	20.04	3280	56	41.34	32.42
1788466606.555650	14.14	2683	54	29.19	20.48
1788466606.656342	18.15	3335	54	42.58	33.66
1788466606.756700	18.46	3167	59	39.11	30.14
1788466606.857159	18.37	3258	58	43.69	34.77
1788466606.957797	14.15	3291	54	39.74	30.98
1788466607.058362	18.50	3170	54	40.34	31.33
1788466607.158720	18.12	3088	58	35.13	26.26
1788466607.260038	17.14	3424	54	42.02	33.28
1788466607.360417	14.01	2916	57	33.53	24.54
1788466607.461423	18.34	2951	54	36.25	27.41
1788466607.562491	19.07	2852	53	33.59	24.75
1788466607.664272	15.19	3281	60	40.07	31.27
1788466607.764651	18.68	3387	57	43.98	34.92
1788466607.866492	15.03	3493	58	43.09	34.22
1788466607.966889	17.09	3255	58	42.09	33.12
1788466608.067618	18.39	3356	55	42.99	34.10
1788466608.168081	18.06	3403	55	43.40	34.46
1788466608.268797	14.17	3226	54	39.64	30.71
1788466608.369262	18.23	3232	59	41.42	32.52
1788466608.469912	18.77	3294	58	41.79	32.84
1788466608.570283	18.76	3326	59	41.55	32.65
1788466608.671087	14.29	3156	54	37.26	28.69
1788466608.771564	19.10	3522	59	47.66	38.70
1788466608.872149	16.96	3378	56	42.80	34.22
1788466608.972696	15.97	3325	55	40.33	31.62
1788466609.073207	18.78	3379	57	42.58	33.86
1788466609.174978	4.68	3316	52	22.05	13.39
1788466609.275579	8.27	2083	52	16.77	8.16
1788466609.375956	14.15	2953	58	33.96	25.38
1788466609.476643	18.61	2948	53	35.07	26.41
1788466609.577099	18.96	2730	56	30.37	21.84
1788466609.677554	14.68	3639	57	45.85	37.29
1788466609.777901	18.56	3373	55	45.01	36.03
1788466609.878351	19.41	3396	57	42.48	33.82
1788466609.979148	15.34	3280	54	40.38	31.77
1788466610.079664	19.02	3219	57	39.37	30.91
1788466610.180435	16.20	2519	54	28.89	20.38
1788466610.281096	16.36	2723	54	29.94	21.56
1788466610.381646	18.89	2740	53	31.98	23.17
1788466610.484894	17.43	2326	53	25.64	17.23
1788466610.585350	16.01	2971	58	37.10	28.45
1788466610.685809	18.45	3347	57	43.05	34.42
1788466610.786359	18.90	3370	60	44.37	35.72
1788466610.887051	15.23	2947	56	33.99	25.45
1788466610.987458	17.87	3395	58	44.45	35.68
1788466611.087915	19.94	3348	59	44.83	36.07
1788466611.188247	14.20	3454	60	40.82	32.77
1788466611.288973	18.91	2880	54	34.25	25.72
1788466611.389606	19.07	3043	55	38.19	29.35
1788466611.493426	16.51	2241	54	22.19	13.96
1788466611.593985	15.94	2904	54	34.36	25.95
1788466611.694421	19.27	3114	58	37.95	29.10
1788466611.794793	18.78	3338	60	42.26	33.41
1788466611.897042	14.88	3395	57	40.12	31.90
1788466611.997648	18.04	3162	58	40.28	31.65
1788466612.098090	19.06	2951	60	36.01	27.10
1788466612.199553	18.69	3131	57	38.88	30.65
1788466612.300451	15.12	3503	55	43.19	34.89
1788466612.400801	17.85	2565	57	28.10	19.41
1788466612.501366	13.95	3339	54	40.55	31.93
1788466612.602063	18.80	3187	55	40.25	31.35
1788466612.702545	18.81	3203	57	39.03	30.15
1788466612.803073	16.85	2792	55	30.68	22.57
1788466612.904005	15.49	2726	54	30.28	21.67
1788466613.004379	19.05	2917	59	35.57	26.70
1788466613.104991	19.16	3268	58	40.31	31.57
1788466613.206632	15.56	2609	57	28.65	20.26
1788466613.307331	17.22	3304	57	40.59	31.63
1788466613.407713	20.01	3118	59	39.21	30.56
1788466613.508481	14.29	3483	58	42.91	34.80
1788466613.608859	18.80	3371	59	43.75	34.91
1788466613.709504	18.70	2795	55	31.60	23.09
1788466613.811960	16.87	2835	58	29.95	21.47
1788466613.912568	15.77	2776	54	31.70	23.23
1788466614.012923	19.16	3125	59	40.38	31.92
1788466614.113345	18.83	2923	58	35.24	26.69
1788466614.215032	14.47	2875	55	33.02	24.40
1788466614.315738	18.50	3197	55	39.61	31.12
1788466614.416237	19.10	3004	57	37.55	28.85
1788466614.516736	18.67	3129	58	38.15	29.77
1788466614.617178	15.12	3478	56	42.27	33.72
1788466614.717661	19.10	2713	55	31.32	22.78
1788466614.818900	16.00	2703	55	28.43	20.60
1788466614.919518	17.03	2971	54	34.78	26.31
1788466615.019860	18.89	3261	58	41.94	33.23
1788466615.121645	2.04	3351	53	16.71	8.75
1788466615.222663	8.32	1983	53	16.18	7.57
1788466615.323243	14.27	2784	57	30.94	22.88
1788466615.423637	18.77	3451	60	43.10	34.42
1788466615.524176	18.83	3446	60	44.34	35.68
1788466615.629393	14.54	3286	58	37.15	29.21
1788466615.730639	19.75	3305	55	43.77	34.43
1788466615.831377	17.88	2375	54	24.81	16.81
1788466615.932087	15.90	2847	55	33.59	24.78
1788466616.032425	18.76	3321	60	42.96	34.42
1788466616.133209	18.02	3388	55	42.62	33.88
1788466616.233994	15.94	3453	58	42.54	34.19
1788466616.334564	16.74	3211	58	39.17	30.47
1788466616.434906	18.73	3344	59	42.85	34.09
1788466616.535311	18.20	2813	58	31.73	23.10
1788466616.636867	14.16	2941	57	33.49	25.06
1788466616.737309	18.68	3354	59	43.24	34.26
1788466616.838166	20.27	3120	58	39.12	30.18
1788466616.938748	14.01	2925	55	33.71	25.07
1788466617.039174	19.00	3080	57	37.96	29.05
1788466617.139803	18.90	3309	55	40.18	31.59
1788466617.243337	15.64	3275	58	39.16	30.78
1788466617.343877	17.34	3183	57	41.69	32.91
1788466617.444236	19.12	3206	58	40.79	31.79
1788466617.544675	19.10	3184	57	40.81	32.10
1788466617.647584	15.59	3243	58	39.27	30.94
1788466617.748343	17.63	3207	55	39.81	30.97
1788466617.848943	19.05	2983	56	35.74	27.00
1788466617.949554	19.13	2766	57	32.56	24.33
1788466618.049907	15.36	3432	55	41.73	33.32
1788466618.150386	18.58	2978	58	35.53	26.56
1788466618.251720	16.24	2899	55	34.30	25.40
1788466618.352171	16.54	2811	59	32.12	23.50
1788466618.452549	19.14	3214	58	41.44	32.57
1788466618.553161	19.13	3222	60	40.66	32.12
1788466618.657269	15.75	3244	58	39.66	31.23
1788466618.757875	17.34	3198	58	40.57	31.88
1788466618.858473	19.09	3248	55	40.77	31.81
1788466618.959062	19.27	2518	55	27.63	18.81
1788466619.059529	14.36	2627	57	28.40	20.39
1788466619.160118	20.13	3175	60	41.56	32.65
1788466619.260853	15.87	3247	58	39.99	31.27
1788466619.361329	17.55	2960	58	35.49	26.71
1788466619.461709	19.10	2909	60	35.90	27.10
1788466619.562205	18.34	3429	57	43.84	35.24
1788466619.663274	14.33	3173	56	37.81	29.36
1788466619.764068	18.87	2908	58	36.75	27.86
1788466619.864447	19.07	2801	56	32.27	23.40
1788466619.966558	16.96	2788	58	32.31	24.33
1788466620.066943	15.66	3153	59	37.74	29.34
1788466620.167483	19.05	3221	59	40.65	32.18
1788466620.268194	19.50	3254	60	41.52	32.76
1788466620.369055	14.43	3202	55	37.67	29.05
1788466620.469650	19.37	2556	57	30.46	21.50
1788466620.571287	18.55	3146	60	37.23	28.48
1788466620.671707	14.11	3549	61	43.50	34.76
1788466620.772210	18.36	3563	63	44.39	35.42
1788466620.872630	18.10	3448	63	42.68	33.84
1788466620.973414	16.17	3530	63	42.82	34.51
1788466621.073861	16.40	3541	62	44.38	35.34
1788466621.174419	18.53	3487	61	43.83	34.84
1788466621.274821	18.36	3500	62	44.47	35.44
1788466621.378859	16.16	3504	62	42.56	33.89
1788466621.479398	17.86	3463	57	44.06	34.73
1788466621.582119	19.16	2586	59	27.53	18.84
1788466621.683989	5.21	3004	55	22.58	13.65
1788466621.784688	5.98	2197	55	15.92	7.09
1788466621.885105	14.36	3370	60	41.84	33.01
1788466621.985724	18.75	3149	58	40.41	31.70
1788466622.087108	15.90	3453	63	41.43	32.90
1788466622.187825	16.54	3419	60	43.75	34.90
1788466622.288371	18.87	3350	59	42.59	33.72
1788466622.388878	19.30	2818	58	32.10	23.69
1788466622.490797	14.92	2715	55	31.12	22.59
1788466622.591456	19.95	3027	60	40.05	31.17
1788466622.696503	17.10	3240	59	37.81	29.38
1788466622.797405	15.72	3097	56	38.59	29.87
1788466622.897994	18.49	2569	55	27.92	18.95
1788466623.001765	16.47	2344	60	23.82	15.47
1788466623.102207	15.46	3186	58	39.45	30.36
1788466623.202699	18.99	3101	58	38.93	30.08
1788466623.303848	19.12	3378	58	42.97	34.44
1788466623.404362	14.43	2943	57	34.98	26.09
1788466623.505163	19.14	2953	57	34.92	26.30
1788466623.605856	19.03	2661	57	30.75	21.81
1788466623.706220	15.61	3491	62	43.71	34.77
1788466623.806692	18.95	3359	59	42.26	33.65
1788466623.907023	19.14	3225	58	41.98	33.14
1788466624.007644	13.77	2968	57	34.94	26.07
1788466624.108166	19.31	2844	58	35.92	27.33
1788466624.208601	18.67	3340	60	40.66	32.23
