model_variant,device,precision,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_median_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,process_cpu_time_total_s,cpu_time_per_inference_mean_ms,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,rapl_coverage_percent,cpu_busy_percent_turbostat,cpu_busy_frequency_mhz,cpu_package_temperature_mean_c,cpu_package_temperature_max_c,power_package_mean_w,power_cores_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,energy_package_j,energy_cores_j,energy_dynamic_j,telemetry_samples_total,rapl_samples_total,prediction_sha256
no_softmax_logits,CPU,float32,1,100,10,1000,99,99.0,94.55138038212945,99.82325679358594,0.3970843275785446,0.3371420055627823,0.17945150877022567,45.192291991108505,0.63315349817276,0.70820038318634,1.088528425693512,0.24573999643325806,2.4002859592437744,0.31813146004868387,0.47603719510840536,2378.462946883902,2622.364909654131,518.9060864198356,2056.8475322882864,2700.0783614795178,2232.0722775922495,0.4480141660460504,1.2905465179999975,1.2905465179999975,nan,nan,nan,nan,nan,nan,99.36633661842222,16.86656497474782,3197.633869602248,54.12589010772515,54.2,38.96191211978264,30.104070803231025,26.395720472679123,16.643232776709027,11.013248141410907,16.643232776709027,12.6627641768496,11.013248141410907,0,14,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,CPU,float32,1,100,20,2000,99,99.0,94.55138038212945,99.82325679358594,0.40340020847320557,0.34403450787067413,0.1647991818499563,40.85252768551866,0.6040252923965457,0.6850606143474578,1.001430641412735,0.24573999643325806,2.438870906829834,0.36125622445806993,0.4455441924883411,2288.7851870358313,2280.5847084977577,428.3005477632196,2101.077644907952,2476.4927291637105,2195.5333793327886,0.9109403750480851,2.6058032999999963,1.3029016499999981,10.2,266.6,11.108333333333334,2.3400416666666666,54.0,749.73828125,99.32083198487999,17.02197555686331,3113.0302482762354,54.09189327638006,54.4,37.389889111698245,28.604906604508066,24.823704947722437,16.54958141882594,10.825900446351657,33.09916283765188,25.08814883180023,21.651800892703317,1,28,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,CPU,float32,1,100,50,5000,99,99.0,94.55138038212945,99.82325679358594,0.38730817779302595,0.3394625037908554,0.15553076181125955,40.15684943641283,0.550809991359711,0.6602794259786606,0.968969324231148,0.24573999643325806,3.5908219814300537,0.36625250595026465,0.4083638496357875,2355.7852833291945,2372.8292115476725,377.357682980373,2251.188992131148,2460.381574527241,2286.006053158153,2.1872208050772315,6.251936736999992,1.2503873473999985,11.0,271.36,11.306666666666667,2.9945416666666667,54.8,749.77734375,99.27305894621237,17.033896976492773,3202.5370168637255,54.80883434568036,55.08,39.20833530767652,30.37348836920892,26.6421771085745,16.842997121503462,11.345840799297587,84.2149856075173,64.89068805628432,56.72920399648793,5,70,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,CPU,float32,1,100,100,10000,99,99.0,94.55138038212945,99.82325679358594,0.38163918773531913,0.33776649832725525,0.14554689674238644,38.13730387753801,0.5331667780876161,0.6346992045640941,0.9573911535739899,0.24573999643325806,3.5908219814300537,0.36836635265243317,0.3949120228182052,2381.8692170278296,2422.2344568468516,357.1450685435363,2311.8700698676876,2451.8683641879716,2320.755072098371,4.308942430085153,12.402696725999995,1.2402696725999995,11.34,272.71,11.362916666666667,3.1389875,55.5,749.800390625,99.22517747683811,17.054902113926993,3210.289178683341,55.30878752853699,55.7,39.528214356152155,30.66761574787339,26.962049576739062,16.818836622084785,11.403990058221899,168.18836622084785,130.01140584804492,114.03990058221895,10,141,ac3023a27ceabb6c72cb090d4b1c1de455826ac2ed7041408df172f614329811
no_softmax_logits,CPU,float32,1,1000,10,10000,988,98.8,97.91427315245016,99.31223521935965,0.3830431295916438,0.33671900629997253,0.13720018028924683,35.818467866925,0.5583494186401368,0.6441880255937577,0.9630677407979971,0.24451899528503418,2.513622999191284,0.3644458585747494,0.4016404006085381,2325.161004440085,2302.775138243468,177.0349141537186,2215.4356441031455,2434.8863647770245,2312.5266387661527,4.3242745109891985,12.464096195999996,1.2464096195999996,11.291666666666668,279.4833333333333,11.645138888888889,2.9093555555555555,57.983333333333334,754.37890625,99.23856848415478,17.227651165468338,3119.9163800485767,56.36250044993049,58.8,37.9712224494941,29.345661469830286,25.40473219836209,16.31349113860507,10.879377465249025,163.1349113860507,125.85482566683952,108.79377465249026,25,53,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,CPU,float32,1,1000,20,20000,988,98.8,97.91427315245016,99.31223521935965,0.38531754035949706,0.3393705040216446,0.1357214155407221,35.223264275510395,0.5559177041053773,0.639523509144783,0.9608018213510491,0.24451899528503418,2.513622999191284,0.37420377856952064,0.3964313021494735,2308.2125726282616,2302.775138243468,150.42833084378577,2242.285661265317,2374.1394839912064,2298.7312563016144,8.700451583965332,25.078705131999993,1.2539352565999995,11.255833333333332,278.5958333333333,11.608159722222222,2.853190972222222,57.525,754.4481119791666,99.16567292634385,17.256338196006986,3098.9267388135054,56.654754108513984,58.85,37.51185300565869,28.912905310596585,24.945362797711237,16.239885060048557,10.773159624758964,324.7977012009712,250.00516048592075,215.46319249517927,53,107,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,CPU,float32,1,1000,50,50000,988,98.8,97.91427315245016,99.31223521935965,0.38020580729037523,0.3370179980993271,0.13208543861676109,34.74051055613763,0.540706372261047,0.6315766006708144,0.9528985929489145,0.2445089966058731,2.5539989471435547,0.3732053943520596,0.38720622022869094,2340.7952256346207,2335.5439082327075,156.9957839234654,2297.2790141653595,2384.311437103882,2330.4139953393174,21.455415260978043,62.063597335000026,1.2412719467000006,11.499333333333334,281.138,11.714083333333333,2.9555715277777774,59.32333333333334,754.5020052083332,99.15513840938662,17.345857602707174,3125.710329256337,58.07780039792133,60.3,38.092926530172605,29.409583392295737,25.526438811105514,16.265001314260175,10.872597795893254,813.2500657130086,627.0226270274776,543.6298897946626,134,264,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,CPU,float32,1,1000,100,100000,988,98.8,97.91427315245016,99.31223521935965,0.3813173422369361,0.3381989896297455,0.1319870255798301,34.61343373620243,0.5424172937870025,0.6330497115850447,0.9516324561834323,0.2445089966058731,3.3313651084899902,0.3763927548125147,0.38624192966135734,2333.924092592727,2331.851122694722,154.17789142094566,2303.705781152989,2364.142404032465,2323.7541759399173,43.033811852990766,124.58427555700007,1.2458427555700007,11.465583333333335,281.6534166666667,11.735559027777777,2.9959593750000004,60.695,754.5272916666668,99.19688887664444,17.368869329754975,3110.498245269898,59.820898773307036,62.05,38.136807823393745,29.376109736753804,25.57032068255814,16.33688416187209,10.929026154414691,1633.6884161872088,1256.7633713247974,1092.9026154414694,258,527,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9
no_softmax_logits,CPU,float32,1,10000,10,100000,9898,98.98,98.76339875739157,99.15898476221695,0.37896529687166214,0.3370804935693741,0.13013917657272556,34.340658009326276,0.5366011083126068,0.6262945532798764,0.9426553601026523,0.24306200444698334,4.400782108306885,0.37095019522592254,0.3869803985174016,2340.4535899959074,2341.611710944603,82.2904036364362,2289.450406615707,2391.456773376108,2337.8613661151444,42.77413599001011,123.99022518700002,1.2399022518700002,11.579682658274038,288.4392983670863,12.018304098628594,3.0278538750988258,65.93228772121877,794.9227907237788,99.19733669090314,17.38803195816591,3091.3894026030675,64.95221321764691,69.7,39.224226976518764,30.336549590113435,26.657701111200037,16.75802798741217,11.382802232002554,1675.8027987412174,1295.680528862037,1138.2802232002553,272,433,2e1bd57ae813232b84b89428876c305a3cd6f07dd5b2f8f8566f808aec004beb
no_softmax_logits,CPU,float32,1,10000,20,200000,9898,98.98,98.76339875739157,99.15898476221695,0.38161826482780276,0.33883699774742126,0.13106320410692943,34.34405954496673,0.5429062902927398,0.6303021609783173,0.946553751826287,0.24306200444698334,4.55941915512085,0.3768597022461142,0.3863768274094913,2323.390229499518,2301.4093225149504,68.76927865294347,2293.2513180802694,2353.529140918766,2321.4868470080396,86.15168346000428,250.17552429200003,1.2508776214600001,11.771882796230875,289.29475433746313,12.053948097394294,3.014436253724451,66.73606240008908,795.1180475902986,99.2247524771225,17.418637080576957,3067.021982512405,65.89710434414475,70.1,39.259225160804036,30.311481821001287,26.692699058708445,16.8973773388412,11.48423763317578,3379.4754677682404,2608.6197327865193,2296.847526635156,547,873,2e1bd57ae813232b84b89428876c305a3cd6f07dd5b2f8f8566f808aec004beb
