sample_size,repetition,batch_size,correct,accuracy_percent,prediction_sha256,start_epoch_s,end_epoch_s,start_monotonic_s,end_monotonic_s,wall_time_s,process_cpu_time_s,cpu_time_per_inference_ms,throughput_fps,latency_mean_ms,latency_median_ms,latency_std_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,telemetry_samples,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,started_utc,ended_utc,rapl_samples,rapl_coverage_s,rapl_coverage_percent,cpu_busy_percent_turbostat,cpu_busy_frequency_mhz,cpu_package_temperature_mean_c,cpu_package_temperature_max_c,power_package_mean_w,power_cores_mean_w,energy_package_j,energy_cores_j,power_dynamic_mean_w,energy_dynamic_j,energy_per_inference_mj,dynamic_energy_per_inference_mj
1000,1,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466608.3000472,1788466608.7033834,99928.474914082,99928.878250234,0.4033361519977916,1.1675082779999997,1.167508278,2479.3215164245316,0.3575078341662884,0.3323180079460144,0.10598165038841663,29.644567268173805,0.435494601726532,0.4910268604755398,0.84799277305603,0.25133299827575684,1.0665819644927979,2,12.05,292.85,12.202083333333334,3.665333333333333,58.0,753.29296875,2026-09-03T20:16:48.300054+00:00,2026-09-03T20:16:48.703370+00:00,5,0.401033878326416,99.42915916688094,17.583379074918938,3274.957971722735,57.503868475403344,59.0,41.00246184138715,32.16752071569471,16.537780698299947,12.974328352821225,28.43594289148613,11.469243784280971,16.537780698299947,11.469243784280973
1000,2,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466608.7152927,1788466609.1052144,99928.890159565,99929.280081094,0.38992152900027577,1.118979845000002,1.118979845000002,2564.6185850879056,0.3456664981842041,0.32906998693943024,0.08875547942002164,25.67662179767397,0.4036969929933548,0.4502571582794189,0.8279822039604186,0.24451899528503418,0.9894530177116394,2,11.05,281.05,11.710416666666667,3.198479166666666,58.0,754.48828125,2026-09-03T20:16:48.715298+00:00,2026-09-03T20:16:49.105200+00:00,5,0.3865072727203369,99.12433886697852,16.525647126169478,3380.660822180098,56.12385010693165,59.0,41.1883272953602,32.476888699172,16.060221165465556,12.66344252182504,28.621809053855866,11.160259549033416,16.060221165465556,11.160259549033416
1000,3,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466609.2172008,1788466609.6798167,99929.392067854,99929.854683218,0.4626153639983386,1.2989455200000002,1.2989455200000002,2161.6229762822823,0.4094631006270647,0.34380149841308594,0.1553269051923225,37.93428637512147,0.6265114068984986,0.6811339735984803,0.9381710904836651,0.2491369992494583,1.5054700374603271,2,8.65,215.39999999999998,8.975,1.8114166666666667,58.0,754.48828125,2026-09-03T20:16:49.217217+00:00,2026-09-03T20:16:49.679801+00:00,6,0.4602935314178467,99.49797768652286,15.55167805425329,2943.909054180257,55.48852513530691,58.0,33.870157152321205,25.282515022446262,15.668875496583166,11.696095130165494,21.303668658201385,9.85540443081383,15.668875496583166,9.85540443081383
1000,4,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466609.6835668,1788466610.0921152,99929.858433688,99930.266981668,0.4085479799978202,1.2116357119999996,1.2116357119999996,2447.692924599298,0.3627074308693409,0.32849249243736267,0.1256161996723486,34.632926976784134,0.4557050049304962,0.5948237746953963,0.941980036497116,0.25579598546028137,1.809324026107788,3,13.533333333333333,287.70000000000005,11.987500000000002,3.1946388888888877,57.333333333333336,754.4947916666666,2026-09-03T20:16:49.683572+00:00,2026-09-03T20:16:50.092097+00:00,5,0.40601396560668945,99.37965984584285,18.021681286429516,3293.2618403636993,55.71012234093154,57.0,41.39366524834023,32.7252051327523,16.911313848874535,13.36982872737912,28.827170625849075,11.777282328243139,16.911313848874535,11.777282328243139
1000,5,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466610.096428,1788466610.601322,99930.271295204,99930.776188487,0.5048932829959085,1.4541866529999972,1.4541866529999972,1980.616565279407,0.44619649347662926,0.398826003074646,0.1643891994967891,36.84233334419949,0.6414851844310762,0.7120052605867385,1.1027789068222045,0.24825799465179443,1.2626479864120483,3,11.166666666666666,286.6333333333334,11.943055555555558,2.242861111111111,57.0,754.5,2026-09-03T20:16:50.096442+00:00,2026-09-03T20:16:50.601307+00:00,6,0.49951958656311035,98.93553272238144,17.048622882417714,2681.6455778309487,54.49355149567785,58.0,31.151497725447072,22.59573068491464,15.728204858714825,11.408449259066426,18.5850104575594,9.383446944430457,15.728204858714825,9.383446944430457
1000,6,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466610.6058424,1788466611.0060823,99930.780709302,99931.180948761,0.4002394590061158,1.1585936439999998,1.1585936439999998,2498.5042766228594,0.3550383016765118,0.3203134983778,0.12138072788096271,34.188065712289564,0.46872460544109346,0.5785594671964644,0.9688685244321822,0.25322699546813965,1.0797569751739502,2,11.05,289.1,12.045833333333334,3.646520833333333,57.0,754.5,2026-09-03T20:16:50.605847+00:00,2026-09-03T20:16:51.006065+00:00,5,0.3981335163116455,99.47370866513218,17.676564821817923,3264.4101148995774,57.84477747975469,60.0,41.53879420417955,32.88528014070363,16.62548468513344,13.162002697001247,28.972311959014515,11.595862464632388,16.62548468513344,11.595862464632388
1000,7,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466611.010022,1788466611.4533377,99931.184888863,99931.628204098,0.44331523499567993,1.2791143470000002,1.2791143470000002,2255.731184175849,0.3928756087422371,0.3483455032110214,0.13348083452995285,33.975342719106976,0.5583168208599091,0.6223307520151137,0.9425539028644561,0.25491300225257874,1.0790410041809082,3,10.6,283.8333333333333,11.826388888888888,3.2780972222222218,59.0,754.5026041666666,2026-09-03T20:16:51.010028+00:00,2026-09-03T20:16:51.453313+00:00,5,0.4378042221069336,98.75675015771208,17.72554972433458,3044.1610954514663,56.48847400511032,60.0,36.88262553069133,28.391588234717506,16.350648592565772,12.586438072972767,24.31613528403233,10.779713227627537,16.350648592565772,10.779713227627537
1000,8,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466611.4576807,1788466611.8905492,99931.632547771,99932.065415555,0.4328677839948796,1.2643108759999997,1.2643108759999997,2310.174230965243,0.384108812212944,0.33923500776290894,0.13965185178088002,36.35736732419958,0.5335579216480255,0.6317673504352568,0.9934071391820907,0.2512100040912628,1.7665159702301025,3,10.766666666666666,290.46666666666664,12.102777777777776,2.4833611111111105,59.0,754.5065104166666,2026-09-03T20:16:51.457694+00:00,2026-09-03T20:16:51.890519+00:00,5,0.42925214767456055,99.16456541208274,17.193940854714526,3105.775839334731,56.98314221062489,60.0,37.278047643486445,28.719418433760232,16.136491846241096,12.43173102350313,24.7115750136477,10.696844715180916,16.136491846241096,10.696844715180916
1000,9,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466611.8947647,1788466612.3304236,99932.069631598,99932.505290061,0.4356584630004363,1.2353487459999961,1.2353487459999961,2295.3760455216925,0.38580539435148237,0.3425389975309372,0.14521212027630837,37.63869619303845,0.5468912959098816,0.6202437758445738,0.9407388174533843,0.2518390119075775,2.513622999191284,2,13.05,283.79999999999995,11.824999999999998,2.817916666666666,58.5,754.5078125,2026-09-03T20:16:51.894772+00:00,2026-09-03T20:16:52.330403+00:00,6,0.4318995475769043,99.1370808948353,17.720887211719674,3145.2043203545313,57.46307019858483,60.0,38.80473373159969,30.276971225237617,16.905628843660324,13.190432940072904,26.23824285449925,11.430912553823324,16.905628843660324,11.430912553823324
1000,10,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466612.335004,1788466612.7778842,99932.509871351,99932.952750613,0.44287926200195216,1.275472575000002,1.275472575000002,2257.951739441781,0.3910618216097355,0.3364344984292984,0.14532185995090358,37.16084054247799,0.5935767114162445,0.6787514954805373,0.9782915133237836,0.2530690133571625,1.2192109823226929,3,11.0,283.99999999999994,11.83333333333333,2.7549305555555557,58.0,754.5078125,2026-09-03T20:16:52.335018+00:00,2026-09-03T20:16:52.777862+00:00,5,0.44060778617858887,99.48691142317884,17.2285606179077,3065.177164167717,55.525623050978794,57.0,36.601914122128115,27.93549640890391,16.21026135051203,12.372076942032162,24.035455185475268,10.64480465442428,16.21026135051203,10.64480465442428
1000,11,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466612.781572,1788466613.2529943,99932.956439193,99933.427860766,0.47142157299094833,1.370791441999998,1.3707914419999978,2121.2436114356624,0.4175006753504276,0.3598234951496124,0.14786486813267516,35.416677591854274,0.6001924872398376,0.6764293581247328,0.9933011639118194,0.2492150068283081,1.1722170114517212,3,11.666666666666666,287.1666666666667,11.965277777777779,2.858986111111111,58.0,754.5078125,2026-09-03T20:16:52.781584+00:00,2026-09-03T20:16:53.252980+00:00,6,0.4671635627746582,99.09664146042458,17.284312931440127,2917.3939470028467,56.90795161440136,59.0,34.236613748107864,25.579025143077615,16.1398996173784,12.058520190025723,21.67012632485758,10.215765038976919,16.1398996173784,10.215765038976919
1000,12,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466613.2571032,1788466613.6741493,99933.43197014,99933.849016,0.4170458599983249,1.1949744069999966,1.1949744069999966,2397.817832321886,0.370225854665041,0.32959648966789246,0.12138554128453116,32.786889342008216,0.5193896055221557,0.6145662248134612,0.8871097499132156,0.24751800298690796,1.1953680515289307,2,12.0,283.45000000000005,11.810416666666669,2.7996041666666667,57.0,754.5078125,2026-09-03T20:16:53.257110+00:00,2026-09-03T20:16:53.674128+00:00,5,0.4148728847503662,99.47891000435624,17.79770681390699,3239.150115826477,57.89354825547683,59.0,40.17743615751481,31.596082881300703,16.755841856140076,13.17702219616486,27.61092377049888,11.515021449215896,16.755841856140076,11.515021449215896
1000,13,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,1788466613.6784286,1788466614.144093,99933.853295462,99934.318959455,0.46566399300354533,1.336228098999996,1.3362280989999957,2147.471170252982,0.41305061560869216,0.36078350245952606,0.14716017523025773,35.627637308661335,0.6029251217842102,0.6532800763845442,0.9655703324079512,0.24803699553012848,1.9021650552749634,3,12.5,287.40000000000003,11.975000000000001,3.2159999999999997,57.0,754.5091145833334,2026-09-03T20:16:53.678434+00:00,2026-09-03T20:16:54.144076+00:00,6,0.46013569831848145,98.81273110246178,17.52659189439721,2904.1521952134485,56.95594287724702,59.0,34.05202743699445,25.55246631387669,15.856816474017254,11.898873555982707,21.485523602225356,10.005034712384177,15.856816474017254,10.005034712384177
