model_variant,device,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,power_total_mean_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_mean_percent,gpu_clock_sm_mean_mhz,gpu_temperature_mean_c,power_samples_total
softmax,GPU,1,100,10,1000,74,74.0,64.62901055081282,81.59530153525186,0.6708664051890373,0.577221006155014,0.2224541827196462,1.087395340204239,0.5028169751167297,2.269340991973877,0.5773124970148144,0.7644203133632604,1297.0082657445716,222.8323070409834,1158.8979088036053,1435.118622685538,1256.4441450054564,0.7958968999737408,32.325,29.33875,3.6135499999999947,26.536571737578925,2.931648610648189,37.75,1769.0,60.75,8
softmax,GPU,1,100,20,2000,74,74.0,64.62901055081282,81.59530153525186,0.6059139018654823,0.5469079911708832,0.17355036207568456,0.9935839474201202,0.49307000637054443,2.269340991973877,0.5514900486553249,0.6603377550756395,1401.9217879638124,191.11518702974493,1318.1634033247722,1485.6801726028527,1369.5480692799886,1.4603357449523173,34.303999999999995,31.30666666666667,5.58454666666666,25.572633095340958,4.011462892839185,43.86666666666667,1814.7333333333333,61.06666666666667,15
softmax,GPU,1,100,50,5000,74,74.0,64.62901055081282,81.59530153525186,0.5604648791611194,0.5219900012016296,0.12068332817716182,0.7497027784585953,0.49058398604393005,2.269340991973877,0.536385876071672,0.5845438822505671,1482.44544343499,140.68157201898802,1443.451217699662,1521.439669170318,1464.1260454445744,3.4150065259455005,36.33828571428571,34.84571428571428,7.613605714285707,25.104446028770845,5.131699605535127,47.77142857142857,1844.6,61.6,35
softmax,GPU,1,100,100,10000,74,74.0,64.62901055081282,81.59530153525186,0.6079434763789177,0.5282004773616791,0.18781886819611995,1.0482494831085203,0.4900189936161041,2.4791409969329834,0.5754854461193099,0.6404015066385255,1418.7419538526813,230.02149508460752,1373.6585692490926,1463.82533845627,1364.7662166852042,7.3272622649528785,36.787916666666675,35.99506944444445,8.061222222222217,27.793573200378603,5.991526100454449,46.423611111111114,1856.111111111111,61.96527777777778,75
softmax,GPU,1,1000,10,10000,740,74.0,71.19317744345645,76.62313814923691,0.5756299098283052,0.510961502790451,0.14809472604497972,0.9668709456920622,0.48527100682258606,1.5129139423370361,0.530736661692314,0.6205231579642964,1453.3717107167126,149.87379661334433,1360.4806761031375,1546.2627453302878,1438.311227767807,6.952598162999493,38.158880952380954,38.028315476190485,9.430280952380945,26.501715181290812,6.527874022736081,48.56785714285714,1867.0,62.858333333333334,70
softmax,GPU,1,1000,20,20000,740,74.0,71.19317744345645,76.62313814923691,0.6246864462703466,0.5118759870529175,0.20779595632724632,1.0490650117397309,0.48438000679016113,1.7918189764022827,0.5528846924674873,0.696488200073206,1391.7298107034076,240.79417348889433,1286.1990503521456,1497.2605710546695,1339.976020577619,14.925640230023419,37.78684821428572,37.847369047619054,9.058248214285706,27.993447316656535,6.553809921043988,47.110119047619044,1862.8,62.37916666666666,150
softmax,GPU,1,1000,50,50000,740,74.0,71.19317744345645,76.62313814923691,0.6956622703635693,0.5375910103321075,0.24871474326300025,1.1242442846298206,0.48438000679016113,2.7002360820770264,0.6389071760327489,0.7524173646943895,1292.5700134137428,292.020536693893,1211.6275376952005,1373.512489132285,1218.0358252147375,41.049695719077135,36.36164317182817,36.361471525141525,7.633043171828166,29.36399882515038,5.777993056448784,42.68118181818182,1844.7267179487178,60.982096237096236,411
softmax,GPU,1,1000,100,100000,740,74.0,71.19317744345645,76.62313814923691,0.6951866216039657,0.541064977645874,0.2476054686330234,1.1166267931461324,0.47907400131225586,2.926664113998413,0.6550360755218104,0.7353371676861212,1291.2884218445836,291.9910806653759,1234.059221653477,1348.5176220356902,1216.3100658660144,82.21587801199348,36.071033234543236,36.062500131257636,7.342433234543226,29.226791504160794,5.607320773607225,43.12533585858585,1844.7177832167831,59.20811233211232,820
softmax,GPU,1,10000,10,100000,7489,74.89,74.03062133489644,75.73026322621128,0.5638010416960716,0.5097020268440247,0.1558686397070801,1.0210093200206756,0.4870159924030304,3.1334331035614014,0.5030255293114947,0.6245765540806487,1487.8786558774618,168.36620311111045,1383.5261195812147,1592.231192173709,1464.9827000115022,68.26019174097746,36.675358930142565,36.686855005656106,7.946758930142559,24.922994015630525,5.312796571132072,50.046161410076856,1861.7583333333332,55.84610615079365,681
softmax,GPU,1,10000,20,200000,7489,74.89,74.03062133489644,75.73026322621128,0.5732112136629224,0.5089280009269714,0.1689016113039605,1.0433990776538848,0.4870159924030304,3.1334331035614014,0.5367248241358451,0.6096976031899997,1462.1724286699123,152.9467538524547,1395.141790040065,1529.2030672997596,1443.9417987113031,138.50973784296366,36.55341357048862,36.533499544159156,7.824813570488615,25.225614408058167,5.329660135081332,49.932864597755504,1861.0460397316824,55.3850842675533,1383
