sample_size,repetition,batch_size,correct,accuracy_percent,wall_time_s,throughput_fps,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,power_samples,power_total_mean_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_total_j,energy_dynamic_j,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_mean_percent,gpu_clock_sm_mean_mhz,gpu_temperature_mean_c,started_utc,ended_utc
1000,1,1,740,74.0,0.8516944829898421,1174.12994914507,0.7239928494393826,0.5984465181827545,0.24560326136022992,1.189635020494461,0.48801499605178833,1.5129139423370361,8,37.6625,37.9575,8.933899999999994,32.07694346560493,7.608953341582946,32.07694346560493,7.608953341582946,50.25,1867.0,63.0,2026-08-25T17:44:33.981979+00:00,2026-08-25T17:44:34.833683+00:00
1000,2,1,740,74.0,0.7405209260032279,1350.4007312760814,0.6159395586848259,0.5203540027141571,0.16540664891215176,0.9745300024747847,0.4902240037918091,1.4221819639205933,8,38.190000000000005,37.59125,9.461399999999998,28.280494164063278,7.006364689286939,28.280494164063278,7.006364689286939,45.0,1867.0,63.0,2026-08-25T17:44:34.837462+00:00,2026-08-25T17:44:35.577994+00:00
1000,3,1,740,74.0,0.663780256989412,1506.5226623875785,0.5463747339844703,0.5103774964809418,0.11106445950419779,0.7849594891071319,0.48930299282073975,1.3807610273361206,7,37.66285714285714,37.79571428571428,8.934257142857135,24.999860993241224,5.930383502295199,24.999860993241224,5.930383502295199,41.0,1867.0,63.0,2026-08-25T17:44:35.582388+00:00,2026-08-25T17:44:36.246186+00:00
1000,4,1,740,74.0,0.6516246180108283,1534.6258756347088,0.5357214579582215,0.5101440250873566,0.07216212264676712,0.7103170335292814,0.4920409917831421,1.0133479833602905,6,38.67,38.03,9.941399999999994,25.19832397847873,6.478060977492844,25.19832397847873,6.478060977492844,47.0,1867.0,63.0,2026-08-25T17:44:36.250276+00:00,2026-08-25T17:44:36.901907+00:00
1000,5,1,740,74.0,0.6293063199991593,1589.0512588548863,0.5159956809580326,0.5086374878883362,0.030228846763862605,0.5707098007202148,0.49035799503326416,0.7833120226860046,6,38.71333333333333,38.403333333333336,9.984733333333324,24.362545334900787,6.283455790172933,24.362545334900787,6.283455790172933,53.0,1867.0,63.0,2026-08-25T17:44:36.905734+00:00,2026-08-25T17:44:37.535048+00:00
1000,6,1,740,74.0,0.6525451420020545,1532.461029334966,0.5322540995776653,0.5094394981861115,0.05782423217345584,0.6494933366775513,0.4902290105819702,1.118353009223938,7,38.43285714285714,38.607142857142854,9.70425714285713,25.079174221830385,6.332465855310158,25.079174221830385,6.332465855310158,51.285714285714285,1867.0,63.0,2026-08-25T17:44:37.539146+00:00,2026-08-25T17:44:38.191698+00:00
1000,7,1,740,74.0,0.7175861680007074,1393.5608636188404,0.5940105801522731,0.5125955045223236,0.14953508051054826,0.8839881032705307,0.48891401290893555,1.5066909790039062,7,38.08142857142857,38.30428571428571,9.35282857142856,27.326706400564078,6.711460414538951,27.326706400564078,6.711460414538951,48.0,1867.0,63.0,2026-08-25T17:44:38.195693+00:00,2026-08-25T17:44:38.913288+00:00
1000,8,1,740,74.0,0.7913171450054506,1263.7158265958108,0.6638370753526688,0.5602050125598907,0.19755223715776618,1.0336564898490905,0.4914590120315552,1.4351379871368408,8,37.1025,37.822500000000005,8.373899999999992,29.35984437256473,6.6264106405611365,29.35984437256473,6.6264106405611365,45.0,1867.0,62.25,2026-08-25T17:44:38.917597+00:00,2026-08-25T17:44:39.708925+00:00
1000,9,1,740,74.0,0.6288194240041776,1590.2816640622038,0.5150552912950516,0.5078665018081665,0.02723197071271782,0.5718695223331451,0.4929650127887726,0.7690209746360779,6,38.443333333333335,37.62,9.714733333333328,24.173914723467266,6.108813019020847,24.173914723467266,6.108813019020847,52.0,1867.0,62.333333333333336,2026-08-25T17:44:39.712936+00:00,2026-08-25T17:44:40.341762+00:00
1000,10,1,740,74.0,0.6254036799946334,1598.9672462569793,0.5131177708804607,0.5071445107460022,0.025358889391034027,0.5638509660959243,0.48527100682258606,0.693835973739624,7,38.629999999999995,38.151428571428575,9.901399999999988,24.159344158192685,6.1923719970988556,24.159344158192685,6.1923719970988556,53.142857142857146,1867.0,63.0,2026-08-25T17:44:40.345868+00:00,2026-08-25T17:44:40.971278+00:00
