perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2523608611990,1788985684.2030892,baseline_boundary_before,14.637,1.223,11.963,1615310
2523608535070,1788985684.203331,baseline,14.637,1.225,11.963,1933710
2523618640090,1788985684.212854,baseline,14.462,1.208,11.966,1351540
2523628635830,1788985684.2228487,baseline,14.45,1.207,11.966,1350630
2523638636000,1788985684.2328498,baseline,14.437,1.206,11.966,1351890
2523648637860,1788985684.242853,baseline,14.437,1.207,11.966,1352620
2523658635100,1788985684.2528484,baseline,14.45,1.208,11.966,1350840
2523668636120,1788985684.262848,baseline,14.425,1.205,11.966,1349680
2523678636120,1788985684.2728517,baseline,14.45,1.207,11.966,1353130
2523688636340,1788985684.2828488,baseline,14.425,1.206,11.966,1350060
2523698635490,1788985684.2928483,baseline,14.437,1.206,11.966,1350600
2523708637450,1788985684.3028533,baseline,14.45,1.207,11.966,1353490
2523718636050,1788985684.312849,baseline,14.437,1.206,11.965,1350540
2523728636350,1788985684.32285,baseline,14.437,1.207,11.967,1351470
2523738635390,1788985684.3328493,baseline,14.437,1.206,11.966,1351410
2523748636380,1788985684.342851,baseline,14.437,1.206,11.966,1352210
2523758635790,1788985684.3528504,baseline,14.425,1.205,11.966,1352180
2523768635730,1788985684.3628497,baseline,14.45,1.208,11.966,1351540
2523778635180,1788985684.3728478,baseline,14.437,1.206,11.966,1350150
2523788637710,1788985684.3828547,baseline,14.45,1.207,11.966,1354800
2523798635730,1788985684.3928504,baseline,14.437,1.206,11.967,1352400
2523808637590,1788985684.4028513,baseline,14.425,1.205,11.966,1351920
2523818635930,1788985684.412849,baseline,14.45,1.207,11.967,1350830
2523828636660,1788985684.4228513,baseline,14.425,1.206,11.966,1352470
2523838635830,1788985684.4328523,baseline,14.475,1.209,11.966,1354350
2523848636880,1788985684.4428515,baseline,14.425,1.206,11.966,1352410
2523858636050,1788985684.4528513,baseline,14.437,1.206,11.966,1352950
2523868635430,1788985684.46285,baseline,14.437,1.206,11.966,1352240
2523878635100,1788985684.472847,baseline,14.437,1.206,11.966,1349740
2523888637820,1788985684.4828534,baseline,14.437,1.206,11.966,1353270
2523898636100,1788985684.4928489,baseline,14.412,1.204,11.966,1350480
2523908637030,1788985684.5028522,baseline,14.45,1.207,11.966,1352890
2523918635920,1788985684.5128536,baseline,14.437,1.206,11.966,1355150
2523928636680,1788985684.5228496,baseline,14.437,1.207,11.966,1350560
2523938635180,1788985684.5328505,baseline,14.45,1.207,11.966,1353010
2523948637100,1788985684.5428517,baseline,14.437,1.206,11.966,1352550
2523958636540,1788985684.5528502,baseline,14.45,1.207,11.966,1351390
2523968636260,1788985684.5628517,baseline,14.425,1.205,11.966,1352950
2523978635490,1788985684.5728495,baseline,14.437,1.207,11.966,1351630
2523988637150,1788985684.5828526,baseline,14.437,1.206,11.966,1353220
2523998634950,1788985684.5928483,baseline,14.437,1.206,11.966,1351130
2524008637680,1788985684.6028502,baseline,14.437,1.206,11.966,1350440
2524018635350,1788985684.6128528,baseline,14.425,1.205,11.966,1355240
2524028636900,1788985684.6228485,baseline,14.45,1.207,11.966,1349050
