block,samples,duration_s,throughput_inf_s
0,1000,0.24245241,4124.520766776457
1,1000,0.2417047,4137.279912223469
2,1000,0.24759761,4038.8111985410524
3,1000,0.24404128,4097.667411021611
4,1000,0.24675187,4052.654190624776
5,1000,0.24508252,4080.2583554306525
6,1000,0.24553494,4072.7401159281035
7,1000,0.25384752,3939.372738406111
8,1000,0.24630754,4059.9650339571417
9,1000,0.24514748,4079.177154910995
