block,samples,duration_s,throughput_inf_s
0,1000,0.712144,1404.210384416635
1,1000,0.70766879,1413.0904374064596
2,1000,0.7071154,1414.1963249562943
3,1000,0.71508879,1398.4277393021362
4,1000,0.70564925,1417.1346458598234
5,1000,0.70578097,1416.8701658249586
6,1000,0.70661193,1415.2039578499616
7,1000,0.70556431,1417.305248900699
8,1000,0.70527613,1417.884368211923
9,1000,0.70656785,1415.2922468804659
