inferences,replica,directory,duration_s,package_energy_j,package_power_w,idle_package_power_w,dynamic_package_power_w,total_energy_per_inference_mj,dynamic_energy_per_inference_mj,core_energy_j,core_power_w,inference_only_mean_ms,end_to_end_effective_mean_ms,throughput_effective_fps,package_temperature_mean_c,package_temperature_max_c,telemetry_samples_during_benchmark,correct,prediction_agreement_gpu
30000,1,CPU/resultados_30000_rapl,4.41150014,253.270713,57.41147114641143,13.486750144284898,43.92472100212653,8.4423571,6.459130428344738,214.072389,48.52598485920029,0.11535708030000001,0.1405970208,7112.526242092322,66.45454545454545,77.0,44,29,1.0
30000,2,CPU/validacao_rapl/30000_rep2,4.326595895,229.755393,53.10303956639797,11.587561409648119,41.51547815674985,7.6585131,5.987356579065201,191.609068,44.28633333226976,0.11336025853333333,0.13798961193333334,7246.922329799204,70.9090909090909,75.0,44,29,1.0
30000,3,CPU/validacao_rapl/30000_rep3,4.229343268,225.628756,53.348414092360215,11.51157985464114,41.836834237719074,7.520958533333333,5.898077774590969,187.832039,44.41163251542438,0.1103746941,0.13472789796666668,7422.3677136817805,69.4047619047619,77.0,42,29,1.0
30000,4,CPU/validacao_rapl/30000_rep4,4.292911265,217.470757,50.65810671956668,11.479863422051567,39.17824329751512,7.249025233333333,5.606290733160446,180.334561,42.00752120600844,0.1127254569,0.13686396533333334,7306.525114660324,68.04761904761905,71.0,42,29,1.0
30000,5,CPU/validacao_rapl/30000_rep5,4.301619475,226.698822,52.70080799046039,11.425575750023834,41.27523224043656,7.5566274,5.918344761353658,189.422733,44.03521373772839,0.11261238506666665,0.13718555656666667,7289.397113128598,69.0952380952381,73.0,42,29,1.0
100000,1,CPU/resultados_100000_rapl,15.074058879,909.804983,60.35567396300071,14.24781975957739,46.10785420342332,9.098049829999999,6.950325090467508,771.938758,51.209748097468605,0.11854683073,0.14445719274999996,6922.465963537147,75.48666666666666,82.0,150,29,1.0
100000,2,CPU/validacao_rapl/100000_rep2,14.131092889,765.05456,54.13980121774855,11.740033173106806,42.399768044641746,7.6505456,5.991550607108863,638.863477,45.20977124828806,0.11087761552000001,0.13524043598,7394.238215468965,73.8936170212766,80.0,141,29,1.0
100000,3,CPU/validacao_rapl/100000_rep3,14.464128485,844.346044,58.3751758618314,14.282781178616876,44.09239468321452,8.443460439999999,6.377580619093457,712.71717,49.27480910717311,0.11339248703000002,0.13831983702,7229.621011304456,76.57638888888889,82.0,144,29,1.0
100000,4,CPU/validacao_rapl/100000_rep4,13.965082243,711.034191,50.915145262134494,11.475549136722554,39.43959612541194,7.11034191,5.507772035220818,589.429949,42.20740979133523,0.10950958397,0.13357730148,7486.301856080885,70.5179856115108,73.0,139,29,1.0
100000,5,CPU/validacao_rapl/100000_rep5,13.978587436,733.045791,52.44061993790143,11.096389731275918,41.34423020662551,7.33045791,5.77933936917427,610.308435,43.66023661505536,0.10967015767,0.13374791804,7476.751897557987,71.41007194244604,77.0,139,29,1.0
