received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89717843710598,0.0,2026-09-01T15:00:16.009460-03:00,0.0,0.0,720.453125,9755.3046875,107,27.3,0.08447265625,0.125,0.1513671875,1377.1634583333334,799.363,3200.531,52.0,49.25,52.0,934.0
89717944478512,0.100767914,2026-09-01T15:00:16.110230-03:00,4.1,0.0,720.45703125,9755.3046875,107,27.3,0.08447265625,0.125,0.1513671875,1430.409625,800.0,3837.188,52.0,49.25,52.0,934.0
89718044273831,0.200563233,2026-09-01T15:00:16.210023-03:00,5.4,0.0,720.4609375,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1366.3159583333334,800.0,2100.106,52.0,49.25,52.0,934.0
89718145780199,0.302069601,2026-09-01T15:00:16.311531-03:00,2.5,0.0,720.46484375,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,913.0271666666667,800.0,1878.758,52.0,49.25,52.0,934.0
89718245145200,0.401434602,2026-09-01T15:00:16.410897-03:00,0.4,10.1,720.46875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,894.0578333333333,800.0,1596.711,52.0,49.25,52.0,934.0
89718345710254,0.501999656,2026-09-01T15:00:16.511459-03:00,0.4,0.0,720.4765625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,929.8718333333333,800.0,1946.428,52.0,49.25,52.0,934.0
89718444765985,0.601055387,2026-09-01T15:00:16.610516-03:00,0.8,0.0,720.4765625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,979.2440416666667,800.0,1900.067,52.0,49.25,52.0,934.0
89718545254447,0.701543849,2026-09-01T15:00:16.711004-03:00,0.4,0.0,720.48046875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1067.566625,800.0,1838.578,52.0,49.25,52.0,934.0
89718645416433,0.801705835,2026-09-01T15:00:16.811165-03:00,1.2,10.0,720.48046875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,972.151,800.0,1834.593,49.0,45.875,48.0,934.0
89718744525108,0.90081451,2026-09-01T15:00:16.910274-03:00,0.8,0.0,720.484375,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,940.6207083333334,800.0,1770.42,49.0,45.875,48.0,934.0
89718844537794,1.000827196,2026-09-01T15:00:17.010286-03:00,0.0,0.0,720.484375,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,981.38625,800.0,1753.335,49.0,45.875,48.0,934.0
89718945823983,1.102113385,2026-09-01T15:00:17.111576-03:00,0.8,0.0,720.48828125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,903.2145,800.0,1560.898,49.0,45.875,48.0,934.0
89719044513958,1.20080336,2026-09-01T15:00:17.210263-03:00,1.3,10.1,720.48828125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1066.470125,800.0,1800.082,49.0,45.875,48.0,934.0
89719144467387,1.300756789,2026-09-01T15:00:17.310216-03:00,0.0,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1022.40625,800.0,1804.659,49.0,45.875,48.0,934.0
89719245438878,1.40172828,2026-09-01T15:00:17.411189-03:00,0.8,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1015.4344166666666,800.0,1700.037,49.0,45.875,48.0,934.0
89719346465886,1.502755288,2026-09-01T15:00:17.512217-03:00,0.8,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1005.4857916666666,800.0,1567.624,49.0,45.875,48.0,934.0
89719444738438,1.60102784,2026-09-01T15:00:17.610488-03:00,0.4,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,967.0125833333333,800.0,1598.217,49.0,45.875,48.0,934.0
89719544466496,1.700755898,2026-09-01T15:00:17.710216-03:00,0.4,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,881.8651249999999,800.0,1466.408,49.0,45.875,48.0,934.0
89719645186051,1.801475453,2026-09-01T15:00:17.810935-03:00,0.4,9.9,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,962.5035833333333,800.0,1699.813,49.0,45.875,48.0,934.0
89719744475163,1.900764565,2026-09-01T15:00:17.910224-03:00,0.4,0.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,922.5298333333334,800.0,1775.902,49.0,45.5625,47.0,932.0
89719844834296,2.001123698,2026-09-01T15:00:18.010584-03:00,0.8,10.0,720.4921875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,832.0507916666667,800.0,1323.542,49.0,45.5625,47.0,932.0
89719944603272,2.100892674,2026-09-01T15:00:18.110353-03:00,0.4,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,917.385625,800.0,1943.403,49.0,45.5625,47.0,932.0
89720044615791,2.200905193,2026-09-01T15:00:18.210365-03:00,0.4,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,810.0935833333333,800.0,1041.307,49.0,45.5625,47.0,932.0
89720145315441,2.301604843,2026-09-01T15:00:18.311064-03:00,0.8,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,974.8700416666667,800.0,1903.18,49.0,45.5625,47.0,932.0
89720244421718,2.40071112,2026-09-01T15:00:18.410170-03:00,0.4,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,887.7867500000001,800.0,1962.273,49.0,45.5625,47.0,932.0
89720344545435,2.500834837,2026-09-01T15:00:18.510294-03:00,0.8,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,982.118375,800.0,1854.214,49.0,45.5625,47.0,932.0
89720444650885,2.600940287,2026-09-01T15:00:18.610401-03:00,0.0,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1064.5097083333333,800.0,1803.01,49.0,45.5625,47.0,932.0
89720544307860,2.700597262,2026-09-01T15:00:18.710057-03:00,0.8,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,940.4925833333333,800.0,1722.48,49.0,45.5625,47.0,932.0
89720645431011,2.801720413,2026-09-01T15:00:18.811182-03:00,0.8,0.0,720.5,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,906.8493333333332,800.0,1790.573,49.0,45.5625,47.0,932.0
89720745638364,2.901927766,2026-09-01T15:00:18.911388-03:00,0.4,0.0,720.50390625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,893.5544583333334,800.0,1700.017,49.0,45.3125,47.0,932.0
89720845863032,3.002152434,2026-09-01T15:00:19.011613-03:00,1.2,10.0,720.50390625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,955.699375,800.0,1684.835,49.0,45.1875,47.0,932.0
89720945240941,3.101530343,2026-09-01T15:00:19.110990-03:00,1.3,10.1,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,972.8745833333334,800.0,1900.0,49.0,45.1875,47.0,932.0
89721044518974,3.200808376,2026-09-01T15:00:19.210268-03:00,0.4,0.0,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,844.4935416666667,800.0,1867.845,49.0,45.1875,47.0,932.0
89721145548330,3.301837732,2026-09-01T15:00:19.311297-03:00,0.4,0.0,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,866.7344166666667,800.0,1666.48,49.0,45.1875,47.0,932.0
89721245062712,3.401352114,2026-09-01T15:00:19.410812-03:00,0.8,0.0,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1032.5145833333333,800.0,2062.233,49.0,45.1875,47.0,932.0
89721344983153,3.501272555,2026-09-01T15:00:19.510732-03:00,0.8,0.0,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1003.1502083333334,800.0,2022.213,49.0,45.1875,47.0,932.0
89721444280731,3.600570133,2026-09-01T15:00:19.610029-03:00,0.4,0.0,720.5078125,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1015.6560416666666,800.0,1764.122,49.0,45.1875,47.0,932.0
89721544920867,3.701210269,2026-09-01T15:00:19.710670-03:00,0.8,0.0,720.51171875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,952.63025,800.0,2056.765,49.0,45.1875,47.0,932.0
89721644580875,3.800870277,2026-09-01T15:00:19.810330-03:00,1.2,0.0,720.51171875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,972.4933333333333,800.0,2080.647,49.0,45.1875,47.0,932.0
89721744664307,3.900953709,2026-09-01T15:00:19.910413-03:00,1.3,10.0,720.51171875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1005.4517500000001,800.0,2200.0,49.0,45.1875,47.0,932.0
89721844625024,4.000914426,2026-09-01T15:00:20.010374-03:00,1.3,0.0,720.51171875,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1119.3876666666667,800.0,1899.434,49.0,45.3125,47.0,932.0
89721944980311,4.101269713,2026-09-01T15:00:20.110729-03:00,1.2,0.0,720.515625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1054.65775,800.0,2088.137,49.0,45.3125,47.0,934.0
89722044999083,4.201288485,2026-09-01T15:00:20.210760-03:00,0.8,0.0,720.515625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1034.4352916666667,800.0,2152.901,49.0,45.3125,47.0,934.0
89722144326346,4.300615748,2026-09-01T15:00:20.310075-03:00,1.3,0.0,720.515625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1096.8930833333334,800.0,2072.957,49.0,45.3125,47.0,934.0
89722244439521,4.400728923,2026-09-01T15:00:20.410188-03:00,1.2,0.0,720.515625,9755.3046875,107,27.3,0.158203125,0.1396484375,0.15625,1164.6016666666667,800.0,2100.111,49.0,45.3125,47.0,934.0
