sample_size,repetition,batch_size,correct,accuracy_percent,start_epoch_s,end_epoch_s,wall_time_s,process_cpu_time_s,cpu_time_per_inference_ms,throughput_fps,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,telemetry_samples,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,rapl_samples,cpu_busy_percent_turbostat,cpu_busy_frequency_mean_mhz,cpu_package_temperature_mean_c,power_package_mean_w,power_cores_mean_w,power_dram_mean_w,power_dynamic_mean_w,energy_package_j,energy_per_inference_mj,dynamic_energy_per_inference_mj,started_utc,ended_utc,rapl_coverage_s
10000,1,1,7490,74.9,1787688285.3683434,1787688295.6184216,10.250077225005953,73.19938322799999,7.319938322799999,975.6024057656982,0.9760214150071144,0.9040435254573822,0.24520377370259505,1.5513875365257261,0.7564259767532349,4.817173957824707,62,29.63225806451613,709.8548387096776,29.577284946236563,nan,71.37096774193549,990.93359375,103,34.73536923513865,3371.114804166094,72.63998350510742,57.8504210264309,47.86346809927151,nan,45.02266811048232,587.7640617704392,58.77640617704392,45.627860375867094,2026-08-25T20:04:45.368368+00:00,2026-08-25T20:04:55.618401+00:00,10.160065412521362
10000,2,1,7490,74.9,1787688295.6912405,1787688306.0407784,10.34953691699775,73.74246020299995,7.374246020299995,966.2268061072683,0.9855470990002155,0.9078329801559448,0.24872840854424597,1.5793087244033812,0.7549729943275452,4.5566020011901855,63,29.579365079365083,711.5396825396825,29.647486772486772,nan,71.88888888888889,990.9375,103,34.72591847133983,3350.2072915022973,72.86245098103504,57.441422334654895,47.43723670532284,nan,44.613669418706316,588.9619005393982,58.89619005393982,45.62005981736629,2026-08-25T20:04:55.691264+00:00,2026-08-25T20:05:06.040760+00:00,10.253261089324951
10000,3,1,7490,74.9,1787688306.0686295,1787688316.4598687,10.391238052994595,74.05169483000009,7.405169483000008,962.349235865899,0.9899197075664997,0.912512481212616,0.2509997624323797,1.592783868312834,0.7536829710006714,4.7553582191467285,65,29.423076923076923,711.3153846153846,29.638141025641023,nan,72.8,990.9475961538461,103,34.780688340489576,3343.612157205206,72.98759408654891,57.35845027240468,47.338466882174856,nan,44.5306973564561,589.6853324317932,58.96853324317932,45.6389098197176,2026-08-25T20:05:06.068649+00:00,2026-08-25T20:05:16.459840+00:00,10.280705451965332
10000,4,1,7490,74.9,1787688316.4879718,1787688326.8021216,10.314149042998906,73.5977055589999,7.359770555899991,969.5419329612901,0.9823002106189728,0.9070115089416504,0.2505618850576412,1.5758875608444203,0.7603809833526611,5.302183151245117,65,29.609230769230766,713.7384615384616,29.739102564102566,nan,72.2,990.9698918269231,103,34.84812241999176,3350.7018147083977,73.22578234132669,57.64069274900158,47.611577707217755,nan,44.812939833053,589.3324588108063,58.93324588108063,45.70251033489488,2026-08-25T20:05:16.487991+00:00,2026-08-25T20:05:26.802099+00:00,10.2242431640625
10000,5,1,7490,74.9,1787688326.8070917,1787688337.1362514,10.32915886900446,73.43208491799987,7.343208491799988,968.1330422758631,0.9821469640374184,0.906884491443634,0.24775889798601397,1.5770401895046233,0.7556390166282654,4.649800777435303,66,29.2530303030303,711.3590909090909,29.639962121212122,nan,73.16666666666667,990.9821851325758,103,34.80880876357283,3356.9237274299776,73.38166308475459,57.88893193941683,47.854283616924626,nan,45.06117902346825,592.6916545629501,59.26916545629501,46.0191756761782,2026-08-25T20:05:26.807102+00:00,2026-08-25T20:05:37.136233+00:00,10.238427877426147
10000,6,1,7490,74.9,1787688337.1646714,1787688347.4260378,10.26136547299393,73.00837321800009,7.300837321800008,974.5291721962543,0.9761533129751683,0.905533492565155,0.23893165382312617,1.570697224140167,0.7587249875068665,3.9511420726776123,63,29.730158730158728,711.0190476190477,29.625793650793653,nan,72.2063492063492,991.0328000992064,102,34.752024422349756,3368.419971864929,73.32096563377485,58.122430377861924,48.06445702891315,nan,45.294677461913345,591.3062625145913,59.13062625145912,45.96760016467793,2026-08-25T20:05:37.164691+00:00,2026-08-25T20:05:47.426020+00:00,10.173460721969604
10000,7,1,7490,74.9,1787688347.435182,1787688357.7530096,10.317827065999154,73.30857032100016,7.330857032100017,969.19631779384,0.9808511122226715,0.906936526298523,0.24346812649052801,1.5834482252597806,0.755424976348877,3.095168113708496,65,29.847692307692302,711.0507692307692,29.627115384615383,nan,72.64615384615385,991.1027043269231,104,34.84148088530455,3359.2398289570947,73.57390722717804,57.940485335971736,47.89740924888024,nan,45.11273242002316,591.8247685098648,59.18247685098648,45.94702322777411,2026-08-25T20:05:47.435192+00:00,2026-08-25T20:05:57.752990+00:00,10.214356422424316
10000,8,1,7490,74.9,1787688357.7575612,1787688367.9665525,10.208990996005014,72.45818246900012,7.245818246900012,979.5287314792622,0.9704804186463356,0.9021344780921936,0.2347573882423024,1.5223479151725758,0.7466440200805664,4.993154048919678,64,29.890625,710.0734375000001,29.58639322916667,nan,72.890625,991.1299438476562,102,34.79956806868892,3390.162878200272,73.73218347919529,58.63516520106453,48.56473071849041,nan,45.80741228511595,592.6107608509063,59.261076085090636,46.16523468330102,2026-08-25T20:05:57.757569+00:00,2026-08-25T20:06:07.966535+00:00,10.106746673583984
10000,9,1,7490,74.9,1787688367.9708433,1787688378.2183154,10.247471466995194,73.02935016499987,7.302935016499987,975.8504848935424,0.9751532293140889,0.9030394852161407,0.243359205709354,1.567082518339157,0.7586489915847778,4.093964099884033,64,29.442187500000003,713.1640625,29.715169270833332,nan,71.6875,991.1510009765625,102,34.801290742924664,3363.4435310049653,73.25272634273793,57.99790994534268,47.95241597830764,nan,45.1701570293941,588.207762002945,58.820776200294496,45.67557300110975,2026-08-25T20:06:07.970851+00:00,2026-08-25T20:06:18.218296+00:00,10.141878604888916
10000,10,1,7490,74.9,1787688378.2460697,1787688388.517645,10.271574169993983,73.1264026230001,7.31264026230001,973.5606085786419,0.9776716983735562,0.90413498878479,0.2503621598571984,1.5708401918411252,0.7504119873046875,5.61899995803833,63,29.71428571428571,710.7253968253968,29.6135582010582,nan,72.39682539682539,991.176029265873,103,34.769800535250376,3363.4100631340402,73.25995863157242,57.98711910528698,47.94602116368084,nan,45.1593661893384,590.6465017318726,59.06465017318725,45.88852862213501,2026-08-25T20:06:18.246088+00:00,2026-08-25T20:06:28.517625+00:00,10.185822486877441
10000,11,1,7490,74.9,1787688388.522035,1787688398.8148925,10.29285728900868,73.41969766000011,7.341969766000011,971.5475226377217,0.9791035538375378,0.9040890038013458,0.24124726235860428,1.5630241751670837,0.7577009797096252,4.054716110229492,67,29.861194029850743,713.555223880597,29.731467661691543,nan,71.53731343283582,991.1970615671642,103,34.97481927865537,3357.8006440721592,73.22839481298752,57.87027420051511,47.829905592711334,nan,45.04252128456653,589.9547970843315,58.99547970843315,45.79205669818078,2026-08-25T20:06:28.522044+00:00,2026-08-25T20:06:38.814872+00:00,10.194435834884644
10000,12,1,7490,74.9,1787688398.8193514,1787688409.0192382,10.199886146001518,72.82275539900002,7.282275539900001,980.4031002757932,0.9704232200741768,0.8999074995517731,0.24068438172067957,1.5637808442115784,0.7520319819450378,4.178129196166992,62,29.890322580645165,714.3016129032258,29.762567204301074,nan,71.1774193548387,991.2155997983871,102,34.84112424062265,3376.017159740099,73.21865922743446,58.244313034167085,48.20910473211295,nan,45.416560118218506,588.9789072895051,58.8978907289505,45.81372880377906,2026-08-25T20:06:38.819359+00:00,2026-08-25T20:06:49.019220+00:00,10.112213134765625
10000,13,1,7490,74.9,1787688409.1593993,1787688419.4764934,10.317093246994773,73.41703449900001,7.341703449900002,969.2652533612471,0.9816645850598812,0.9054130017757416,0.2565362321886567,1.5997263014316558,0.7588469982147217,3.8062100410461426,65,29.49846153846154,706.7184615384615,29.446602564102562,nan,71.70769230769231,991.2311899038461,103,34.79013510817403,3348.109434155851,73.1396329684782,57.52006349412144,47.4983023434986,nan,44.69231057817286,588.1130492496491,58.81130492496491,45.57679262663985,2026-08-25T20:06:49.159424+00:00,2026-08-25T20:06:59.476473+00:00,10.224485397338867
10000,14,1,7490,74.9,1787688419.504467,1787688429.7848918,10.280424220996792,73.27027380000004,7.327027380000004,972.7225049308712,0.9779835431814193,0.9039525091648102,0.2517162221762464,1.58000830411911,0.7547820210456848,4.720069885253906,66,29.49393939393939,711.2303030303029,29.634595959595956,nan,71.31818181818181,991.2639086174242,103,34.866126053504594,3365.82153335668,73.04731603278015,57.87666078783792,47.87022241763733,nan,45.04890787188934,589.8549668312073,58.98549668312073,45.79802250531273,2026-08-25T20:06:59.504485+00:00,2026-08-25T20:07:09.784873+00:00,10.191586017608643
10000,15,1,7490,74.9,1787688429.789254,1787688440.056563,10.26730868400773,73.14213585900006,7.314213585900006,973.9650679418952,0.9773469078183175,0.9053315222263336,0.24138664993328462,1.5623938202857965,0.7541030049324036,3.973259925842285,65,29.90307692307692,712.8723076923077,29.70301282051282,nan,72.21538461538462,991.2873197115384,103,34.85054390313258,3365.83120271131,72.76403049429354,57.82577444305126,47.811392563549646,nan,44.99802152710268,588.1519768857956,58.81519768857956,45.64454779755713,2026-08-25T20:07:09.789262+00:00,2026-08-25T20:07:20.056543+00:00,10.171104192733765
10000,16,1,7490,74.9,1787688440.0848444,1787688450.3618677,10.277022720008972,73.43588977900004,7.343588977900003,973.0444577621086,0.9776154650628567,0.9029380083084106,0.24661154878042948,1.5812884926795954,0.7604889869689941,3.8385961055755615,67,29.535820895522388,713.7119402985076,29.737997512437815,nan,71.74626865671642,991.3007229477612,103,34.8954123610635,3362.8409389914136,72.67836449269163,57.77498086478335,47.78769165780942,nan,44.94722794883477,588.5842705154419,58.85842705154419,45.675316235157695,2026-08-25T20:07:20.084866+00:00,2026-08-25T20:07:30.361849+00:00,10.187528610229492
10000,17,1,7490,74.9,1787688450.3898947,1787688460.6561277,10.266232349007623,73.30598823000014,7.330598823000013,974.0671806406799,0.9768159495532512,0.9048579931259155,0.24299732021307427,1.5746906459331507,0.7604129910469055,3.380513906478882,62,29.811290322580643,713.2274193548387,29.717809139784947,nan,72.40322580645162,991.3204385080645,103,34.84838847299062,3358.8594439033645,72.83749755951065,57.65836730863538,47.668477816244966,nan,44.8306143926868,586.094442152977,58.6094442152977,45.44017502021888,2026-08-25T20:07:30.389912+00:00,2026-08-25T20:07:40.656109+00:00,10.164950370788574
