model_variant,device,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,process_cpu_time_total_s,cpu_time_per_inference_mean_ms,cpu_system_utilization_mean_percent,cpu_process_utilization_mean_percent,cpu_process_utilization_normalized_percent,cpu_frequency_psutil_mean_mhz,cpu_package_temperature_psutil_mean_c,process_rss_mean_mib,cpu_busy_percent_turbostat,cpu_busy_frequency_mean_mhz,cpu_package_temperature_mean_c,power_package_mean_w,power_cores_mean_w,power_dram_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,telemetry_samples_total,rapl_samples_total
no_softmax,CPU,1,100,10,1000,74,74.0,64.62901055081282,81.59530153525186,1.1261395378112793,0.9595385193824768,0.3777250835216255,1.8680336654186247,0.7718769907951355,4.579782962799072,1.0372870071608529,1.2149920684617053,856.732187078324,100.68837808697012,794.3260305292165,919.1383436274316,845.3070856567015,1.1830020320048789,8.180429562,8.180429562,24.933333333333337,576.0166666666667,24.000694444444445,nan,52.5,847.8671875,32.05547620722639,3092.3894183038633,52.1627683329677,44.617783640068886,35.76811417040578,nan,31.79003072412031,51.60610701010118,36.4308492444775,6,22
no_softmax,CPU,1,100,20,2000,74,74.0,64.62901055081282,81.59530153525186,1.0836726014018059,0.9433445036411285,0.34995328865702735,1.8186743736267088,0.7682139873504639,4.579782962799072,1.0271431230284525,1.1402020797751589,888.6878120190806,95.94823682689841,846.6374158654024,930.7382081727588,878.0447201052568,2.2777883110102266,15.702138519999998,7.85106926,26.75,603.45,25.14375,nan,52.3,847.9234375,32.652258644767784,3188.258372680234,52.83059279140336,47.20987534858495,38.34598447142872,nan,34.382122432636365,52.64009128656878,38.03063846233127,10,43
no_softmax,CPU,1,100,50,5000,74,74.0,64.62901055081282,81.59530153525186,1.0357295747280122,0.9229310154914856,0.30686074633354393,1.7181283831596375,0.755545973777771,4.579782962799072,1.007529241697631,1.063929907758393,926.1844211634241,82.47240487581341,903.3246568992831,949.044185427565,918.3948697858023,5.444281283023884,37.90010406800002,7.580020813600003,27.72142857142858,652.4107142857143,27.183779761904763,nan,53.892857142857146,848.0636160714286,33.49909037492787,3300.1319364315464,54.65743786984527,50.67336949360592,41.757854941692365,nan,37.845616577657346,54.3061217529199,40.33854273220913,28,103
no_softmax,CPU,1,100,100,10000,74,74.0,64.62901055081282,81.59530153525186,1.014098177474737,0.913240522146225,0.29286911815568273,1.6744339883327484,0.7403159737586975,4.579782962799072,0.9973783718469649,1.0308179831025093,944.4020651734618,71.86117953581164,930.3175327957861,958.4865975511375,938.5112297739863,10.655173516046489,74.54594060700006,7.454594060700007,27.819230769230767,659.8865384615384,27.49527243589744,nan,54.88461538461539,848.2007962740385,33.46924748803204,3342.62906864111,56.12923966646033,51.651326856017675,42.695106525505246,nan,38.823573940069096,54.31574938872384,40.647556074683486,52,204
no_softmax,CPU,1,1000,10,10000,741,74.1,71.29617374007886,76.71937650091739,0.9782264941930771,0.903051495552063,0.2460146383447301,1.5672451734542838,0.7463729977607727,5.475439071655273,0.97191128074097,0.9845417076451843,973.3316124494274,10.780685023892918,966.6497974267784,980.0134274720765,973.2247082982536,10.275119316982455,72.97548528299998,7.297548528299998,29.57785714285714,707.6791666666667,29.486631944444447,nan,59.25,869.9604538690477,35.011281828442705,3387.7952400756003,59.58238296353564,53.57062528717091,44.46650737178041,nan,40.74287237122233,54.597122892618174,41.41645371460405,64,112
no_softmax,CPU,1,1000,20,20000,741,74.1,71.29617374007886,76.71937650091739,0.9794083247691393,0.9049895107746124,0.24798481978956394,1.5668011903762815,0.7396519780158997,5.475439071655273,0.972163607633129,0.98665304190515,972.4665142158858,16.83472944423397,965.0885043046961,979.8445241270755,972.1860257873284,20.572194486958324,146.129231078,7.3064615539,29.63278571428571,706.6274404761905,29.44281001984127,nan,60.53499999999999,870.0037481398809,34.9196298536687,3381.448133955323,61.09810421660861,53.38520856076268,44.21494796554256,nan,40.5574556448141,54.42519939875602,41.23044800787898,130,225
no_softmax,CPU,1,1000,50,50000,741,74.1,71.29617374007886,76.71937650091739,0.9813378964269162,0.9063889980316162,0.24841643817233194,1.5836740553379058,0.7396519780158997,5.475439071655273,0.9775041961972073,0.9851715966566252,970.4063079671662,14.184995008680584,966.4745002009839,974.3381157333484,970.2027602697945,51.53561919994536,366.6261881029999,7.3325237620599975,29.499388095238096,707.7304761904762,29.488769841269843,nan,63.14733333333334,870.0597191220238,34.909304491861484,3366.6613738975984,63.88283646927205,54.01674880089265,44.653758815867796,nan,41.18899588494406,55.182291986227035,41.96056819688074,334,560
no_softmax,CPU,1,1000,100,100000,741,74.1,71.29617374007886,76.71937650091739,0.9817283219951392,0.9056209921836853,0.2497899982250991,1.5843419253826136,0.7396519780158997,6.49306583404541,0.9791233416860902,0.9843333023041879,970.114888514099,13.58664631796013,967.4519547687104,972.7778222594876,969.9268193858255,103.10056181694381,735.2385367599992,7.352385367599993,29.59214166666667,709.1809904761907,29.549207936507937,nan,66.52219047619047,870.1459840029761,34.900444583075235,3358.8426661931894,67.27417096655817,55.300525045116636,45.704842635405456,nan,42.472772129168064,56.49229593422414,43.26681060939175,662,1121
no_softmax,CPU,1,10000,10,100000,7490,74.9,74.04072994919972,75.74014693194059,0.9796245167762041,0.9058849811553955,0.24551428717974036,1.5698039114475228,0.7466440200805664,5.61899995803833,0.976115101131759,0.983133932420649,971.451873791756,5.224262332305149,968.2139019507375,974.6898456327746,971.4265632163049,102.94138927898894,732.9542075340001,7.329542075340001,29.612191039135592,711.384017198751,29.641000716614627,nan,72.32539767468197,991.0363245379565,34.78630718850509,3361.7236068173274,73.22372153132312,57.88630282874368,47.853006714918386,nan,45.0585499127951,59.03031463725567,45.82524757230219,640,1028
no_softmax,CPU,1,10000,20,200000,7490,74.9,74.04072994919972,75.74014693194059,0.9788335759964585,0.9048375189304352,0.24636409587558095,1.5733332753181457,0.7449949979782104,5.61899995803833,0.9767456366919395,0.9809215153009779,971.6646858907445,5.44103464184548,969.2800911369267,974.0492806445624,971.6355887444549,205.83848751201003,1466.0162089760001,7.330081044880001,29.68871239963846,711.6993025738973,29.654137607245723,nan,72.0613600485419,991.1640815978071,34.821139303263195,3361.044547182213,73.02084878648743,57.79498857281311,47.77801052244681,nan,44.967235656864524,58.92553944895267,45.723313156969525,1293,2059
