model_variant,device,batch_size,unique_images,repetitions,collected_inferences,correct_unique_images,accuracy_percent,accuracy_wilson95_low_percent,accuracy_wilson95_high_percent,latency_mean_ms,latency_median_ms,latency_std_ms,latency_p95_ms,latency_min_ms,latency_max_ms,latency_mean_pass_ci95_low_ms,latency_mean_pass_ci95_high_ms,throughput_mean_fps,throughput_std_fps,throughput_mean_ci95_low_fps,throughput_mean_ci95_high_fps,throughput_effective_fps,wall_time_total_s,power_total_mean_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_mean_percent,gpu_clock_sm_mean_mhz,gpu_temperature_mean_c,power_samples_total
no_softmax,GPU,1,100,10,1000,74,74.0,64.62901055081282,81.59530153525186,0.6239456962943077,0.5458374917507172,0.23258433289641883,0.9888760417699813,0.48658499121665955,3.1335809230804443,0.5429520509997879,0.7049393415888275,1364.48425624111,233.8574361426617,1219.540579052407,1509.4279334298128,1323.706354080474,0.7554545590246562,31.58625,29.36625,2.591874999999999,24.681263641691295,1.9882881023063412,1.0,1755.0,58.625,8
no_softmax,GPU,1,100,20,2000,74,74.0,64.62901055081282,81.59530153525186,0.6249994321763516,0.5428000092506409,0.21145027694598253,0.9954781293869017,0.48658499121665955,3.1335809230804443,0.5664601457132903,0.6835387186394126,1373.1941385163623,227.13957640905213,1273.6476592265867,1472.7406178061378,1332.0971560327866,1.5013919900229666,33.78937499999999,31.7725,4.760687499999997,25.81407475831547,3.567856704579169,16.5,1807.5,59.0,16
no_softmax,GPU,1,100,50,5000,74,74.0,64.62901055081282,81.59530153525186,0.5611644024431706,0.5092570185661316,0.1497687532916639,0.8419530719518663,0.48392900824546814,3.1335809230804443,0.5327612973268065,0.5895675075595346,1493.420117033294,183.4065037193229,1442.5833620502515,1544.2568720163365,1464.6282639826743,3.4138355260220123,36.05685714285713,34.877142857142864,7.009542857142855,25.06926156622054,4.7419723296142,34.628571428571426,1836.0,59.542857142857144,35
no_softmax,GPU,1,100,100,10000,74,74.0,64.62901055081282,81.59530153525186,0.5770678282827139,0.509972482919693,0.1577078490333046,0.9273565173149108,0.48392900824546814,3.1335809230804443,0.5537743473809066,0.6003613091845211,1467.2674705869806,200.43428782073082,1427.9830720474238,1506.5518691265374,1431.9544013986488,6.9834625950607006,36.77521126760561,36.232535211267624,7.719943661971827,26.423577054085058,5.50882129211854,42.42253521126761,1848.1690140845071,60.028169014084504,71
no_softmax,GPU,1,1000,10,10000,740,74.0,71.19317744345645,76.62313814923691,0.5725446857690811,0.5107029974460602,0.1432823339390385,0.9686764538288116,0.485725998878479,1.6038190126419067,0.5345949055146255,0.6104944660235365,1455.7072147218944,128.96773045670403,1375.7736560572355,1535.6407733865533,1444.8675029262677,6.921049840035266,38.00072023809524,37.95232142857142,8.937720238095235,26.27939573240812,6.1647485823136225,50.642857142857146,1860.0,61.528571428571425,70
no_softmax,GPU,1,1000,20,20000,740,74.0,71.19317744345645,76.62313814923691,0.6091516960397363,0.5247700214385986,0.18783815698620565,1.0256384789943696,0.4817669987678528,2.372400999069214,0.5587383282655142,0.6595650638139584,1395.4819001023593,183.07824328651606,1315.245796637462,1475.7180035672566,1367.0242816874602,14.630318033057847,37.754171807359306,37.86659659090908,8.691171807359304,27.59227462119008,6.332227971452069,46.61468253968253,1860.0,62.015503246753234,147
no_softmax,GPU,1,1000,50,50000,740,74.0,71.19317744345645,76.62313814923691,0.6269544314944744,0.5110940039157867,0.2109212861196652,1.0317898988723755,0.4767340123653412,2.7030019760131836,0.5848216949721287,0.6690871680168203,1383.3813897753193,241.31930293343413,1316.4923208103503,1450.2704587402884,1333.7134258306598,37.48931294506474,37.530725844155846,37.56849885281385,8.467725844155842,27.948607031002,6.157568988553668,46.09729004329005,1852.0072727272727,61.626428571428576,377
no_softmax,GPU,1,1000,100,100000,740,74.0,71.19317744345645,76.62313814923691,0.6627793781870603,0.5156050026416779,0.23467343928254547,1.0710373342037198,0.4767340123653412,2.7030019760131836,0.6263321334963146,0.6992266228778059,1337.9186521480246,275.54079881892244,1283.913647952376,1391.9236563436732,1271.0760650694692,78.6734977930173,36.84826476190476,36.80786023809524,7.785264761904757,28.654711697218286,5.789833033633665,45.173158008658014,1845.2984090909092,59.97924567099568,788
no_softmax,GPU,1,10000,10,100000,7489,74.89,74.03062133489644,75.73026322621128,0.6505347327840328,0.5084244906902313,0.2336100857165877,1.0770861208438873,0.48222801089286804,2.788283109664917,0.5677380813152584,0.7333313842528075,1326.1883036501206,205.8352067118846,1198.6126650567119,1453.7639422435293,1292.9215062716141,77.34421580500202,36.312448114095695,36.327950278718376,7.249448114095697,27.919290641255525,5.440741201847784,43.7067983513903,1847.7097636870706,56.351892808218494,772
no_softmax,GPU,1,10000,20,200000,7489,74.89,74.03062133489644,75.73026322621128,0.6690344317764044,0.5085034966468811,0.24967579056373213,1.1026170551776884,0.4804590046405792,2.788283109664917,0.6078517466398518,0.7302171169129571,1298.8402733821451,221.20654696620642,1201.894011112649,1395.7865356516413,1260.247053003534,158.69904200398014,35.8366549133258,35.84000519819623,6.773654913325798,28.210219425888226,5.148868137079846,43.24603314644512,1842.722440285641,55.50114649986212,1583
