sample_size,repetition,batch_size,correct,accuracy_percent,prediction_sha256,wall_time_s,throughput_fps,latency_mean_ms,latency_median_ms,latency_std_ms,latency_cv_percent,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,power_samples,pstates,power_total_mean_w,power_total_std_w,power_total_min_w,power_total_max_w,power_sensor_1s_mean_w,power_dynamic_mean_w,energy_total_j,energy_dynamic_j,energy_per_inference_mj,dynamic_energy_per_inference_mj,gpu_utilization_percent_mean,gpu_utilization_percent_std,gpu_utilization_percent_min,gpu_utilization_percent_max,memory_utilization_percent_mean,memory_utilization_percent_std,memory_utilization_percent_min,memory_utilization_percent_max,memory_used_mib_mean,memory_used_mib_std,memory_used_mib_min,memory_used_mib_max,gpu_clock_sm_mhz_mean,gpu_clock_sm_mhz_std,gpu_clock_sm_mhz_min,gpu_clock_sm_mhz_max,gpu_clock_memory_mhz_mean,gpu_clock_memory_mhz_std,gpu_clock_memory_mhz_min,gpu_clock_memory_mhz_max,gpu_temperature_c_mean,gpu_temperature_c_std,gpu_temperature_c_min,gpu_temperature_c_max,fan_speed_percent_mean,fan_speed_percent_std,fan_speed_percent_min,fan_speed_percent_max,started_utc,ended_utc,monotonic_start_s,monotonic_end_s
1000,11,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.43747144100780133,2285.8635016180797,0.29934810422360897,0.23872049897909164,0.14425520722678817,48.18978479951605,0.5130876123905181,0.5825111359357833,0.8096913230419155,0.19201600551605225,1.5026819705963135,4,P2,28.98,0.0,28.98,28.98,28.81,1.328999999999997,12.677922360406082,0.5813995450993666,12.677922360406082,0.5813995450993666,28.0,0.0,28.0,28.0,1.0,0.0,1.0,1.0,710.0,2.0,709.0,713.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,30.25,0.5,30.0,31.0,2026-09-03T18:39:16.005991+00:00,2026-09-03T18:39:16.443477+00:00,94076.180870798,94076.618342239
1000,12,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4104543569992529,2436.324485165156,0.2837756311148405,0.2252264991402626,0.11061544014144438,38.979893977111686,0.4477278053760529,0.5067956745624541,0.6516977304220197,0.19190700352191925,0.9718009829521179,4,P2,29.49,0.0,29.49,29.49,29.03,1.838999999999995,12.104298987907969,0.7548255625216241,12.104298987907969,0.7548255625216241,30.0,0.0,30.0,30.0,3.0,0.0,3.0,3.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,30.75,0.5,30.0,31.0,2026-09-03T18:39:16.445484+00:00,2026-09-03T18:39:16.855946+00:00,94076.620356877,94077.030811234
1000,13,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.39906724300817586,2505.843357279797,0.2690037362724543,0.2130734995007515,0.1085125839873092,40.33869026912129,0.43533690869808195,0.5041893243789672,0.6941212064027785,0.19129300117492676,0.8157550096511841,4,P2,29.197499999999998,0.1949999999999985,29.1,29.49,29.044999999999998,1.5464999999999947,11.651765827731214,0.6171574913121418,11.651765827731214,0.6171574913121418,30.0,0.0,30.0,30.0,3.0,0.0,3.0,3.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:16.858368+00:00,2026-09-03T18:39:17.257445+00:00,94077.033244376,94077.432311619
1000,14,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.38548032999096904,2594.166088898564,0.25534181609749795,0.21182449907064438,0.08212180057292064,32.16151660077636,0.36625248789787296,0.41341625601053233,0.5394825541973112,0.1927340030670166,0.809686005115509,4,P2,28.98,0.13856406460551132,28.86,29.1,29.035,1.328999999999997,11.171219963138283,0.5123033585579967,11.171219963138283,0.5123033585579967,28.5,1.7320508075688772,27.0,30.0,2.0,1.1547005383792515,1.0,3.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:17.261711+00:00,2026-09-03T18:39:17.647198+00:00,94077.436583824,94077.822064154
1000,15,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.593573607999133,1684.7110223968393,0.4386092350333929,0.4216825067996979,0.19823192452317862,45.19556559452892,0.70800598859787,0.7864515483379363,0.9275000572204589,0.19407300651073456,1.7645100355148315,6,P2,28.914999999999996,0.06024948132556796,28.86,28.97,28.98,1.2639999999999922,17.163180875294927,0.7502770405108994,17.163180875294927,0.7502770405108994,27.0,0.0,27.0,27.0,1.0,0.0,1.0,1.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,30.833333333333332,0.408248290463863,30.0,31.0,2026-09-03T18:39:17.651695+00:00,2026-09-03T18:39:18.245277+00:00,94077.826569123,94078.420142731
1000,16,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.37459624400071334,2669.5409150928263,0.2609314749091864,0.23417449742555618,0.07500228427183264,28.74405408467344,0.3623977035284042,0.41923415660858143,0.541849023103714,0.1907159984111786,0.7985060214996338,4,P2,29.034999999999997,0.07505553499465283,28.97,29.1,28.94,1.3839999999999932,10.87640194456071,0.5184412016969847,10.87640194456071,0.5184412016969847,27.5,0.5773502691896257,27.0,28.0,1.0,0.0,1.0,1.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.0,0.0,44.0,44.0,30.75,0.5,30.0,31.0,2026-09-03T18:39:18.249655+00:00,2026-09-03T18:39:18.624259+00:00,94078.42452831,94078.799124554
1000,17,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4281042390066432,2335.8796967774997,0.2967171549797058,0.25456351041793823,0.11750044463216122,39.6001520842965,0.45308139324188235,0.5128277599811554,0.6530279046297072,0.18676500022411346,1.0201489925384521,4,P2,29.055000000000003,0.08999999999999986,28.92,29.1,28.9475,1.404,12.43856866433802,0.6010583515653269,12.43856866433802,0.6010583515653269,28.0,0.0,28.0,28.0,1.0,0.0,1.0,1.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,44.25,0.5,44.0,45.0,30.25,0.5,30.0,31.0,2026-09-03T18:39:18.628820+00:00,2026-09-03T18:39:19.056934+00:00,94078.803694545,94079.231798784
1000,18,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4252402410056675,2351.611873878776,0.2934793745726347,0.23579950630664825,0.12463592807945012,42.46837729600087,0.4796828031539917,0.5441708385944366,0.7278121256828305,0.18812300264835358,1.1427229642868042,4,P2,28.92,0.0,28.92,28.92,28.97,1.2689999999999984,12.297947769883905,0.5396298658361913,12.297947769883905,0.5396298658361913,28.0,0.0,28.0,28.0,1.0,0.0,1.0,1.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.5,0.5773502691896257,30.0,31.0,2026-09-03T18:39:19.062598+00:00,2026-09-03T18:39:19.487852+00:00,94079.237478186,94079.662718427
1000,19,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.3775479199975962,2648.6703992604885,0.25026516865193843,0.2123285010457039,0.08292288311376313,33.13400884367168,0.35932240486145023,0.42032763957977287,0.5760380667448044,0.18928900361061096,0.7918800115585327,4,P2,28.94,0.0,28.94,28.94,28.96,1.288999999999998,10.926236804730435,0.4866592688769007,10.926236804730435,0.4866592688769007,22.0,0.0,22.0,22.0,1.0,0.0,1.0,1.0,715.0,0.0,715.0,715.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.25,0.5,30.0,31.0,2026-09-03T18:39:19.492302+00:00,2026-09-03T18:39:19.869858+00:00,94079.667175644,94080.044723564
1000,20,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.5342771400028141,1871.687791086725,0.3948415147066116,0.38843199610710144,0.15576618052842503,39.45030467329851,0.5594050765037537,0.618879422545433,0.8796544593572616,0.18927299976348877,1.3135260343551636,5,P2,28.875999999999998,0.035777087639997464,28.86,28.94,28.944,1.2249999999999943,15.42778669472126,0.6544894965034442,15.42778669472126,0.6544894965034442,22.0,0.0,22.0,22.0,1.0,0.0,1.0,1.0,706.0,4.47213595499958,704.0,714.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.0,0.0,30.0,30.0,2026-09-03T18:39:19.874386+00:00,2026-09-03T18:39:20.408673+00:00,94080.049260924,94080.583538064
1000,21,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4906445619999431,2038.1352968100682,0.3591650620251894,0.29812100529670715,0.17384707664676644,48.40311461992202,0.5597790777683258,0.6645226597785949,1.0163998591899872,0.19002799689769745,1.1961380243301392,5,P2,28.244,0.3443544685349674,28.09,28.86,28.684000000000005,0.5929999999999964,13.857765009126393,0.2909522252659645,13.857765009126393,0.2909522252659645,18.8,1.7888543819998315,18.0,22.0,1.0,0.0,1.0,1.0,702.8,1.0954451150103324,702.0,704.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:20.414391+00:00,2026-09-03T18:39:20.905053+00:00,94080.589273313,94081.079917875
1000,22,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4068719560018508,2457.7756840912652,0.29834754012525083,0.2528655081987381,0.11356031435779906,38.063097255678635,0.4605210036039352,0.5137428075075149,0.6762826699018478,0.1919430047273636,0.8782269954681396,4,P2,27.925,0.10999999999999943,27.87,28.09,28.334999999999997,0.27399999999999736,11.361899371351683,0.11148291594450603,11.361899371351683,0.11148291594450603,18.0,0.0,18.0,18.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.75,0.5,30.0,31.0,2026-09-03T18:39:20.910779+00:00,2026-09-03T18:39:21.317667+00:00,94081.085661017,94081.492532973
1000,23,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.37108288099989295,2694.8157708204503,0.2741855988204479,0.21624299883842468,0.11207819869520518,40.87676346874814,0.4331851959228516,0.5260909795761108,0.7037026757001876,0.19309300184249878,0.8902419805526733,4,P2,28.085,0.24826061575153893,27.87,28.3,28.175,0.4339999999999975,10.421862712881994,0.1610499703539526,10.421862712881994,0.1610499703539526,23.5,6.3508529610858835,18.0,29.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.0,0.0,30.0,30.0,2026-09-03T18:39:21.322139+00:00,2026-09-03T18:39:21.693231+00:00,94081.497013333,94081.868096214
1000,24,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.39918551400478464,2505.1009240480957,0.28795464873313903,0.23461949825286865,0.12205604963783959,42.387247497071876,0.48921160697937016,0.5532051116228103,0.6689808464050292,0.19179199635982513,0.9685189723968506,4,P2,28.225,0.15000000000000036,28.0,28.3,28.095,0.5739999999999981,11.267011132785047,0.22913248503874561,11.267011132785047,0.22913248503874561,29.0,0.0,29.0,29.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:21.699043+00:00,2026-09-03T18:39:22.098244+00:00,94081.873924246,94082.27310976
1000,25,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.3645208130037645,2743.3275805562103,0.2787258498221636,0.20765599608421326,0.14332820836446936,51.422646466381764,0.4902196109294892,0.5435571581125259,0.8624819749593734,0.1920360028743744,1.0840729475021362,4,P2,28.0,0.0,28.0,28.0,28.05,0.34899999999999665,10.206582764105406,0.1272177637383126,10.206582764105406,0.1272177637383126,29.0,0.0,29.0,29.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.0,0.0,30.0,30.0,2026-09-03T18:39:22.102852+00:00,2026-09-03T18:39:22.467379+00:00,94082.277724255,94082.642245068
1000,26,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.30819865499506705,3244.660493459992,0.20966878694295882,0.20036400109529495,0.03583651000832822,17.091962294834893,0.21548930257558824,0.2759722113609314,0.3991167542338371,0.19117900729179382,0.5558289885520935,3,P2,28.11,0.0,28.11,28.11,28.100000000000005,0.4589999999999961,8.663464191911334,0.14146318264273455,8.663464191911334,0.14146318264273455,23.0,0.0,23.0,23.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:22.471893+00:00,2026-09-03T18:39:22.780098+00:00,94082.646765479,94082.954964134
1000,27,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.457376097998349,2186.3844752193627,0.32955015483498573,0.2851350009441376,0.14489061991952834,43.966181715823744,0.5331524014472961,0.5990262240171432,0.7724348276853559,0.19099299609661102,1.1384060382843018,4,P2,28.009999999999998,0.11547005383792475,27.91,28.11,28.095000000000002,0.35899999999999466,12.811104504933754,0.16419801918140484,12.811104504933754,0.16419801918140484,23.0,0.0,23.0,23.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,30.75,0.5,30.0,31.0,2026-09-03T18:39:22.784578+00:00,2026-09-03T18:39:23.241964+00:00,94082.959453286,94083.416829384
1000,28,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.5000559789914405,1999.7761091006114,0.3697945391237736,0.3413274884223938,0.14257129414290204,38.5541913303328,0.5385252833366394,0.5963297992944717,0.7822480642795562,0.19006499648094177,0.9982929825782776,5,P2,28.002,0.12597618822618845,27.91,28.14,28.077999999999996,0.35099999999999554,14.002567523718316,0.1755196486259934,14.002567523718316,0.1755196486259934,21.8,1.6431676725154982,20.0,23.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:23.247749+00:00,2026-09-03T18:39:23.747822+00:00,94083.422631487,94083.922687466
1000,29,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.4071657500026049,2456.002254594357,0.28569060160219667,0.23404300212860107,0.10991012698682401,38.47173353636107,0.46030659079551695,0.5175437361001968,0.6088803941011428,0.1894720047712326,0.8749129772186279,4,P2,28.16,0.03999999999999915,28.14,28.22,28.064999999999998,0.5089999999999968,11.465787520073354,0.2072473667513246,11.465787520073354,0.2072473667513246,20.0,0.0,20.0,20.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:23.753895+00:00,2026-09-03T18:39:24.161078+00:00,94083.928778066,94084.335943816
1000,30,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.335126952995779,2983.9438190833766,0.21471419382095336,0.2038630023598671,0.03344867091887666,15.578229982675929,0.2425591990351677,0.2922074362635612,0.3596633356809616,0.1911820024251938,0.45532000064849854,4,P2,28.1575,0.125,27.97,28.22,28.0825,0.5064999999999955,9.436337178978647,0.16974180169236056,9.436337178978647,0.16974180169236056,21.25,2.5,20.0,25.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:24.165739+00:00,2026-09-03T18:39:24.500874+00:00,94084.340612764,94084.675739717
1000,31,1,988,98.8,8c2ba3f275180f2816dfe582f6465bf94e33b85200aba407836d135d721bf2f9,0.34345591699820943,2911.5818086348863,0.22230585400760175,0.20699000358581543,0.045304309850071646,20.37926983628711,0.2734495908021927,0.32365906387567517,0.4142254680395126,0.19109700620174408,0.6269819736480713,3,P2,27.97,0.0,27.97,27.97,28.09,0.3189999999999955,9.606461998439917,0.10956243752242727,9.606461998439915,0.10956243752242725,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,702.0,0.0,702.0,702.0,1755.0,0.0,1755.0,1755.0,6801.0,0.0,6801.0,6801.0,45.0,0.0,45.0,45.0,31.0,0.0,31.0,31.0,2026-09-03T18:39:24.505540+00:00,2026-09-03T18:39:24.849003+00:00,94084.68041223,94085.023868147
