received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm,rapl_capture_perf_counter_ns,rapl_package_energy_uj,rapl_core_energy_uj,rapl_uncore_energy_uj,rapl_package_power_w,rapl_core_power_w,rapl_uncore_power_w
94805833825321,0.0,2026-09-01T16:25:03.999575-03:00,0.0,0.0,722.80859375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,2057.21225,799.371,5079.613,51.0,49.3125,51.0,909.0,94805834219551,165284917018,90532603685,13173245,,,
94805935425687,0.101600366,2026-09-01T16:25:04.101176-03:00,0.8,0.0,722.8125,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1045.6520416666667,800.0,1800.0,51.0,49.3125,51.0,909.0,94805935946366,165286219017,90533036789,13173245,12.798975373405725,4.257520497422435,0.0
94806034335092,0.200509771,2026-09-01T16:25:04.200084-03:00,0.8,0.0,722.81640625,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1140.116,800.0,1865.721,51.0,49.3125,51.0,909.0,94806034827744,165287404682,90533397201,13173245,11.990781520055272,3.644892570166245,0.0
94806133786521,0.2999612,2026-09-01T16:25:04.299535-03:00,2.1,10.1,722.82421875,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1410.0496249999999,800.0,1900.241,51.0,49.3125,51.0,909.0,94806134249817,165288695939,90533827558,13173245,12.987629014735994,4.328586067602916,0.0
94806234949431,0.40112411,2026-09-01T16:25:04.400699-03:00,2.1,0.0,722.828125,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1167.979,799.645,1900.0,51.0,49.3125,51.0,909.0,94806235438016,165290141431,90534393841,13173245,14.2851835914186,5.596334410497809,0.0
94806334377770,0.500552449,2026-09-01T16:25:04.500126-03:00,1.3,0.0,722.83203125,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1096.3415,800.0,2002.727,51.0,49.3125,51.0,909.0,94806334832987,165291347788,90534759075,13173245,12.137002384154828,3.674572227602944,0.0
94806434194749,0.600369428,2026-09-01T16:25:04.599945-03:00,0.4,0.0,722.83203125,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1072.0188333333333,789.223,2026.738,51.0,49.3125,51.0,909.0,94806434670694,165292555853,90535131571,13173245,12.10028792027445,3.7310151764603328,0.0
94806534699366,0.700874045,2026-09-01T16:25:04.700448-03:00,1.2,0.0,722.83984375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,872.2875416666667,800.0,1615.525,51.0,49.3125,51.0,909.0,94806535274272,165293852420,90535575723,13173245,12.887881582104367,4.4148727990569085,0.0
94806633998032,0.800172711,2026-09-01T16:25:04.799755-03:00,0.4,0.0,722.83984375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1127.3484166666667,800.0,1800.0,50.0,46.4375,48.0,909.0,94806643542229,165295292052,90536100380,13173245,13.296935121810787,4.845912073504814,0.0
94806734313822,0.900488501,2026-09-01T16:25:04.900063-03:00,1.2,10.0,722.83984375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1035.5157916666667,800.0,1900.0,50.0,46.4375,48.0,909.0,94806734895645,165296445492,90536484656,13173245,12.62612883572958,4.206476526285563,0.0
94806834066695,1.000241374,2026-09-01T16:25:04.999815-03:00,0.4,0.0,722.83984375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1246.7948333333334,800.0,2085.125,50.0,46.4375,48.0,909.0,94806834602160,165297602471,90536802954,13173245,11.603845546100974,3.1923490656553386,0.0
94806934320506,1.100495185,2026-09-01T16:25:05.100070-03:00,0.8,0.0,722.83984375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1230.2534166666667,800.0,1990.076,50.0,46.4375,48.0,909.0,94806934721292,165298772573,90537128759,13173245,11.687096927688106,3.2541732383377036,0.0
94807034308510,1.200483189,2026-09-01T16:25:05.200058-03:00,1.7,0.0,722.84375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1103.5235,800.0,1873.901,50.0,46.4375,48.0,909.0,94807034896635,165299934985,90537453221,13173245,11.603773595264855,3.2389407441310185,0.0
94807134420744,1.300595423,2026-09-01T16:25:05.300170-03:00,0.8,0.0,722.84375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1061.478,800.0,1766.746,50.0,46.4375,48.0,909.0,94807134913252,165301074325,90537741306,13173245,11.391507073269635,2.880371368689665,0.0
94807234176321,1.400351,2026-09-01T16:25:05.399925-03:00,1.2,0.0,722.84375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,983.68975,800.0,2000.0,50.0,46.4375,48.0,909.0,94807234611065,165302156720,90537997836,13173245,10.856757710422395,2.573075499660158,0.0
94807334412026,1.500586705,2026-09-01T16:25:05.500161-03:00,0.4,0.0,722.84375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1092.3964166666667,800.0,1791.037,50.0,46.4375,48.0,909.0,94807334874173,165303281107,90538275606,13173245,11.214364110875158,2.770410827480034,0.0
94807434307067,1.600481746,2026-09-01T16:25:05.600056-03:00,0.8,10.0,722.8515625,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1058.9364166666667,800.0,2024.745,50.0,46.4375,48.0,909.0,94807434794084,165304338294,90538516206,13173245,10.580343691459053,2.4079284858450283,0.0
94807534359023,1.700533702,2026-09-01T16:25:05.700108-03:00,0.8,0.0,722.85546875,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1130.832625,800.0,1900.199,50.0,46.4375,48.0,909.0,94807534784122,165305361912,90538730195,13173245,10.23719982984705,2.140103197080493,0.0
94807634505052,1.800679731,2026-09-01T16:25:05.800254-03:00,1.3,0.0,722.85546875,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1175.9577916666667,800.0,2096.622,50.0,46.1875,48.0,909.0,94807634908991,165306383333,90538946137,13173245,10.201471524522045,2.156726916666428,0.0
94807734658347,1.900833026,2026-09-01T16:25:05.900408-03:00,0.8,0.0,722.85546875,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,1055.5807916666665,800.0,1938.858,49.0,45.6875,47.0,907.0,94807743955796,165307560698,90539235076,13173245,10.796877542629517,2.6496787319903596,0.0
94807834409006,2.000583685,2026-09-01T16:25:06.000158-03:00,0.8,0.0,722.859375,9755.80859375,107,27.6,0.2744140625,0.22705078125,0.32470703125,974.237125,800.0,1900.0,49.0,45.6875,47.0,907.0,94807834807633,165308573452,90539496855,13173245,11.147314500641302,2.8813836752689985,0.0
