block,samples,duration_s,throughput_inf_s
0,1000,0.25206333,3967.2569587968233
1,1000,0.23815411,4198.961756318209
2,1000,0.23967554,4172.307278414811
3,1000,0.23790027,4203.442055782451
4,1000,0.24438792,4091.8552766437883
5,1000,0.2290935,4365.029998668666
6,1000,0.2202129,4541.060037808866
7,1000,0.21721399,4603.755034378771
8,1000,0.24010187,4164.898840646264
9,1000,0.24083358,4152.244882129809
